Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,SBOpp,SBA,SB,CS,CS%,E,FldRAA,PB,WP,PBWPAA,PBWP+,PBWPRAA,CatBlock
1,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,2409,1000,54,33,21,38.9%,0,4.98,16,49,-26.46,55.2%,-6.74,42
2,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,1713,669,49,30,19,38.8%,0,4.06,2,20,4.18,127.9%,1.06,24
3,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,59,2285,970,32,18,14,43.8%,2,3.75,2,38,-8.94,77.1%,-2.28,17
4,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,66,2336,881,44,28,16,36.4%,0,3.69,3,31,-3.98,87.9%,-1.01,26
5,1305030656,J. Sutton,Jonah Sutton,Sutton,Jonah,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,40,1539,646,42,26,16,38.1%,0,3.36,3,24,-2.43,91.0%,-0.62,32
6,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,40,1579,705,54,33,21,38.9%,2,3.27,3,29,-8.96,70.1%,-2.28,30
7,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,55,1927,774,33,19,14,42.4%,2,3.23,4,23,1.26,104.7%,0.32,37
8,1142924032,K. Klingenbeck,Kory Klingenbeck,Klingenbeck,Kory,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,S,R,16,418,161,13,5,8,61.5%,0,2.91,3,7,-3.47,65.3%,-0.88,8
9,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,46,1682,731,37,21,16,43.2%,4,2.54,1,24,46.90,303.9%,11.94,77
10,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,42,1480,603,43,26,17,39.5%,3,2.31,6,25,-11.75,60.8%,-2.99,12
11,1168879616,J. DeMucci,Joey DeMucci,DeMucci,Joey,C,Penn State University,PSU,5326,Penn State,BBC,R,R,19,372,183,10,4,6,60.0%,0,2.18,1,4,1.82,145.5%,0.46,8
12,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,11,363,136,7,2,5,71.4%,0,2.13,1,5,-1.57,73.8%,-0.40,2
13,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,28,986,398,20,12,8,40.0%,0,2.07,2,22,0.65,107.2%,0.17,16
14,1024090398,T. Wells,Trey Wells,Wells,Trey,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,17,581,256,15,8,7,46.7%,0,2.04,7,7,-3.11,77.8%,-0.79,17
15,1236373248,C. Meggers,Chase Meggers,Meggers,Chase,C,University of Oregon,ORE,4807,Oregon,BBC,L,R,26,772,303,20,11,9,45.0%,1,2.03,0,16,-2.79,81.4%,-0.71,12
16,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,37,1463,615,57,37,20,35.1%,2,1.96,3,27,-3.26,88.3%,-0.83,35
17,1235364864,S. Britt,Sean Britt,Britt,Sean,C,St. John's University (NY),SJU,4285,St. John's,BBC,L,R,22,850,382,34,22,12,35.3%,0,1.76,2,26,-10.55,57.8%,-2.69,18
18,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,51,1806,767,29,20,9,31.0%,0,1.70,2,24,4.07,117.0%,1.04,39
19,1296545280,Z. Ramppen,Zack Ramppen,Ramppen,Zack,C,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,40,1499,657,44,30,14,31.8%,0,1.68,5,19,0.71,103.1%,0.18,29
20,1118859776,M. Spear,Matt Spear,Spear,Matt,C,University of Michigan,MICH,2290,Michigan,BBC,L,R,43,1319,552,35,22,13,37.1%,2,1.67,3,24,-4.77,82.3%,-1.21,22
21,1105477376,N. Gordon,Noah Gordon,Gordon,Noah,C,North Dakota State University,NDSU,730343168,North Dakota State,BBC,R,R,34,1227,509,29,17,12,41.4%,3,1.63,7,16,-9.26,55.9%,-2.36,13
22,1342167798,G. Baker,George Baker,Baker,George,C,University of Louisville,LOU,5467,Louisville,BBC,L,R,20,524,225,17,10,7,41.2%,0,1.60,7,23,-21.58,28.1%,-5.49,9
23,1178255014,C. Mowry,Collin Mowry,Mowry,Collin,C,University of Louisville,LOU,5467,Louisville,BBC,R,R,18,422,169,10,5,5,50.0%,0,1.60,9,11,-12.25,35.5%,-3.12,9
24,1207887104,G. Wright,Garrett Wright,Wright,Garrett,C,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,36,1443,645,41,28,13,31.7%,0,1.58,4,44,-5.89,70.6%,-1.50,14
25,1336567552,C. Smithwick,Campbell Smithwick,Smithwick,Campbell,C,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,16,572,244,11,6,5,45.5%,0,1.54,0,17,-8.73,48.6%,-2.22,7
26,1100812800,P. Daniels,Phillips Daniels,Daniels,Phillips,C,The Citadel,CIT,730366720,The Citadel,BBC,R,R,33,1255,552,38,25,13,34.2%,1,1.51,9,27,-18.99,47.2%,-4.83,14
27,1162009088,B. Neal,Brady Neal,Neal,Brady,C,University of Alabama,ALA,730206976,Alabama,BBC,L,R,39,1454,595,35,24,11,31.4%,0,1.48,4,37,-18.18,54.6%,-4.63,21
28,1196803072,L. Poteet,Logan Poteet,Poteet,Logan,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,48,1780,688,48,32,16,33.3%,2,1.46,0,19,8.06,142.4%,2.05,38
29,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,41,1517,635,31,20,11,35.5%,2,1.36,5,36,-12.69,67.5%,-3.23,21
30,1118938880,M. Buffington,Matthew Buffington,Buffington,Matthew,C,University of South Florida,USF,2292,South Florida,BBC,R,R,8,228,102,4,1,3,75.0%,0,1.32,2,7,-5.77,35.9%,-1.47,1
31,1260761344,S. Kang,Sean Kang,Kang,Sean,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,17,479,215,12,7,5,41.7%,0,1.27,4,12,-7.00,53.3%,-1.78,5
32,1143069440,M. Strand,Matthew Strand,Strand,Matthew,C,Samford University,SAM,730386432,Samford,BBC,R,R,20,617,271,16,10,6,37.5%,0,1.25,0,4,4.22,205.4%,1.07,10
33,1707683796,M. Morales,Miguel Morales,Morales,Miguel,C,Texas Southern University,TXSO,4768,Texas Southern,BBC,L,R,8,331,158,18,11,7,38.9%,0,1.23,6,10,-2.31,42.3%,-0.59,3
34,1171615232,J. Berg,Jake Berg,Berg,Jake,C,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,R,43,1718,768,53,35,18,34.0%,3,1.22,7,33,-14.81,58.8%,-3.77,35
35,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,48,1776,697,33,22,11,33.3%,2,1.20,7,31,-13.75,62.8%,-3.50,27
36,1972031807,T. Freeny,Tariq Freeny,Freeny,Tariq,C,New Mexico State University,NMSU,730302720,New Mexico State,BBC,R,R,28,1121,507,26,17,9,34.6%,1,1.18,5,18,-1.16,94.5%,-0.30,20
37,1334322432,M. Schwalbach,Mason Schwalbach,Schwalbach,Mason,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,26,929,396,35,23,12,34.3%,1,1.16,3,20,12.98,208.2%,3.30,14
38,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,1957,786,48,32,16,33.3%,3,1.14,6,19,-1.21,95.1%,-0.31,22
39,1488159270,R. Tejeda,Richard Tejeda,Tejeda,Richard,C,University of Southern California,USC,5047,USC,BBC,R,R,39,1047,403,26,17,9,34.6%,1,1.12,5,23,-14.60,45.9%,-3.72,10
40,1167236096,W. Zareh,William Zareh,Zareh,William,C,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,14,461,220,17,10,7,41.2%,1,1.07,0,12,-2.62,73.8%,-0.67,8
41,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,1507,592,31,22,9,29.0%,0,1.04,3,8,5.16,146.9%,1.31,18
42,1083615488,I. Daugherty,Ian Daugherty,Daugherty,Ian,C,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,44,1577,618,42,29,13,31.0%,1,1.03,4,21,-0.34,98.5%,-0.09,26
43,1287363072,R. Moore,Reese Moore,Moore,Reese,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,12,401,164,10,6,4,40.0%,0,0.95,1,10,-3.78,65.6%,-0.96,5
44,1116675328,B. Sorensen,Bailyn Sorensen,Sorensen,Bailyn,C,Southeastern Louisiana University,SELA,730209280,Southeastern Louisiana,BBC,R,R,20,608,243,11,7,4,36.4%,0,0.94,1,23,-15.85,33.9%,-4.04,6
45,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,48,1670,732,38,25,13,34.2%,3,0.93,4,24,1.52,106.6%,0.39,27
