Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
1,1302422799,D. McGowan,Drew McGowan,McGowan,Drew,C,Marist College,MRST,730374656,Marist,BBC,L,R,13,299,1102,87.0%,0.0%,0.0%,6.5%,0.0%,6.5%,0.0%,0.0%,95.8%,87.0%,13.0%,6.5%
2,1478596887,B. Daulton,Brayden Daulton,Daulton,Brayden,C,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,6,204,553,80.2%,0.0%,0.0%,2.3%,11.6%,5.8%,0.0%,0.0%,68.9%,80.2%,19.8%,14.0%
3,1976934066,K. Glover,Kenny Glover,Glover,Kenny,C,Alabama A&M University,AAMU,730365440,Alabama A&M,BBC,R,R,12,477,1307,72.3%,0.3%,0.0%,9.1%,12.9%,5.4%,0.0%,0.0%,73.2%,72.6%,27.4%,22.0%
4,1471059156,L. Williams,Landon Williams,Williams,Landon,3B,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,7,230,804,71.9%,0.0%,0.0%,20.5%,0.0%,7.6%,0.0%,0.0%,78.7%,71.9%,28.1%,20.5%
5,1833974277,C. King,Caleb King,King,Caleb,C,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,34,1465,4751,70.1%,0.0%,0.0%,12.5%,10.4%,6.9%,0.0%,0.0%,90.9%,70.1%,29.9%,22.9%
6,1110083328,B. Ries,Benji Ries,Ries,Benji,C,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,13,491,1667,68.6%,3.2%,5.0%,10.4%,5.6%,7.1%,0.0%,0.0%,72.3%,71.9%,23.2%,16.0%
7,1302874624,J. Ryan,Jack Ryan,Ryan,Jack,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,10,255,917,68.2%,0.0%,2.4%,14.3%,1.8%,11.5%,1.8%,0.0%,22.9%,68.2%,29.4%,16.1%
8,1196813569,J. Killelea,Jack Killelea,Killelea,Jack,C,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,10,339,1211,67.7%,0.2%,0.0%,18.3%,8.3%,5.5%,0.0%,0.0%,2.6%,67.9%,32.1%,26.6%
9,1192458240,D. Smiley,Demarckus Smiley,Smiley,Demarckus,C,Alabama State University,ALST,4765,Alabama State,BBC,L,R,41,1630,6294,67.2%,2.1%,1.4%,9.3%,11.3%,8.5%,0.1%,0.0%,30.8%,69.4%,29.2%,20.6%
10,1297507072,F. Micallef,Frank Micallef,Micallef,Frank,C,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,13,517,1795,66.8%,0.0%,0.0%,20.5%,2.9%,9.2%,0.0%,0.6%,35.1%,66.8%,33.2%,24.0%
11,1210120448,L. Szepek,Luke Szepek,Szepek,Luke,C,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,36,1316,4669,66.4%,1.8%,1.6%,15.8%,8.8%,5.5%,0.0%,0.0%,12.9%,68.3%,30.1%,24.6%
12,1132574976,T. McElwee,Thomas McElwee,McElwee,Thomas,C,University at Albany,ALBY,730280448,Albany,BBC,R,R,15,421,1571,66.1%,1.7%,1.2%,16.9%,5.3%,8.8%,0.0%,0.0%,27.9%,67.8%,31.0%,22.2%
13,1590045009,Z. Goodwin,Zak Goodwin,Goodwin,Zak,C,Eastern Illinois University,EIU,730271744,Eastern Illinois,BBC,L,R,36,1325,4806,65.4%,3.7%,1.9%,19.1%,1.0%,8.9%,<0.1%,<0.1%,25.1%,69.1%,29.0%,20.1%
14,1152890880,D. ONeill,Dean O'Neill,ONeill,Dean,C,University of Maine,ME,730275840,Maine,BBC,R,R,43,1588,5891,64.5%,1.1%,0.3%,21.8%,4.0%,8.1%,<0.1%,0.0%,15.6%,65.6%,34.0%,25.9%
15,1219227136,K. Evans,Karson Evans,Evans,Karson,C,University of New Orleans,UNO,5380,New Orleans,BBC,R,R,43,1652,6240,64.1%,1.7%,0.3%,19.2%,6.8%,7.5%,0.3%,0.0%,12.8%,65.9%,33.8%,26.0%
16,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,9,372,1268,63.9%,4.7%,0.1%,18.0%,2.2%,10.3%,0.6%,0.1%,33.1%,68.6%,31.3%,20.4%
17,1578374661,M. Brousseau,Mack Brousseau,Brousseau,Mack,C,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,7,239,900,63.9%,0.0%,0.3%,26.1%,0.9%,8.8%,0.0%,0.0%,17.6%,63.9%,35.8%,27.1%
