Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam#,Sink2Seam#,Cutter#,Slider#,Curve#,Change#,Split#,Sweeper#,Unknown#,FastSink#,Soft#,Break#
1,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,2409,8950,5182,123,817,982,563,1265,2,15,1,5305,2827,1560
2,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,59,2285,8443,5172,41,449,1069,671,911,2,38,89,5213,2691,1778
3,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,63,2254,8971,4939,501,44,2030,373,588,1,16,475,5440,3011,2422
4,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,58,2147,8520,4442,375,188,1909,567,997,6,17,9,4817,3504,2501
5,1205026048,B. Bryan,Brooks Bryan,Bryan,Brooks,C,Troy University,TROY,730378496,Troy,BBC,L,R,52,1938,7299,4298,230,119,1660,120,668,13,0,189,4528,2461,1780
6,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,58,2117,7708,4256,311,190,1323,419,970,54,0,179,4567,2772,1748
7,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,57,2200,8354,4214,146,428,1431,546,1026,13,2,548,4360,3018,1979
8,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,53,1975,7505,4212,349,72,1516,246,1041,4,14,50,4561,2821,1776
9,1207812352,T. Stockman,Tucker Stockman,Stockman,Tucker,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,55,1975,7283,4175,146,371,1785,303,460,23,0,18,4321,2571,2088
10,1310670336,L. Trippel,Lance Trippel,Trippel,Lance,C,University of South Florida,USF,2292,South Florida,BBC,R,R,51,1957,7206,4138,232,531,1422,128,721,9,0,24,4370,2280,1550
11,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,66,2336,8771,4049,1069,345,1890,965,420,4,21,4,5118,3300,2876
12,1625677173,C. Martin,Cade Martin,Martin,Cade,C,Little Rock,UALR,730217472,Little Rock,BBC,R,R,49,1935,7515,3971,68,154,1403,735,737,33,13,400,4039,2921,2151
13,1297501440,A. Posey,Aaron Posey,Posey,Aaron,C,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,48,1742,6772,3966,219,386,706,324,1027,0,0,138,4185,2057,1030
14,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,2277,8794,3938,489,1245,1735,192,511,271,0,412,4427,2709,1927
15,1160909824,E. Sipe,Evan Sipe,Sipe,Evan,C,San Diego State University,SDSU,730218496,San Diego State,BBC,R,R,40,1600,6275,3853,15,144,1059,607,569,15,0,12,3868,2250,1666
16,1162558208,N. Chronis,Nate Chronis,Chronis,Nate,C,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,56,2076,7809,3831,485,258,1661,902,640,1,5,26,4316,3209,2568
17,1083912192,E. Gonzalez,Emiliano Gonzalez,Gonzalez,Emiliano,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,45,1718,6463,3799,100,233,1266,398,556,29,37,36,3899,2293,1708
18,1141496832,A. Stucky,Andrew Stucky,Stucky,Andrew,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,44,1655,6228,3797,56,222,1237,436,432,25,0,23,3853,2130,1673
19,1123968768,J. Lobliner,Jayden Lobliner,Lobliner,Jayden,C,University of San Diego,USD,5320,San Diego,BBC,R,R,48,1670,6567,3796,83,357,1269,346,678,5,16,16,3879,2314,1631
20,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,58,2017,7670,3763,138,267,2145,471,586,79,15,206,3901,3296,2631
21,1758840332,J. Natili,Jack Natili,Natili,Jack,C,University of Cincinnati,CIN,5465,Cincinnati,BBC,R,R,51,1853,7051,3762,217,203,1776,254,731,2,8,98,3979,2771,2038
22,1174781696,B. Penso,Blake Penso,Penso,Blake,C,UC Irvine,UCI,3031,UC Irvine,BBC,R,R,51,1806,7012,3713,440,35,1058,810,672,83,21,178,4153,2644,1889
23,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,50,2016,7437,3704,137,251,1352,740,395,9,1,846,3841,2497,2093
24,1072858790,J. Jelic,Jason Jelic,Jelic,Jason,C,Xavier University,XAV,5464,Xavier,BBC,L,R,55,2106,8182,3688,1204,341,1563,429,902,3,5,42,4892,2902,1997
25,1298785792,R. Peterson,Ryan Peterson,Peterson,Ryan,C,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,52,2087,7846,3677,233,110,2076,103,844,9,40,752,3910,3074,2221
26,1301144832,A. Duffey,Alex Duffey,Duffey,Alex,C,Elon University,ELON,730252544,Elon,BBC,L,R,51,2034,7386,3553,646,244,1627,294,944,48,4,20,4199,2917,1925
27,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,47,1801,6627,3543,207,122,1224,557,815,11,0,147,3750,2607,1781
28,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,46,1682,6249,3516,237,47,1126,380,469,82,0,392,3753,2057,1506
29,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,2072,7820,3504,565,219,1599,774,1085,1,0,71,4069,3459,2373
