Rank,teamId,teamName,team,teamFullName,location,teamAbbrevName,teamLevel,synergyTeamId,newestTeamId,newestTeamLevel,newestTeamName,newestTeamAbbrevName,newestTeamLocation,G,ROE,NonForceOut,StretchOut,1stTo3rdOpp,1stTo3rdAtt,1stTo3rd,1stTo3rdOut,1stTo3rdAtt%,1stTo3rdSafe%,1stToHomeOpp,1stToHomeAtt,1stToHome,1stToHomeOut,1stToHomeAtt%,1stToHomeSafe%,2ndToHomeOpp,2ndToHomeAtt,2ndToHome,2ndToHomeOut,2ndToHomeAtt%,2ndToHomeSafe%
1,730292224,Quakers,Pennsylvania,University of Pennsylvania,Pennsylvania,PENN,BBC,,730292224,BBC,Quakers,PENN,Pennsylvania,41,29,0,0,64,17,17,0,26.6%,100.0%,37,12,12,0,32.4%,100.0%,64,32,32,0,50.0%,100.0%
1,730375936,Wildcats,Abilene Christian,Abilene Christian University,Abilene Christian,AC,BBC,,730375936,BBC,Wildcats,AC,Abilene Christian,57,38,0,0,96,36,36,0,37.5%,100.0%,40,18,18,0,45.0%,100.0%,105,70,70,0,66.7%,100.0%
1,5324,Mavericks,UT Arlington,University of Texas-Arlington,UT Arlington,UTA,BBC,,5324,BBC,Mavericks,UTA,UT Arlington,54,25,0,0,122,35,35,0,28.7%,100.0%,35,15,15,0,42.9%,100.0%,93,56,56,0,60.2%,100.0%
1,730263552,Wolverines,Utah Valley,Utah Valley University,Utah Valley,UVU,BBC,,730263552,BBC,Wolverines,UVU,Utah Valley,62,43,0,0,144,37,37,0,25.7%,100.0%,47,13,13,0,27.7%,100.0%,128,73,73,0,57.0%,100.0%
1,730153984,Aggies,UC Davis,UC Davis,UC Davis,UCD,BBC,,730153984,BBC,Aggies,UCD,UC Davis,55,30,0,0,113,21,21,0,18.6%,100.0%,27,9,9,0,33.3%,100.0%,85,51,51,0,60.0%,100.0%
1,5091,Lancers,California Baptist,California Baptist University,California Baptist,CBU,BBC,,5091,BBC,Lancers,CBU,California Baptist,57,37,0,0,110,31,31,0,28.2%,100.0%,51,27,27,0,52.9%,100.0%,88,48,48,0,54.5%,100.0%
1,730192128,Vaqueros,UT Rio Grande Valley,University of Texas Rio Grande Valley,UT Rio Grande Valley,UTRGV,BBC,,730192128,BBC,Vaqueros,UTRGV,UT Rio Grande Valley,54,28,0,0,149,44,44,0,29.5%,100.0%,32,8,8,0,25.0%,100.0%,111,70,70,0,63.1%,100.0%
1,4504,Redhawks,Seattle,Seattle University,Seattle,SEA,BBC,,4504,BBC,Redhawks,SEA,Seattle,52,31,0,0,92,29,29,0,31.5%,100.0%,40,11,11,0,27.5%,100.0%,55,40,40,0,72.7%,100.0%
1,730198016,Patriots,Dallas Baptist,Dallas Baptist University,Dallas Baptist,DBU,BBC,,730198016,BBC,Patriots,DBU,Dallas Baptist,59,24,0,0,111,46,46,0,41.4%,100.0%,55,27,27,0,49.1%,100.0%,92,63,63,0,68.5%,100.0%
1,730205440,Falcons,Air Force,Air Force Academy,Air Force,AFA,BBC,,730205440,BBC,Falcons,AFA,Air Force,54,25,0,0,84,26,26,0,31.0%,100.0%,45,26,26,0,57.8%,100.0%,91,50,50,0,54.9%,100.0%
1,730153472,Lobos,New Mexico,University of New Mexico,New Mexico,UNM,BBC,,730153472,BBC,Lobos,UNM,New Mexico,53,30,0,0,128,47,47,0,36.7%,100.0%,63,27,27,0,42.9%,100.0%,99,62,62,0,62.6%,100.0%
1,4784,Wolf Pack,Nevada,University of Nevada,Nevada,NEV,BBC,,4784,BBC,Wolf Pack,NEV,Nevada,57,35,0,0,132,31,31,0,23.5%,100.0%,42,12,12,0,28.6%,100.0%,107,72,72,0,67.3%,100.0%
1,730206720,Spartans,San Jose State,San Jose State University,San Jose State,SJSU,BBC,,730206720,BBC,Spartans,SJSU,San Jose State,59,32,0,0,116,50,50,0,43.1%,100.0%,37,21,21,0,56.8%,100.0%,71,49,49,0,69.0%,100.0%
1,730384384,Bulldogs,Fresno State,Fresno State,Fresno State,FRES,BBC,,730384384,BBC,Bulldogs,FRES,Fresno State,60,30,0,0,124,36,36,0,29.0%,100.0%,44,25,25,0,56.8%,100.0%,107,56,56,0,52.3%,100.0%
1,730206976,Crimson Tide,Alabama,University of Alabama,Alabama,ALA,BBC,,730206976,BBC,Crimson Tide,ALA,Alabama,59,28,0,0,127,47,47,0,37.0%,100.0%,37,13,13,0,35.1%,100.0%,83,53,53,0,63.9%,100.0%
1,730363648,Jaspers,Manhattan,Manhattan College,Manhattan,MAN,BBC,,730363648,BBC,Jaspers,MAN,Manhattan,48,42,0,0,77,28,28,0,36.4%,100.0%,36,17,17,0,47.2%,100.0%,65,36,36,0,55.4%,100.0%
1,730369536,Crusaders,Valparaiso,Valparaiso University,Valparaiso,VALP,BBC,,730369536,BBC,Crusaders,VALP,Valparaiso,50,17,0,0,78,24,24,0,30.8%,100.0%,28,11,11,0,39.3%,100.0%,53,26,26,0,49.1%,100.0%
1,730378496,Trojans,Troy,Troy University,Troy,TROY,BBC,,730378496,BBC,Trojans,TROY,Troy,60,32,0,0,117,39,39,0,33.3%,100.0%,49,25,25,0,51.0%,100.0%,99,66,66,0,66.7%,100.0%
1,730298880,Jaguars,South Alabama,University of South Alabama,South Alabama,USA,BBC,,730298880,BBC,Jaguars,USA,South Alabama,51,29,0,0,102,31,31,0,30.4%,100.0%,31,13,13,0,41.9%,100.0%,71,43,43,0,60.6%,100.0%
1,3032,Aggies,Texas A&M,Texas A&M University,Texas A&M,TXAM,BBC,,3032,BBC,Aggies,TXAM,Texas A&M,56,28,0,0,102,33,33,0,32.4%,100.0%,31,11,11,0,35.5%,100.0%,70,35,35,0,50.0%,100.0%
1,730386432,Bulldogs,Samford,Samford University,Samford,SAM,BBC,,730386432,BBC,Bulldogs,SAM,Samford,57,30,0,0,95,23,23,0,24.2%,100.0%,45,22,22,0,48.9%,100.0%,89,49,49,0,55.1%,100.0%
1,730345984,Blazers,UAB,UAB,UAB,UAB,BBC,,730345984,BBC,Blazers,UAB,UAB,54,35,0,0,107,38,38,0,35.5%,100.0%,21,8,8,0,38.1%,100.0%,90,60,60,0,66.7%,100.0%
