Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,PopTimeSBA2,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
1,1309684736,B. Burke,Brendan Burke,Burke,Brendan,C,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,33,660,115,93,22,80.9%,382,86,70,16,81.4%,2.03,278,29,24,5,82.8%,3,2,1
2,1131893504,C. Kenny,Craig Kenny,Kenny,Craig,C,University of Northern Colorado,UNCO,730286592,Northern Colorado,BBC,R,R,44,799,76,55,21,72.4%,491,59,42,17,71.2%,1.95,308,11,8,3,72.7%,1,0,1
2,1310888704,W. Cresswell,Will Cresswell,Cresswell,Will,C,Washington State University,WSU,4505,Washington State,BBC,R,R,40,705,54,33,21,61.1%,423,48,30,18,62.5%,1.87,282,5,2,3,40.0%,0,0,0
2,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,1000,54,33,21,61.1%,606,47,28,19,59.6%,1.96,394,6,4,2,66.7%,0,0,0
2,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,53,819,85,64,21,75.3%,494,67,49,18,73.1%,2.15,325,11,9,2,81.8%,2,1,1
6,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,37,615,57,37,20,64.9%,367,48,31,17,64.6%,1.95,248,3,3,0,100.0%,3,0,3
6,1096254976,J. Barnes,Jerry Barnes III,Barnes,Jerry,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,38,640,100,80,20,80.0%,396,79,62,17,78.5%,2.06,244,10,10,0,100.0%,4,1,3
6,1263652608,N. Hosie,Nick Hosie,Hosie,Nick,C,Bradley University,BRAD,730253312,Bradley,BBC,L,R,46,886,85,65,20,76.5%,529,71,56,15,78.9%,2.02,357,13,8,5,61.5%,1,1,0
6,1198411264,A. Vining,Ashby Vining,Vining,Ashby,C,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,29,625,70,50,20,71.4%,367,57,39,18,68.4%,2.07,258,12,11,1,91.7%,2,1,1
10,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,669,49,30,19,61.2%,403,39,23,16,59.0%,2.04,266,4,2,2,50.0%,2,1,1
