Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
1,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,66,166,54,53,1,98.1%,105,39,39,0,100.0%,61,14,13,1,92.9%,0,0,0
2,1156682240,J. McCladdie,Jordan McCladdie,McCladdie,Jordan,CF,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,51,143,53,49,4,92.5%,89,18,15,3,83.3%,54,23,22,1,95.7%,1,1,0
3,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,181,55,46,9,83.6%,115,33,26,7,78.8%,66,17,16,1,94.1%,3,2,1
4,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,61,169,48,45,3,93.8%,111,36,34,2,94.4%,58,9,8,1,88.9%,0,0,0
4,1460638543,R. Wideman,Ryan Wideman,Wideman,Ryan,CF,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,R,R,60,94,55,45,10,81.8%,59,35,26,9,74.3%,35,13,12,1,92.3%,0,0,0
6,1245154816,D. Pendergrass,Dariyan Pendergrass,Pendergrass,Dariyan,CF,College of Charleston,COFC,730177792,College of Charleston,BBC,L,L,59,106,48,44,4,91.7%,61,30,27,3,90.0%,45,15,14,1,93.3%,0,0,0
6,1322859776,K. Jordan,Kazuya Jordan,Jordan,Kazuya,2B,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,53,73,48,44,4,91.7%,48,29,26,3,89.7%,25,13,13,0,100.0%,2,1,1
6,1263049984,B. Hughes,Bryce Hughes,Hughes,Bryce,SS,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,54,111,49,44,5,89.8%,71,33,29,4,87.9%,40,13,12,1,92.3%,0,0,0
9,1313787904,C. Shpur,Caleb Shpur,Shpur,Caleb,CF,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,58,113,48,43,5,89.6%,78,34,31,3,91.2%,35,11,9,2,81.8%,0,0,0
10,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,44,55,45,42,3,93.3%,40,26,24,2,92.3%,15,19,18,1,94.7%,0,0,0
10,1182038272,O. Hull,Owen Hull,Hull,Owen,RF,George Mason University,GMU,730265088,George Mason,BBC,L,R,61,126,48,42,6,87.5%,82,27,23,4,85.2%,44,14,12,2,85.7%,3,3,0
12,1279331072,L. Vidourek,Landyn Vidourek,Vidourek,Landyn,RF,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,R,52,108,40,39,1,97.5%,64,24,23,1,95.8%,44,8,8,0,100.0%,0,0,0
12,1074012160,T. Rice,Trent Rice,Rice,Trent,CF,Oakland University,OAK,5386,Oakland,BBC,R,R,55,81,44,39,5,88.6%,51,29,26,3,89.7%,30,9,7,2,77.8%,0,0,0
12,1162535680,J. Tucker,Jackson Tucker,Tucker,Jackson,CF,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,53,137,44,39,5,88.6%,83,35,30,5,85.7%,54,7,7,0,100.0%,1,1,0
15,1243930112,J. Fithian,Jalen Fithian,Fithian,Jalen,CF,University of Tennessee at Martin,UTM,730238976,UT Martin,BBC,R,R,53,95,42,37,5,88.1%,61,25,22,3,88.0%,34,15,13,2,86.7%,1,1,0
15,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,97,40,37,3,92.5%,52,21,18,3,85.7%,45,9,9,0,100.0%,1,1,0
17,1310853632,S. Rivera,Sergio Rivera,Rivera,Sergio,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,51,93,39,36,3,92.3%,51,21,18,3,85.7%,42,7,7,0,100.0%,3,3,0
17,1309405440,J. Bastian,Jaden Bastian,Bastian,Jaden,CF,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,55,98,37,36,1,97.3%,67,28,28,0,100.0%,31,6,5,1,83.3%,0,0,0
17,1188602368,A. Whitley,Aaron Whitley,Whitley,Aaron,CF,University of Richmond,RICH,730171904,Richmond,BBC,R,R,51,135,39,36,3,92.3%,70,27,26,1,96.3%,65,8,6,2,75.0%,0,0,0
17,1274480640,J. Quinn-Irons,James Quinn-Irons,Quinn-Irons,James,CF,George Mason University,GMU,730265088,George Mason,BBC,R,R,61,144,42,36,6,85.7%,82,29,24,5,82.8%,62,9,8,1,88.9%,1,1,0
17,1162316032,M. DiMartini,Michael DiMartini,DiMartini,Michael,CF,University of Dayton,DAY,730194688,Dayton,BBC,R,R,55,137,41,36,5,87.8%,92,30,26,4,86.7%,45,11,10,1,90.9%,0,0,0
