Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,Inn,FieldOpp,Chances,PO,A,E,ThrowE,FieldE,DropE,FLD%,DP
1,1085400320,R. Taylor,Ryan Taylor,Taylor,Ryan,CF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,41,351.0,149,90,90,0,0,0,0,0,1.000,0
1,1192951040,R. Acosta,Riley Acosta,Acosta,Riley,C,UC Davis,UCD,730153984,UC Davis,BBC,R,R,41,349.1,24,295,258,37,0,0,0,0,1.000,4
1,1162511360,C. Krauss,Chayton Krauss,Krauss,Chayton,1B,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,58,483.1,99,410,380,30,0,0,0,0,1.000,37
1,1281635328,W. Asby,Will Asby,Asby,Will,RF,University of New Mexico,UNM,730153472,New Mexico,BBC,L,R,51,433.2,157,90,90,0,0,0,0,0,1.000,0
1,1304736768,A. Cheeseman,Alex Cheeseman,Cheeseman,Alex,2B,UAB,UAB,730345984,UAB,BBC,R,R,37,288.0,81,133,56,77,0,0,0,0,1.000,24
1,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,51,435.1,12,413,375,38,0,0,0,0,1.000,4
1,1192592640,C. Harthan,Cam Harthan,Harthan,Cam,CF,Marshall University,MRSH,730333696,Marshall,BBC,L,L,56,484.1,182,128,127,1,0,0,0,0,1.000,0
1,1142558720,I. Jackson,Isaiah Jackson,Jackson,Isaiah,CF,Arizona State University,ASU,5035,Arizona State,BBC,L,R,60,512.0,221,141,138,3,0,0,0,0,1.000,1
1,1201246464,L. Maxwell,Logan Maxwell,Maxwell,Logan,RF,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,44,329.1,82,53,52,1,0,0,0,0,1.000,0
1,1100118528,E. Hott,Ethan Hott,Hott,Ethan,CF,Stanford University,STAN,730251264,Stanford,BBC,R,R,38,304.1,167,100,100,0,0,0,0,0,1.000,0
1,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,39,314.1,13,341,311,30,0,0,0,0,1.000,1
1,1307060992,E. Breyfogle,Easton Breyfogle,Breyfogle,Easton,LF,University of Arizona,ARIZ,232,Arizona,BBC,L,R,47,383.0,140,67,67,0,0,0,0,0,1.000,0
1,1239203072,K. Hall,Kevin Hall Jr.,Hall,Kevin,CF,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,51,410.2,251,145,144,1,0,0,0,0,1.000,0
1,1198505728,E. Rodriguez,Elijah Rodriguez,Rodriguez,Elijah,LF,UNLV,UNLV,730161664,UNLV,BBC,L,L,38,296.0,115,64,63,1,0,0,0,0,1.000,0
1,1162009088,B. Neal,Brady Neal,Neal,Brady,C,University of Alabama,ALA,730206976,Alabama,BBC,L,R,40,340.1,11,369,346,23,0,0,0,0,1.000,1
1,1075203328,M. Robertson,Michael Robertson,Robertson,Michael,CF,Liberty University,LIB,730156288,Liberty,BBC,L,R,56,474.1,199,139,139,0,0,0,0,0,1.000,0
1,1324040192,B. Chance,Bryce Chance,Chance,Bryce,CF,Mississippi State University,MSST,5080,Mississippi State,BBC,R,R,58,446.2,158,109,108,1,0,0,0,0,1.000,0
1,1107635456,D. Haab,Daniel Haab,Haab,Daniel,RF,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,52,427.2,124,143,135,8,0,0,0,0,1.000,0
1,1305030656,J. Sutton,Jonah Sutton,Sutton,Jonah,C,University of Memphis,MEM,730172160,Memphis,BBC,R,R,40,333.0,14,340,311,29,0,0,0,0,1.000,3
1,1143087616,R. Chapman,Reese Chapman,Chapman,Reese,RF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,64,512.0,129,93,87,6,0,0,0,0,1.000,0
1,1153707776,C. Rife,Charlie Rife,Rife,Charlie,C,Bellarmine University,BU,730167552,Bellarmine,BBC,R,R,38,239.0,12,162,140,22,0,0,0,0,1.000,2
1,1192504064,B. Bevis,Blake Bevis,Bevis,Blake,1B,Ball State University,BALL,730195456,Ball State,BBC,R,R,57,481.2,140,274,263,11,0,0,0,0,1.000,24
1,1114211072,C. Konczak,Caden Konczak,Konczak,Caden,RF,University of Toledo,TOL,5388,Toledo,BBC,L,R,60,502.1,177,110,108,2,0,0,0,0,1.000,1
1,1142659072,J. Harris,James Harris,Harris,James,1B,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,R,R,44,362.2,76,376,355,21,0,0,0,0,1.000,23
1,1197179904,J. Eichelberger,Joseph Eichelberger,Eichelberger,Joseph,RF,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,49,398.1,134,90,84,6,0,0,0,0,1.000,2
1,1166283008,M. Quatrani,Mark Quatrani,Quatrani,Mark,C,Cornell University,COR,730298624,Cornell,BBC,R,R,31,251.0,5,221,199,22,0,0,0,0,1.000,3
1,1083995904,J. Davis,Jakobi Davis,Davis,Jakobi,CF,Cornell University,COR,730298624,Cornell,BBC,L,L,34,287.0,145,101,100,1,0,0,0,0,1.000,0
1,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,471.0,185,115,113,2,0,0,0,0,1.000,1
1,1279296512,C. Maldonado,Cam Maldonado,Maldonado,Cam,CF,Northeastern University,NE,343,Northeastern,BBC,R,R,53,457.0,187,127,127,0,0,0,0,0,1.000,0
