Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SBA,SB3,1/3 SB ATT,Squeeze #,Bunt Hit Att
1,1085384960,J. Pokrovsky,Jarrett Pokrovsky,Pokrovsky,Jarrett,RF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,5,0,1,0,0
1,1085400320,R. Taylor,Ryan Taylor,Taylor,Ryan,CF,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,22,2,2,0,1
1,1142704384,T. Shurtleff,Thomas Shurtleff,Shurtleff,Thomas,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0,0,0,0,0
1,1175273984,M. Mott,Marshall Mott,Mott,Marshall,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,0,0,0,0,0
1,1175274240,N. Polo,Nate Polo,Polo,Nate,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,R,0,0,0,0,0
1,1176013056,Q. Ahearn,Qwynn Ahearn,Ahearn,Qwynn,C,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0,0,0,0,0
1,1181535232,H. Rook,Holden Rook,Rook,Holden,RF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,6,0,1,1,0
1,1192517376,M. Miesse,Maddox Miesse,Miesse,Maddox,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,5,2,0,1,0
1,1195516928,C. Matlon,Caden Matlon,Matlon,Caden,C,University of Akron,AKR,540536064,Akron,BBC,R,R,5,0,2,2,1
1,1238242304,Z. Payne,Zandt Payne,Payne,Zandt,SS,Abilene Christian University,AC,730375936,Abilene Christian,BBC,S,R,14,1,2,1,1
1,1238307584,J. Cerwinski,John Cerwinski,Cerwinski,John,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0,0,0,0,0
1,1254171392,R. Borho,Reese Borho,Borho,Reese,LF,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,11,2,4,1,0
1,1262647552,W. Henseler,Wyatt Henseler,Henseler,Wyatt,3B,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,4,0,0,0,0
1,1262648064,C. Ozmer,Carson Ozmer,Ozmer,Carson,P,University of Alabama,ALA,730206976,Alabama,BBC,R,R,0,0,0,0,0
1,1284163584,A. Wilson,Asa Wilson,Wilson,Asa,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0,0,0,0,0
1,1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,0,0,0,0,0
1,1306772736,N. Spaventa,Nick Spaventa,Spaventa,Nick,1B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,0,0,0,0,0
1,1310805248,C. Chavez,Connor Chavez,Chavez,Connor,2B,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,R,4,0,0,2,1
1,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,0,0,0,0,0
1,1314523648,C. Greanead,Caden Greanead,Greanead,Caden,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,0,0,0,0,0
1,1320360704,D. Baker,Davis Baker,Baker,Davis,SS,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,9,2,1,0,0
1,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,0,0,0,0,0
1,1126294528,R. Black,Ryan Black,Black,Ryan,2B,University of Georgia,UGA,226,Georgia,BBC,L,R,3,0,1,0,0
1,1134142464,J. Nielsen,Jack Nielsen,Nielsen,Jack,C,Abilene Christian University,AC,730375936,Abilene Christian,BBC,R,R,2,0,2,0,0
1,1142524928,A. Calhoun,Aaron Calhoun,Calhoun,Aaron,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,0,0,0,0,0
