Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,GS,G_C,G_1B,G_2B,G_3B,G_SS,G_IF,G_OF,G_LF,G_CF,G_RF
1,1218484224,B. Barthol,Blake Barthol,Barthol,Blake,2B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,69,69,0,0,69,0,0,69,0,0,0,0
2,1190621184,D. Dickinson,Daniel Dickinson,Dickinson,Daniel,2B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,68,0,0,68,0,0,68,0,0,0,0
2,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,68,0,67,0,5,0,68,0,0,0,0
2,1309407488,S. Milam,Steven Milam,Milam,Steven,SS,Louisiana State University,LSU,5323,Louisiana State,BBC,S,R,68,68,0,0,0,0,68,68,0,0,0,0
5,1143114496,C. Stanfield,Chris Stanfield,Stanfield,Chris,CF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,67,67,0,0,0,0,0,0,67,2,65,0
6,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,66,65,0,0,0,0,0,0,66,1,64,1
6,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,66,66,66,0,0,0,0,0,0,0,0,0
6,1262667264,M. Levu,Mulivai Levu,Levu,Mulivai,1B,UCLA,UCLA,5048,UCLA,BBC,L,R,66,66,0,66,0,0,0,66,0,0,0,0
6,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,66,66,0,0,0,0,66,66,0,0,0,0
6,1330097152,D. West,Dean West,West,Dean,LF,UCLA,UCLA,5048,UCLA,BBC,L,R,66,65,0,0,0,0,0,0,66,66,0,0
6,1204530458,J. Munroe,Jake Munroe,Munroe,Jake,3B,University of Louisville,LOU,5467,Louisville,BBC,R,R,66,66,0,0,0,66,0,66,0,0,0,0
12,1153713408,A. Walton,Aaron Walton,Walton,Aaron,CF,University of Arizona,ARIZ,232,Arizona,BBC,R,R,65,65,0,0,0,0,0,0,65,0,65,0
12,1311954432,W. Aloy,Wehiwa Aloy,Aloy,Wehiwa,SS,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,65,0,0,0,0,65,65,0,0,0,0
12,1162551808,R. Martin,Roman Martin,Martin,Roman,3B,UCLA,UCLA,5048,UCLA,BBC,R,R,65,65,0,0,0,65,0,65,0,0,0,0
12,1153320704,A. Arquette,Aiva Arquette,Arquette,Aiva,SS,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,65,0,0,0,0,65,65,0,0,0,0
12,1099693419,B. Iredale,Brent Iredale,Iredale,Brent,3B,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,64,0,0,0,65,0,65,0,0,0,0
12,1119106753,D. Curiel,Derek Curiel,Curiel,Derek,LF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,65,65,0,0,0,0,0,0,65,62,10,0
18,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,64,64,0,63,0,5,0,64,2,2,0,0
18,1143087616,R. Chapman,Reese Chapman,Chapman,Reese,RF,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,64,64,0,0,0,0,0,0,64,0,0,64
18,1237379328,H. Ensley,Hunter Ensley,Ensley,Hunter,CF,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,64,64,0,0,0,0,0,0,64,0,64,0
18,1220193792,C. Davalan,Charles Davalan,Davalan,Charles,LF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,64,64,0,0,0,0,0,0,64,56,18,0
18,1162367744,T. Caraway,Trent Caraway,Caraway,Trent,3B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,63,0,0,0,64,0,64,0,0,0,0
18,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,64,62,0,61,0,0,0,61,0,0,0,0
18,1280636850,A. Singer,AJ Singer,Singer,AJ,2B,Oregon State University,ORST,3111,Oregon State,BBC,R,R,64,64,0,0,62,9,6,64,0,0,0,0
25,1310879232,J. Paino,Josh Paino,Paino,Josh,3B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,63,62,0,0,0,58,5,63,0,0,0,0
25,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,63,63,0,0,0,0,63,63,0,0,0,0
25,1242818304,M. Braswell,Michael Braswell,Braswell,Michael,3B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,63,48,0,0,0,59,6,63,0,0,0,0
25,1207820544,L. Hill,Luke Hill,Hill,Luke,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,63,63,0,0,16,49,0,63,0,0,0,0
25,1084399104,D. Curley,Dean Curley,Curley,Dean,SS,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,63,63,0,5,29,21,22,63,0,0,0,0
25,1142791936,I. Humphrey,Isaac Humphrey,Humphrey,Isaac,CF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,63,63,0,0,0,0,0,0,63,0,57,6
25,1134055424,W. Mitchell,Walker Mitchell,Mitchell,Walker,3B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,63,63,0,0,0,63,0,63,0,0,0,0
25,1099691776,W. Sykes,Wells Sykes,Sykes,Wells,RF,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,63,58,0,0,0,0,0,0,63,11,26,30
25,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,63,63,0,0,63,0,0,63,0,0,0,0
25,1142659584,C. Paetow,Carson Paetow,Paetow,Carson,RF,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,L,63,63,0,0,0,0,0,0,63,0,0,63
25,1310831104,M. Russo,Matthew Russo,Russo,Matthew,1B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,L,R,63,63,0,63,0,0,0,63,0,0,0,0
25,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,63,60,63,0,0,0,0,0,0,0,0,0
25,1276857856,A. Salgado,AJ Salgado,Salgado,AJ,RF,UCLA,UCLA,5048,UCLA,BBC,L,R,63,62,0,1,0,0,0,1,62,0,19,45
25,1617354666,C. Thorndyke,Colby Thorndyke,Thorndyke,Colby,1B,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,L,R,63,62,0,63,0,0,0,63,0,0,0,0
39,1077958912,G. Caulfield,Garen Caulfield,Caulfield,Garen,2B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,62,0,0,62,0,0,62,0,0,0,0
39,1174787328,T. Splaine,Tommy Splaine,Splaine,Tommy,1B,University of Arizona,ARIZ,232,Arizona,BBC,R,R,62,61,12,54,0,0,0,54,0,0,0,0
39,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,62,61,0,4,39,20,0,59,6,5,1,0
39,1093308160,A. Garza,Alejandro Garza,Garza,Alejandro,3B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,62,0,0,0,61,5,62,0,0,0,0
39,1193756928,C. Murray Jr.,Casey Murray Jr.,Murray Jr.,Casey,CF,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,62,0,0,0,0,0,0,62,0,62,0
39,1075205888,D. Williams,Dixon Williams,Williams,Dixon,2B,East Carolina University,ECU,730270720,East Carolina,BBC,L,R,62,62,0,0,52,15,15,62,1,0,1,0
39,1279343616,T. Albright,Tyler Albright,Albright,Tyler,LF,Duke University,DUKE,730336256,Duke,BBC,R,L,62,62,0,0,0,0,0,0,62,21,8,42
39,1310362624,J. Ogden,Jake Ogden,Ogden,Jake,SS,University of Miami,MIA,236,Miami,BBC,R,R,62,62,0,5,0,4,56,62,0,0,0,0
39,1143047680,D. Carey,Dylan Carey,Carey,Dylan,SS,University of Nebraska,NEB,4865,Nebraska,BBC,R,R,62,62,0,0,0,0,62,62,0,0,0,0
39,1084019968,D. Gonzalez Jr.,Dorian Gonzalez Jr.,Gonzalez Jr.,Dorian,2B,University of Miami,MIA,236,Miami,BBC,L,R,62,62,0,0,62,0,0,62,0,0,0,0
39,1149963264,C. Wallace,Colby Wallace,Wallace,Colby,TWP,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,62,0,7,0,58,0,62,0,0,0,0
39,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,60,62,0,0,0,0,0,0,0,0,0
39,1196806913,L. Russell,Landon Russell,Russell,Landon,CF,Stetson University,STET,730261504,Stetson,BBC,R,R,62,60,0,0,0,0,0,0,62,0,62,0
39,1297509632,O. Pratt,Ozzie Pratt,Pratt,Ozzie,SS,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,62,62,0,0,0,0,62,62,0,0,0,0
39,1152961280,E. Talt,Easton Talt,Talt,Easton,RF,Oregon State University,ORST,3111,Oregon State,BBC,L,R,62,60,0,0,0,0,0,0,62,0,0,62
39,1298969344,J. Berger,Jake Berger,Berger,Jake,2B,Duke University,DUKE,730336256,Duke,BBC,L,R,62,61,0,0,62,0,1,62,0,0,0,0
39,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,62,62,0,0,0,0,0,0,62,0,62,0
39,1241783808,M. Sanford,Mitchell Sanford,Sanford,Mitchell,RF,University of Mississippi,MISS,5322,Ole Miss,BBC,L,R,62,62,0,0,0,0,0,0,62,40,7,15
39,1187057152,C. Kashimoto,Cody Kashimoto,Kashimoto,Cody,2B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,S,R,62,59,0,0,57,0,9,62,0,0,0,0
39,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,62,62,0,0,0,0,0,0,0,0,0
39,1258114566,J. Thomas,Justin Thomas,Thomas,Justin,CF,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,62,54,0,0,0,0,0,0,62,4,58,0
39,1802425630,J. Taylor,Jordan Taylor,Taylor,Jordan,LF,Stetson University,STET,730261504,Stetson,BBC,R,R,62,62,0,0,0,0,0,0,62,22,6,39
61,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,61,0,0,0,0,0,0,61,0,61,0
61,1300003584,C. Garner,Carson Garner,Garner,Carson,3B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,61,0,0,0,61,0,61,0,0,0,0
61,1283569920,C. McMurray,Cooper McMurray,McMurray,Cooper,1B,Auburn University,AUB,5466,Auburn,BBC,L,L,61,61,0,61,0,0,0,61,0,0,0,0
61,1245930752,A. Alicea,Alex Alicea,Alicea,Alex,SS,University of Louisville,LOU,5467,Louisville,BBC,S,R,61,58,0,0,1,0,61,61,0,0,0,0
61,1238255872,L. Mistone,Luke Mistone,Mistone,Luke,1B,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,61,0,61,0,0,0,61,0,0,0,0
61,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,61,61,0,1,0,60,0,61,0,0,0,0
