Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,PMenOn,P/PKAtt,PitcherPKAtt,PitcherPK,PitcherPKErr,P1B,P/PK1Att,PK1Att,PK1,PK1Err,P2B,P/PK2Att,PK2Att,PK2,PK2Err,P3B,P/PK3Att,PK3Att,PK3,PK3Err
1,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,627,3.9,159,13,1,422,3.4,125,12,0,267,8.9,30,0,1,145,36.3,4,1,0
2,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,531,15.2,35,8,0,417,13.0,32,8,0,292,97.3,3,0,0,151,-,0,0,0
2,1162566912,E. Gonzales,Erick Gonzales,Gonzales,Erick,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,660,5.5,120,8,8,447,4.5,100,6,7,353,20.8,17,0,1,157,31.4,5,2,0
2,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,571,20.4,28,8,2,327,16.4,20,4,2,333,47.6,7,3,0,199,199.0,1,1,0
5,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,470,4.2,112,7,0,285,3.2,90,6,0,233,10.6,22,1,0,55,-,0,0,0
5,1204883968,D. McCarley,Derek McCarley,McCarley,Derek,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,L,L,337,5.4,62,7,0,218,4.0,55,6,0,142,20.3,7,1,0,79,-,0,0,0
5,1286256640,G. Rumary,Garvey Rumary,Rumary,Garvey,P,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,653,8.9,73,7,5,360,6.1,59,4,5,359,29.9,12,1,0,176,58.7,3,2,0
5,1310807296,N. Lottchea,Nick Lottchea,Lottchea,Nick,P,College of William & Mary,WM,730232064,William & Mary,BBC,L,L,389,12.2,32,7,0,274,9.4,29,6,0,186,62.0,3,0,0,122,122.0,1,1,0
9,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,479,7.6,63,6,1,319,5.6,57,5,1,217,43.4,5,1,0,108,108.0,1,0,0
9,1297496064,I. Fix,Isaac Fix,Fix,Isaac,P,Davidson College,DAV,730363136,Davidson,BBC,R,L,649,7.2,90,6,2,436,5.3,83,6,1,318,53.0,6,0,1,174,174.0,1,0,0
9,1137437184,M. Flores,Matthew Flores,Flores,Matthew,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,302,7.2,42,6,0,198,5.2,38,6,0,131,32.8,4,0,0,58,-,0,0,0
9,1208166656,L. Harrison,Luke Harrison,Harrison,Luke,P,University of Texas,TEX,245,Texas,BBC,L,L,535,6.9,77,6,0,402,6.0,67,6,0,213,21.3,10,0,0,120,-,0,0,0
9,1576636145,M. Hudson,Matt Hudson,Hudson,Matt,P,UC Riverside,UCRV,730281728,UC Riverside,BBC,R,R,356,8.7,41,6,1,195,5.9,33,5,1,203,25.4,8,1,0,90,-,0,0,0
14,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,480,12.6,38,5,0,353,10.7,33,5,0,264,52.8,5,0,0,142,-,0,0,0
14,1292598272,S. Murchison,Sam Murchison,Murchison,Sam,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,599,7.6,79,5,0,391,5.8,68,5,0,240,24.0,10,0,0,158,158.0,1,0,0
14,1188013824,K. Michaels,Kenny Michaels,Michaels,Kenny,P,Wofford College,WOF,730176512,Wofford,BBC,R,L,517,8.0,65,5,1,356,5.6,64,5,1,241,241.0,1,0,0,144,-,0,0,0
14,1232886784,M. Parker,Max Parker,Parker,Max,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,L,589,16.4,36,5,0,481,16.0,30,4,0,193,32.2,6,1,0,96,-,0,0,0
14,1081801472,J. Trombley,Joseph Trombley,Trombley,Joseph,P,Sacred Heart University,SHU,730194944,Sacred Heart,BBC,R,R,634,6.7,95,5,2,395,4.4,89,5,2,329,54.8,6,0,0,190,-,0,0,0
14,1197348608,R. Marohn,Ryan Marohn,Marohn,Ryan,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,533,6.3,85,5,0,340,4.3,79,5,0,211,35.2,6,0,0,120,-,0,0,0
14,1185610753,D. Fritton,Dom Fritton,Fritton,Dom,P,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,719,9.2,78,5,0,536,7.4,72,5,0,285,57.0,5,0,0,199,199.0,1,0,0
14,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,427,6.4,67,5,6,272,4.7,58,4,6,147,16.3,9,1,0,74,-,0,0,0
14,1311844864,C. Edmondson,Clay Edmondson,Edmondson,Clay,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,623,16.0,39,5,0,456,13.8,33,3,0,293,58.6,5,1,0,61,61.0,1,1,0
14,1099891712,J. Evans,Jarvis Evans,Evans,Jarvis,P,University of South Carolina,SCAR,730348544,South Carolina,BBC,L,L,264,6.1,43,5,0,203,4.8,42,5,0,109,109.0,1,0,0,46,-,0,0,0
14,1169302528,G. Grinsell,Grayson Grinsell,Grinsell,Grayson,P,University of Oregon,ORE,4807,Oregon,BBC,L,L,543,7.2,75,5,1,365,5.6,65,3,1,248,24.8,10,2,0,61,-,0,0,0
14,1110853120,B. LaPalm,Bennett LaPalm,LaPalm,Bennett,P,University of Dayton,DAY,730194688,Dayton,BBC,R,L,426,10.9,39,5,1,282,8.3,34,3,1,241,60.3,4,1,0,113,113.0,1,1,0
14,1942624969,W. Hooks,Walker Hooks,Hooks,Walker,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,289,4.9,59,5,0,222,4.5,49,5,0,141,14.1,10,0,0,106,-,0,0,0
14,1020139938,G. Wernsing,Gavan Wernsing,Wernsing,Gavan,P,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,L,345,7.2,48,5,0,250,5.3,47,5,0,136,136.0,1,0,0,71,-,0,0,0
28,1297342720,R. Prager,Ryan Prager,Prager,Ryan,P,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,L,542,7.0,77,4,0,385,5.1,76,4,0,228,228.0,1,0,0,67,-,0,0,0
28,1237056000,T. Boccabello,Tanner Boccabello,Boccabello,Tanner,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,427,9.7,44,4,3,266,6.7,40,4,2,202,50.5,4,0,1,110,-,0,0,0
28,1258115584,A. Colarusso,A.J. Colarusso,Colarusso,A.J.,P,Boston College,BC,227,Boston College,BBC,L,L,573,6.9,83,4,0,389,5.0,78,4,0,245,49.0,5,0,0,130,-,0,0,0
28,1207747072,J. Miner,Jace Miner,Miner,Jace,P,Wichita State University,WICH,730203904,Wichita State,BBC,L,L,338,7.3,46,4,0,232,5.0,46,4,0,179,-,0,0,0,101,-,0,0,0
28,1134423040,T. Helmick,Tristan Helmick,Helmick,Tristan,P,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,417,17.4,24,4,1,240,12.6,19,3,1,224,44.8,5,1,0,107,-,0,0,0
