Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,SBOpp,SBA,SB,CS,SB%,SB2Opp,SBA2,SB2,CS2,SB2%,SB3Opp,SBA3,SB3,CS3,SB3%,SBAH,SBH,CSH
1,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,15,148,9,9,0,100.0%,91,9,9,0,100.0%,57,0,0,0,-,0,0,0
1,1243621888,R. Maddox,Riley Maddox,Maddox,Riley,P,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,17,126,11,11,0,100.0%,79,8,8,0,100.0%,47,2,2,0,100.0%,1,1,0
1,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,107,9,9,0,100.0%,63,7,7,0,100.0%,44,3,3,0,100.0%,0,0,0
1,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,133,8,8,0,100.0%,76,5,5,0,100.0%,57,2,2,0,100.0%,0,0,0
1,1227026689,E. Calder,Ethan Calder,Calder,Ethan,P,Baylor University,BAY,3033,Baylor,BBC,L,L,15,109,6,6,0,100.0%,66,6,6,0,100.0%,43,0,0,0,-,0,0,0
1,1310946560,C. Benson,Chandler Benson,Benson,Chandler,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,20,112,6,6,0,100.0%,74,5,5,0,100.0%,38,0,0,0,-,0,0,0
1,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,67,0,0,0,-,38,0,0,0,-,29,0,0,0,-,0,0,0
1,1155642112,N. Deschryver,Nate Deschryver,Deschryver,Nathan,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,16,110,9,9,0,100.0%,70,8,8,0,100.0%,40,3,3,0,100.0%,0,0,0
1,1196801792,G. Hugus,Griffin Hugus,Hugus,Griffin,P,University of Miami,MIA,236,Miami,BBC,L,R,17,156,12,12,0,100.0%,100,10,10,0,100.0%,56,2,2,0,100.0%,0,0,0
1,1263800064,J. Volmerding,Josh Volmerding,Volmerding,Josh,P,Cal Poly,CP,5487,Cal Poly,BBC,L,L,17,183,2,2,0,100.0%,111,1,1,0,100.0%,72,0,0,0,-,0,0,0
1,1327579136,R. Halamicek,Ryan Halamicek,Halamicek,Ryan,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,R,17,124,0,0,0,-,78,0,0,0,-,46,0,0,0,-,0,0,0
1,1152945664,A. Eyanson,Anthony Eyanson,Eyanson,Anthony,P,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,20,168,9,9,0,100.0%,107,8,8,0,100.0%,61,0,0,0,-,0,0,0
1,1239087872,T. Bremner,Tyler Bremner,Bremner,Tyler,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,14,105,9,9,0,100.0%,64,8,8,0,100.0%,41,2,2,0,100.0%,0,0,0
1,1268530176,R. Easterly,Reid Easterly,Easterly,Reid,P,Duke University,DUKE,730336256,Duke,BBC,L,L,37,136,4,4,0,100.0%,78,3,3,0,100.0%,58,1,1,0,100.0%,0,0,0
1,1191770880,T. Ellisen,Thomas Ellisen,Ellisen,Thomas,P,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,16,134,13,13,0,100.0%,83,12,12,0,100.0%,51,2,2,0,100.0%,0,0,0
1,1237056768,C. Hansen,Cole Hansen,Hansen,Cole,P,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,14,105,26,26,0,100.0%,59,21,21,0,100.0%,46,6,6,0,100.0%,0,0,0
1,1232208640,L. McCollough,Luke McCollough,McCollough,Luke,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,13,119,5,5,0,100.0%,73,5,5,0,100.0%,46,1,1,0,100.0%,0,0,0
1,1238172160,N. Rodriguez,Noah Rodriguez,Rodriguez,Noah,P,Siena College,SIE,730382592,Siena,BBC,L,R,16,148,14,14,0,100.0%,90,14,14,0,100.0%,58,2,2,0,100.0%,0,0,0
1,1236290816,A. Haugh,Aidan Haugh,Haugh,Aidan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,17,127,3,3,0,100.0%,81,3,3,0,100.0%,46,0,0,0,-,0,0,0
1,1265428992,T. Chadwick,Tyrelle Chadwick,Chadwick,Tyrelle,P,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,14,130,1,1,0,100.0%,77,0,0,0,-,53,0,0,0,-,0,0,0
1,1142994176,L. Peterson,Liam Peterson,Peterson,Liam,P,University of Florida,FLA,730168320,Florida,BBC,R,R,16,113,6,6,0,100.0%,74,5,5,0,100.0%,39,1,1,0,100.0%,0,0,0
1,1104573440,L. Nichols,Luke Nichols,Nichols,Luke,P,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,L,25,107,7,7,0,100.0%,60,5,5,0,100.0%,47,1,1,0,100.0%,0,0,0
1,1150347776,C. Allen,Colby Allen,Allen,Colby,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,29,94,5,5,0,100.0%,62,5,5,0,100.0%,32,0,0,0,-,0,0,0
1,1275958784,E. Hoffberg,Erik Hoffberg,Hoffberg,Erik,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,23,102,5,5,0,100.0%,54,5,5,0,100.0%,48,0,0,0,-,0,0,0
1,1205406720,H. Watkins,Hunter Watkins,Watkins,Hunter,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,19,117,13,13,0,100.0%,77,12,12,0,100.0%,40,1,1,0,100.0%,0,0,0
1,1155468544,R. Beuter,Reece Beuter,Beuter,Reece,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,13,83,2,2,0,100.0%,56,2,2,0,100.0%,27,0,0,0,-,0,0,0
