Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PA,ExitVel,ForwVel,LaunchAng,BABIP,HardOut,SoftHit,Hit95+%,LA10-30%,Barrel,Barrel%,FBDst
1,1551542065,E. Williams,Eric Williams,Williams,Eric,2B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,330,149,103.5,100.2,7.0,.385,0,0,100.0%,50.0%,1,50.0%,-
2,1105387008,J. Journette,Justin Journette,Journette,Justin,RF,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,545,196,100.5,90.7,18.9,.421,0,0,69.2%,30.8%,3,23.1%,326.3
3,1746936435,M. Bailey,Myles Bailey,Bailey,Myles,1B,Florida State University,FSU,101,Florida State,BBC,L,R,56,975,245,96.9,87.4,12.3,.435,10,2,63.2%,29.6%,36,28.8%,351.1
4,1598424062,C. Dierdorf,Carter Dierdorf,Dierdorf,Carter,1B,University of West Georgia,UOWG,730308864,West Georgia,BBC,L,L,51,883,227,96.6,84.2,20.2,.345,4,0,74.1%,40.7%,12,44.4%,318.1
5,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,1202,290,96.5,83.5,18.0,.270,25,1,59.3%,28.7%,39,26.0%,336.8
6,1251236096,N. Shuhet,Nick Shuhet,Shuhet,Nick,C,Rider University,RID,730174976,Rider,BBC,R,R,51,701,226,96.0,87.1,13.7,.362,6,0,64.3%,42.9%,12,42.9%,328.3
7,1277834752,A. Graeber,Aaron Graeber,Graeber,Aaron,RF,University of Delaware,DEL,730203136,Delaware,BBC,R,L,52,901,252,96.0,86.4,9.6,.433,15,2,57.7%,27.0%,29,21.2%,337.5
8,1236375552,H. Feinberg,Harrison Feinberg,Feinberg,Harrison,LF,Northeastern University,NE,343,Northeastern,BBC,R,R,58,1005,257,95.9,85.0,6.0,.372,8,3,60.7%,36.1%,20,32.8%,336.8
9,1100719360,M. Bucciero,Matt Bucciero,Bucciero,Matt,RF,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,58,1175,288,95.9,90.5,7.6,.390,6,0,57.4%,40.7%,16,29.6%,322.0
10,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,858,205,95.8,84.1,14.7,.376,13,0,58.3%,34.3%,34,31.5%,346.1
11,1141456896,B. Hernandez,Benny Hernandez,Hernandez,Benny,1B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,38,357,146,95.6,71.7,14.9,.345,0,0,50.0%,0.0%,0,0.0%,212.5
12,1271007232,E. Frey,Ethan Frey,Frey,Ethan,RF,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,61,932,212,95.5,83.8,11.2,.382,13,1,59.0%,26.9%,31,23.1%,335.2
13,1750819940,M. Bell,Mikey Bell,Bell,Mikey,RF,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,53,877,235,95.1,88.5,9.2,.428,16,0,63.2%,33.3%,34,29.1%,331.5
14,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,1134,250,95.1,78.7,24.0,.339,15,0,58.2%,36.1%,30,24.6%,338.5
15,1286782976,W. Hodo,Will Hodo,Hodo,Will,1B,University of Alabama,ALA,730206976,Alabama,BBC,L,R,59,990,259,94.9,84.9,14.9,.328,19,0,60.1%,31.9%,42,30.4%,333.5
16,1109746176,D. Hellman,Dominic Hellman,Hellman,Dominic,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,48,792,223,94.9,84.8,7.8,.358,13,1,54.9%,30.3%,30,21.1%,332.0
17,1342168061,K. Wood,Kade Wood,Wood,Kade,SS,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,369,179,94.9,94.3,-6.4,.338,0,0,50.0%,0.0%,0,0.0%,385.0
18,1142738944,J. Walsh,Jacob Walsh,Walsh,Jacob,1B,University of Oregon,ORE,4807,Oregon,BBC,L,L,58,1071,276,94.9,82.4,11.6,.354,19,1,55.1%,28.4%,43,24.4%,335.9
19,1085401344,B. Birchmeier,Brady Birchmeier,Birchmeier,Brady,1B,Bowling Green State University,BGSU,730189056,Bowling Green,BBC,R,R,38,658,182,94.8,82.5,17.8,.345,6,0,59.6%,38.3%,16,34.0%,339.4
20,1174874880,J. Tiroly,Joe Tiroly,Tiroly,Joe,2B,Rider University,RID,730174976,Rider,BBC,R,R,51,832,235,94.8,80.4,14.4,.355,7,0,56.3%,37.5%,14,43.8%,339.6
21,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,55,998,258,94.5,83.2,8.8,.371,14,1,60.0%,27.1%,39,22.9%,343.8
22,1327580416,J. Mennella,Joseph Mennella,Mennella,Joseph,1B,Wagner College,WAG,730192640,Wagner,BBC,R,R,51,768,217,94.5,89.0,10.1,.310,2,1,66.7%,33.3%,4,33.3%,318.2
