Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,1B%,x1B%,x1B%Df,2B%,x2B%,x2B%Df,3B%,x3B%,x3B%Df,HR%,xHR%,xHR%Df,XBH%,xXBH%,xXBH%Df
1,1301047808,E. Ott,Ethan Ott,Ott,Ethan,1B,University of New Mexico,UNM,730153472,New Mexico,BBC,R,R,48,228,13.2%,12.7%,0.4%,9.6%,5.7%,4.0%,0.4%,0.8%,-0.3%,7.0%,9.1%,-2.1%,17.1%,13.0%,4.1%
2,1225719552,K. Nahaku,Kamana Nahaku,Nahaku,Kamana,LF,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,55,215,14.9%,11.9%,3.0%,2.3%,5.8%,-3.5%,0.5%,0.6%,-0.2%,4.7%,9.0%,-4.4%,7.4%,12.2%,-4.7%
3,1060162120,D. Francis Jr.,Dale Francis Jr.,Francis Jr.,Dale,1B,Gardner Webb University,WEBB,730222592,Gardner Webb,BBC,R,R,53,229,12.2%,14.1%,-1.9%,5.2%,5.4%,-0.2%,0.0%,0.9%,-0.9%,7.9%,9.0%,-1.2%,13.1%,13.0%,0.1%
4,1281944576,J. Green,Jackson Green,Green,Jackson,LF,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,R,R,52,208,16.8%,11.5%,5.3%,3.8%,6.1%,-2.3%,1.0%,0.7%,0.3%,3.4%,8.9%,-5.5%,8.2%,12.3%,-4.1%
5,1293170944,T. OBrien,Timmy OBrien,OBrien,Timmy,1B,Bradley University,BRAD,730253312,Bradley,BBC,R,R,51,219,12.8%,11.8%,1.0%,1.8%,3.4%,-1.6%,0.0%,0.4%,-0.4%,7.8%,8.7%,-0.9%,9.6%,10.6%,-1.0%
6,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,52,246,13.4%,17.0%,-3.6%,5.3%,5.5%,-0.2%,1.6%,0.8%,0.8%,7.7%,8.6%,-0.9%,14.6%,12.9%,1.8%
7,1111301120,K. Ritchie,Kollin Ritchie,Ritchie,Kollin,LF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,42,174,10.9%,10.5%,0.5%,4.6%,5.4%,-0.8%,0.0%,0.8%,-0.8%,8.6%,8.5%,0.2%,13.2%,12.1%,1.2%
8,1101830656,J. Ference,Jacob Ference,Ference,Jacob,C,University of Virginia,UVA,5415,Virginia,BBC,R,R,39,157,17.2%,14.9%,2.3%,3.8%,5.5%,-1.7%,0.0%,0.8%,-0.8%,5.7%,8.3%,-2.6%,9.6%,11.7%,-2.2%
9,1387425416,S. Grunberg,Sam Grunberg,Grunberg,Sam,1B,Lindenwood University,LU,730322176,Lindenwood,BBC,R,R,58,249,13.7%,14.2%,-0.6%,6.4%,5.5%,0.9%,0.4%,0.7%,-0.3%,5.2%,8.1%,-2.9%,12.0%,12.6%,-0.6%
10,1257458688,C. Tinney,Carson Tinney,Tinney,Carson,C,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,48,205,12.2%,11.5%,0.7%,6.3%,6.0%,0.3%,0.0%,0.5%,-0.5%,8.3%,8.1%,0.2%,14.6%,11.3%,3.4%
