Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
1,1148432640,A. Rodriguez,Alec Rodriguez,Rodriguez,Alec,LF,Delaware State University,DSU,730217984,Delaware State,BBC,L,R,39,137,12.0%,16.0%,72.0%,72.0%,12.0%,4.0%,8.0%,12.0%,52.0%,24.0%
2,1090550016,T. DeClusin,Tyler DeClusin,DeClusin,Tyler,RF,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,39,135,68.2%,18.2%,13.6%,68.2%,13.6%,36.4%,36.4%,13.6%,9.1%,4.5%
3,1100142336,J. Ritter,Jamal Ritter,Ritter,Jamal,CF,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,42,162,7.7%,26.9%,65.4%,65.4%,7.7%,0.0%,7.7%,15.4%,46.2%,30.8%
4,1213082624,C. Bower,Colton Bower,Bower,Colton,C,University of Washington,WASH,3110,Washington,BBC,R,R,50,159,63.1%,22.3%,14.6%,63.1%,14.6%,35.0%,39.8%,7.8%,6.8%,10.7%
5,1325105152,J. Simpson,Joe Simpson,Simpson,Joe,LF,Campbell University,CAMP,730187776,Campbell,BBC,R,R,44,148,62.4%,24.7%,12.9%,62.4%,12.9%,35.5%,34.4%,14.0%,9.7%,6.5%
6,1316043776,M. Matthews,Mateo Matthews,Matthews,Mateo,1B,Wagner College,WAG,730192640,Wagner,BBC,L,R,44,135,24.1%,13.8%,62.1%,62.1%,24.1%,17.2%,6.9%,13.8%,31.0%,31.0%
7,1162563328,G. Zuccaro,Giano Zuccaro,Zuccaro,Giano,LF,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,43,143,11.8%,27.9%,60.3%,60.3%,11.8%,5.9%,10.3%,16.2%,30.9%,36.8%
8,1310580992,D. Paris,Derek Paris,Paris,Derek,C,UMBC,UMBC,730210304,UMBC,BBC,R,R,44,136,60.2%,20.5%,19.3%,60.2%,19.3%,37.3%,24.1%,15.7%,13.3%,9.6%
9,1251439360,N. DeMarco,Nick DeMarco,DeMarco,Nick,3B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,53,163,59.7%,24.4%,16.0%,59.7%,16.0%,26.9%,39.5%,12.6%,12.6%,8.4%
10,1093805824,W. Patchett,Wyatt Patchett,Patchett,Wyatt,RF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,45,165,59.4%,34.4%,6.3%,59.4%,6.3%,18.8%,50.0%,25.0%,6.3%,0.0%
11,1093147904,K. Branch,Kolby Branch,Branch,Kolby,SS,University of Georgia,UGA,226,Georgia,BBC,R,R,60,218,58.5%,29.6%,12.0%,58.5%,12.0%,33.1%,35.2%,16.2%,9.9%,5.6%
12,1279221760,C. Thibodeaux,Cardell Thibodeaux,Thibodeaux,Cardell,LF,Southern University,SOU,4767,Southern,BBC,L,L,49,189,22.6%,19.4%,58.1%,58.1%,22.6%,11.3%,12.9%,8.1%,30.6%,37.1%
13,1124793499,M. Falk,Matt Falk,Falk,Matt,C,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,R,R,38,122,58.0%,16.0%,26.0%,58.0%,26.0%,24.0%,38.0%,8.0%,18.0%,12.0%
14,1042959841,T. Rover,Tommy Rover,Rover,Tommy,3B,Youngstown State University,YSU,730284544,Youngstown State,BBC,S,R,47,174,28.4%,28.4%,43.1%,57.8%,13.8%,14.7%,18.1%,14.7%,27.6%,25.0%
15,1342169013,O. Lee,Owen Lee,Lee,Owen,SS,Tennessee Technological University,TNTC,730166272,Tennessee Tech,BBC,L,R,56,193,14.4%,27.8%,57.7%,57.7%,14.4%,5.2%,13.4%,15.5%,30.9%,35.1%
16,1253443072,K. Frett,Kishon Frett,Frett,Kishon,LF,Florida International University,FIU,4468,Florida International,BBC,R,R,57,216,57.1%,31.7%,11.1%,57.1%,11.1%,28.6%,38.1%,18.3%,11.9%,3.2%
16,1551542065,E. Williams,Eric Williams,Williams,Eric,2B,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,41,122,57.1%,14.3%,28.6%,57.1%,28.6%,14.3%,42.9%,0.0%,28.6%,14.3%
18,1093162496,C. Borba,Casey Borba,Borba,Casey,3B,University of Texas,TEX,245,Texas,BBC,R,R,51,162,57.0%,27.2%,15.8%,57.0%,15.8%,31.6%,36.8%,12.3%,11.4%,7.9%
19,1298764288,H. Hines,Hunter Hines,Hines,Hunter,1B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,211,10.5%,32.7%,56.9%,56.9%,10.5%,5.9%,11.1%,15.0%,39.2%,28.8%
20,1099315456,S. Canton,Sam Canton,Canton,Sam,CF,North Dakota State University,NDSU,730343168,North Dakota State,BBC,L,L,43,161,20.5%,22.8%,56.7%,56.7%,20.5%,8.7%,15.7%,17.3%,26.0%,32.3%
21,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,234,56.5%,28.8%,14.7%,56.5%,14.7%,38.2%,26.5%,15.9%,10.0%,9.4%
22,1273276928,C. Giusti,Connor Giusti,Giusti,Connor,3B,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,47,155,56.4%,33.6%,10.0%,56.4%,10.0%,38.2%,28.2%,18.2%,10.0%,5.5%
23,1251444480,J. Gauthier,JP Gauthier,Gauthier,JP,RF,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,48,169,56.3%,25.0%,18.8%,56.3%,18.8%,40.6%,19.8%,15.6%,13.5%,10.4%
24,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,234,56.1%,25.7%,18.2%,56.1%,18.2%,37.2%,26.4%,13.5%,12.2%,10.8%
25,1279825152,J. Power,Jack Power,Power,Jack,1B,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,L,R,58,209,17.7%,26.2%,56.0%,56.0%,17.7%,4.3%,18.4%,14.9%,30.5%,31.9%
26,1342166796,C. Saul,Charlie Saul,Saul,Charlie,RF,Bryant University,BRY,730266880,Bryant,BBC,R,R,49,161,55.4%,29.7%,14.9%,55.4%,14.9%,33.7%,26.7%,19.8%,11.9%,7.9%
27,1725006698,A. Irizarry,Alex Irizarry,Irizarry,Alex,SS,Quinnipiac University,QUIN,730386688,Quinnipiac,BBC,L,R,52,216,14.6%,30.1%,55.3%,55.3%,14.6%,8.9%,8.1%,17.1%,35.0%,30.9%
28,1288363008,J. Taylor,JT Taylor,Taylor,JT,SS,North Carolina A&T State University,NCAT,730372352,North Carolina A&T,BBC,R,R,51,202,55.3%,26.3%,18.4%,55.3%,18.4%,28.9%,38.2%,11.8%,13.2%,7.9%
29,1299973888,J. Casey,Jake Casey,Casey,Jake,RF,Kent State University,KENT,730315008,Kent State,BBC,L,R,56,208,20.5%,24.4%,55.1%,55.1%,20.5%,10.3%,15.4%,9.0%,29.5%,35.9%
30,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,49,173,54.7%,35.0%,10.2%,54.7%,10.2%,31.4%,36.5%,19.7%,5.8%,6.6%
31,1520318407,J. Brennan,Jimmy Brennan,Brennan,Jimmy,C,Seton Hall University,HALL,730272512,Seton Hall,BBC,R,R,51,187,54.6%,28.6%,16.8%,54.6%,16.8%,36.1%,24.4%,15.1%,14.3%,10.1%
