Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,AB,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
1,1136711424,S. Busch,Sam Busch,Busch,Sam,1B,Michigan State University,MSU,1551,Michigan State,BBC,L,L,54,190,0.23,18.8%,40.0%,20.6%,20.6%,1.3%,30,64,33,33,2
2,1332973312,A. Agresti,Adam Agresti,Agresti,Adam,C,St. John's University (NY),SJU,4285,St. John's,BBC,R,R,40,143,0.23,18.8%,41.6%,18.8%,20.8%,0.0%,19,42,19,21,0
3,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,200,0.24,19.3%,46.4%,25.0%,9.3%,0.0%,27,65,35,13,0
3,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,53,205,0.24,19.3%,44.3%,25.7%,10.7%,0.0%,27,62,36,15,0
5,1161521072,L. Clark,Levi Clark,Clark,Levi,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,51,128,0.25,19.8%,50.5%,23.1%,6.6%,0.0%,18,46,21,6,0
6,1251442944,G. Baldwin,Gavin Baldwin,Baldwin,Gavin,1B,Northern Illinois University,NIU,730386176,Northern Illinois,BBC,R,R,52,204,0.25,19.9%,41.8%,25.5%,12.8%,0.0%,28,59,36,18,0
7,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,44,134,0.25,20.0%,49.4%,20.0%,10.6%,2.4%,17,42,17,9,2
7,1254915584,M. Pena,Matthew Pena,Pena,Matthew,1B,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,40,127,0.25,20.0%,44.4%,27.8%,7.8%,2.2%,18,40,25,7,2
9,1829147418,D. Cardenas,Diego Cardenas,Cardenas,Diego,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,54,198,0.26,20.4%,48.6%,23.9%,7.0%,0.0%,29,69,34,10,0
10,1202675968,P. Keighran,Patrick Keighran,Keighran,Patrick,3B,University of San Francisco,SF,730365696,San Francisco,BBC,R,R,45,155,0.28,21.9%,34.3%,30.5%,13.3%,0.0%,23,36,32,14,0
11,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,65,217,0.29,22.3%,43.6%,26.8%,7.3%,0.0%,40,78,48,13,0
12,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,138,0.29,22.4%,42.9%,24.5%,10.2%,0.0%,22,42,24,10,0
13,1253268027,B. Primrose,Blake Primrose,Primrose,Blake,C,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,R,42,143,0.29,22.5%,38.3%,31.7%,7.5%,0.0%,27,46,38,9,0
14,1204948480,J. Van De Brake,Jackson Van De Brake,Van De Brake,Jackson,2B,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,61,232,0.29,22.6%,35.8%,27.4%,14.2%,1.1%,43,68,52,27,2
15,1087411968,C. Sutherland,Curry Sutherland,Sutherland,Curry,TWP,Missouri State University,MOSU,5382,Missouri State,BBC,R,R,48,126,0.30,22.8%,41.8%,22.8%,12.7%,0.0%,18,33,18,10,0
16,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,174,0.30,22.8%,55.1%,10.2%,11.8%,1.6%,29,70,13,15,2
17,1162579200,J. Livingston,Josh Livingston,Livingston,Josh,2B,Wichita State University,WICH,730203904,Wichita State,BBC,L,R,56,212,0.30,23.3%,44.7%,24.5%,7.5%,0.0%,37,71,39,12,0
18,1132728576,M. Graveline,Matthew Graveline,Graveline,Matthew,LF,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,50,195,0.31,23.9%,39.4%,28.2%,8.5%,0.0%,34,56,40,12,0
18,1030273503,G. MacArthur,Grant MacArthur,MacArthur,Grant,1B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,179,0.31,23.9%,38.0%,27.5%,10.6%,0.0%,34,54,39,15,0
20,1661263914,A. Leopard,Alex Leopard,Leopard,Alex,RF,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,48,176,0.32,24.0%,45.7%,20.9%,9.3%,0.0%,31,59,27,12,0
21,1184447745,H. Hunter,Henry Hunter,Hunter,Henry,C,University of Georgia,UGA,226,Georgia,BBC,L,R,53,173,0.32,24.1%,44.0%,26.7%,5.2%,0.0%,28,51,31,6,0
22,1310534656,J. Koonin,Jake Koonin,Koonin,Jake,2B,Princeton University,PRIN,730198784,Princeton,BBC,R,R,43,161,0.32,24.2%,41.7%,22.5%,11.7%,0.0%,29,50,27,14,0
23,1327587072,C. Rush,Christian Rush,Rush,Christian,RF,College of William & Mary,WM,730232064,William & Mary,BBC,R,L,56,216,0.32,24.2%,39.4%,23.6%,12.7%,1.8%,40,65,39,21,3
24,1104780104,N. Voss,Nate Voss,Voss,Nate,C,Penn State University,PSU,5326,Penn State,BBC,R,R,43,140,0.32,24.3%,45.8%,17.8%,12.1%,1.9%,26,49,19,13,2
