Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,AB,HR,HR%,HR/FB,HRDst,FBDst,HRPull,HRCtr,HROpp
1,1132702208,B. Smith,Boston Smith,Smith,Boston,C,Wright State University,WRST,5390,Wright State,BBC,L,R,59,282,209,26,9.2%,19.0%,403.30,340.4,11,4,4
1,1297354752,M. Neville,Mason Neville,Neville,Mason,CF,University of Oregon,ORE,4807,Oregon,BBC,L,L,57,280,218,26,9.3%,18.1%,393.44,341.8,18,4,4
3,1310856448,A. Fischer,Andrew Fischer,Fischer,Andrew,1B,University of Tennessee,TENN,730153728,Tennessee,BBC,L,R,65,292,217,25,8.6%,17.2%,385.42,326.0,17,7,1
4,1299762688,M. Schark,Matt Schark,Schark,Matt,3B,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,R,R,57,279,235,24,8.6%,17.4%,396.69,342.0,7,2,2
5,1206686464,C. Torres,Cooper Torres,Torres,Cooper,2B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,268,225,23,8.6%,20.2%,397.80,336.8,7,10,5
5,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,66,324,252,23,7.1%,15.9%,382.91,332.9,17,6,0
5,1122150400,K. Fossum,Kyle Fossum,Fossum,Kyle,RF,Youngstown State University,YSU,730284544,Youngstown State,BBC,R,R,57,274,220,23,8.4%,17.4%,402.01,343.0,11,5,3
8,1083259648,B. Ankeney,Beau Ankeney,Ankeney,Beau,1B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,57,274,229,22,8.0%,16.9%,401.99,332.6,18,4,0
8,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,61,312,260,22,7.1%,15.7%,397.09,328.1,9,4,2
8,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,68,326,279,22,6.7%,16.1%,408.60,337.5,6,11,5
8,1297497344,J. Utermark,Judd Utermark,Utermark,Judd,3B,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,64,287,252,22,7.7%,17.9%,413.50,343.4,8,10,4
8,1213817600,J. Bay,John Bay,Bay,John,CF,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,59,294,224,22,7.5%,18.6%,404.94,338.1,7,9,1
8,1245915136,T. Minick,Tyler Minick,Minick,Tyler,3B,University of Connecticut,CONN,5486,Connecticut,BBC,R,R,54,252,214,22,8.7%,21.6%,397.71,330.4,11,5,6
8,1153726208,B. Simpson,Brayden Simpson,Simpson,Brayden,3B,High Point University,HP,730321152,High Point,BBC,R,R,58,279,234,22,7.9%,18.3%,411.24,327.1,8,7,4
15,1311954432,W. Aloy,Wehiwa Aloy,Aloy,Wehiwa,SS,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,65,311,266,21,6.8%,16.7%,394.62,342.8,8,6,7
15,1162228480,B. Slanker,Ben Slanker,Slanker,Ben,RF,Ohio University,OHIO,730298368,Ohio,BBC,L,R,50,239,189,21,8.8%,15.3%,396.67,330.4,12,5,2
15,1183357952,A. Reese,Ace Reese,Reese,Ace,3B,Mississippi State University,MSST,5080,Mississippi State,BBC,L,R,57,263,227,21,8.0%,16.3%,397.96,324.8,11,6,4
15,1300448256,B. Miller,Ben Miller,Miller,Ben,3B,Duke University,DUKE,730336256,Duke,BBC,R,R,61,293,245,21,7.2%,15.3%,393.62,338.2,10,6,5
15,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,63,300,257,21,7.0%,17.5%,398.16,337.7,13,6,2
15,1310847488,E. Appelwick,Evan Appelwick,Appelwick,Evan,1B,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,58,276,214,21,7.6%,16.9%,395.80,340.2,13,5,3
15,1297563392,A. Fawley,Austin Fawley,Fawley,Austin,C,University of Mississippi,MISS,5322,Ole Miss,BBC,R,R,51,215,176,21,9.8%,20.0%,396.41,351.0,14,6,1
15,1086580736,E. Madrigal,Eddie Madrigal,Madrigal,Eddie,1B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,R,62,292,242,21,7.2%,14.5%,383.40,319.8,18,3,0
15,1359638792,H. Porter,Hollis Porter,Porter,Hollis,1B,University of Maryland-College Park,MD,730172928,Maryland,BBC,L,R,55,255,231,21,8.2%,17.1%,405.60,343.4,13,3,3
24,1263439360,R. Burnett,Robbie Burnett,Burnett,Robbie,RF,University of Georgia,UGA,226,Georgia,BBC,L,R,56,256,192,20,7.8%,16.3%,383.24,324.7,14,1,5
24,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,65,302,257,20,6.6%,12.2%,401.35,326.4,12,4,4
24,1278204928,D. Pacella,Daniel Pacella,Pacella,Daniel,LF,Illinois State University,ILST,730258944,Illinois State,BBC,L,L,56,268,231,20,7.5%,19.4%,394.36,342.8,12,5,1
24,1253443072,K. Frett,Kishon Frett,Frett,Kishon,LF,Florida International University,FIU,4468,Florida International,BBC,R,R,57,269,216,20,7.4%,17.5%,393.01,327.6,14,4,1
24,1088451584,A. DePino,Anthony DePino,DePino,Anthony,3B,University of Rhode Island,URI,730163712,Rhode Island,BBC,R,R,58,299,226,20,6.7%,18.3%,399.16,341.3,9,6,5
24,1310789632,G. Turley,Gavin Turley,Turley,Gavin,LF,Oregon State University,ORST,3111,Oregon State,BBC,R,R,65,307,245,20,6.5%,17.5%,399.08,341.1,10,6,4
24,1096460032,J. Peltier,JP Peltier,Peltier,JP,LF,Wright State University,WRST,5390,Wright State,BBC,R,R,60,277,234,20,7.2%,14.7%,388.60,329.9,17,0,0
24,1074018173,N. Azpilcueta,Nico Azpilcueta,Azpilcueta,Nico,1B,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,52,228,197,20,8.8%,17.1%,420.79,339.2,5,5,3
24,1348018397,J. Hauge,Jackson Hauge,Hauge,Jackson,RF,University of Kansas,KU,730360064,Kansas,BBC,R,R,59,278,238,20,7.2%,17.5%,403.33,347.3,8,9,1
24,1782180961,B. OBrien,Brady OBrien,OBrien,Brady,3B,University of Richmond,RICH,730171904,Richmond,BBC,R,R,50,230,202,20,8.7%,15.9%,376.93,328.3,5,7,6
24,1292628036,A. Martinez,Andrey Martinez,Martinez,Andrey,RF,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,54,238,204,20,8.4%,18.3%,358.68,325.9,5,2,2
24,1794591419,G. Gallagher,Grant Gallagher,Gallagher,Grant,3B,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,58,256,185,20,7.8%,17.2%,408.93,350.0,10,9,1
24,1990583503,N. Savoie,Nate Savoie,Savoie,Nate,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,53,232,203,20,8.6%,16.7%,399.07,324.7,13,4,3
37,1207773440,G. Jay,Grant Jay,Jay,Grant,C,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,59,277,220,19,6.9%,16.0%,408.76,332.6,7,8,4
37,1144614912,J. Morris,Judah Morris,Morris,Judah,1B,Illinois State University,ILST,730258944,Illinois State,BBC,R,R,56,262,198,19,7.3%,16.2%,397.79,327.2,12,1,1
37,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,55,258,214,19,7.4%,18.6%,393.40,343.8,7,6,6
37,1314887424,D. Burress,Drew Burress,Burress,Drew,CF,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,60,290,228,19,6.6%,13.6%,397.07,318.1,15,2,2
37,1235305472,M. Williams,Max Williams,Williams,Max,CF,Florida State University,FSU,101,Florida State,BBC,L,L,57,261,234,19,7.3%,17.8%,406.56,339.9,9,6,4
37,1207764736,N. Schubart,Nolan Schubart,Schubart,Nolan,RF,Oklahoma State University,OKST,4245,Oklahoma State,BBC,L,R,55,250,200,19,7.6%,13.8%,409.11,338.5,14,0,5
37,1282331648,E. Putnam,Eli Putnam,Putnam,Eli,1B,Davidson College,DAV,730363136,Davidson,BBC,R,R,56,272,241,19,7.0%,16.0%,392.14,343.5,8,6,4
37,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,290,223,19,6.6%,15.8%,389.08,336.8,8,4,6
37,1191743488,L. Hughes,Logan Hughes,Hughes,Logan,LF,Texas Tech University,TTU,2350,Texas Tech,BBC,L,L,52,246,211,19,7.7%,17.6%,393.35,341.9,10,2,7
