Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
1,1100775680,C. Cannarella,Cam Cannarella,Cannarella,Cam,CF,Clemson University,CLEM,730358784,Clemson,BBC,L,R,61,292,1189,-29.82,86.5%,3.84,4.77,7,24
2,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,61,290,1202,-25.24,88.9%,3.25,4.16,7,18
3,1298969344,J. Berger,Jake Berger,Berger,Jake,2B,Duke University,DUKE,730336256,Duke,BBC,L,R,62,271,1117,-24.84,88.3%,3.19,4.20,9,21
4,1330771712,R. Cholowsky,Roch Cholowsky,Cholowsky,Roch,SS,UCLA,UCLA,5048,UCLA,BBC,R,R,66,324,1113,-24.36,85.1%,2.89,2.92,6,13
5,1109527296,D. Mathews,Duncan Mathews,Mathews,Duncan,C,University of South Alabama,USA,730298880,South Alabama,BBC,R,R,46,183,719,-23.99,84.8%,2.86,5.23,2,24
6,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,60,285,1187,-23.53,89.9%,3.03,3.92,11,17
7,1245930752,A. Alicea,Alex Alicea,Alicea,Alex,SS,University of Louisville,LOU,5467,Louisville,BBC,S,R,61,261,920,-22.83,86.9%,2.91,4.19,9,17
8,1309407488,S. Milam,Steven Milam,Milam,Steven,SS,Louisiana State University,LSU,5323,Louisiana State,BBC,S,R,68,295,1086,-22.59,88.3%,2.89,2.98,2,13
9,1334269952,C. Hendrickson,Carter Hendrickson,Hendrickson,Carter,LF,Xavier University,XAV,5464,Xavier,BBC,R,L,59,278,1029,-21.26,87.2%,2.54,3.60,8,7
10,1204530458,J. Munroe,Jake Munroe,Munroe,Jake,3B,University of Louisville,LOU,5467,Louisville,BBC,R,R,66,299,1105,-19.48,88.4%,2.34,3.65,12,14
11,1192538624,D. Taylor,Devin Taylor,Taylor,Devin,LF,"Indiana University, Bloomington",IND,4866,Indiana,BBC,L,R,55,269,1049,-19.37,88.3%,2.49,3.56,5,17
12,1616148122,C. Rembert,Chris Rembert,Rembert,Chris,2B,Auburn University,AUB,5466,Auburn,BBC,R,R,56,260,979,-19.15,88.3%,2.32,3.21,8,11
