Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1,1680543305,P. Wight,Parker Wight,Wight,Parker,1B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,53,238,945,37.7%,31.4%,26.2%,42.4%,43.0%,57.0%,22.5%,20.4%,57.0%,31.5%,68.5%
2,1292067584,B. Donay,Brody Donay,Donay,Brody,C,University of Florida,FLA,730168320,Florida,BBC,R,R,57,238,913,37.9%,31.8%,24.9%,43.3%,43.3%,56.7%,26.8%,20.1%,53.1%,36.6%,63.4%
3,1178187520,A. Dewberry,Amman Dewberry,Dewberry,Amman,RF,Presbyterian College,PRE,730184192,Presbyterian,BBC,L,L,51,196,663,38.2%,23.6%,28.8%,47.5%,36.3%,63.7%,20.2%,22.2%,57.5%,31.1%,68.9%
4,1153713664,B. Vondohlen,Brett Vondohlen,Vondohlen,Brett,1B,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,55,237,817,38.7%,24.4%,28.4%,47.2%,37.9%,62.1%,20.3%,23.6%,56.1%,30.5%,69.5%
5,1304398080,C. Tuupo,Chandler Tuupo,Tuupo,Chandler,1B,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,L,L,51,255,1002,39.0%,35.9%,25.0%,39.1%,45.4%,54.6%,23.0%,21.6%,55.4%,33.1%,66.9%
6,1143045888,J. Bold,Jake Bold,Bold,Jake,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,43,193,856,39.0%,32.0%,24.1%,43.9%,43.9%,56.1%,26.1%,21.5%,52.5%,34.9%,65.1%
7,1099927808,D. Dillehay,DJ Dillehay,Dillehay,DJ,SS,Brown University,BRWN,730236160,Brown,BBC,R,R,39,168,540,39.2%,22.4%,25.8%,51.8%,32.8%,67.2%,20.9%,20.7%,58.4%,33.5%,66.5%
8,1152915712,N. Contrades,Nu'u Contrades,Contrades,Nu'u,3B,Arizona State University,ASU,5035,Arizona State,BBC,R,R,47,217,794,39.2%,31.2%,26.6%,42.1%,43.9%,56.1%,22.3%,21.8%,55.8%,32.1%,67.9%
9,1268368896,R. Pierce,Ryan Pierce,Pierce,Ryan,3B,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,R,R,61,275,1005,39.2%,32.1%,26.2%,41.8%,44.5%,55.5%,20.4%,20.9%,58.7%,30.0%,70.0%
10,1310396928,B. Truitt,Brantley Truitt,Truitt,Brantley,2B,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,R,43,182,711,39.3%,29.5%,28.0%,42.5%,44.6%,55.4%,25.3%,24.6%,50.1%,38.2%,61.8%
11,1828659698,K. Valentin,Kareh Valentin,Valentin,Kareh,2B,Florida International University,FIU,4468,Florida International,BBC,R,R,47,160,559,39.4%,33.8%,28.4%,37.8%,49.0%,51.0%,22.4%,20.0%,57.6%,33.2%,66.8%
12,1058192003,C. Schrack,Carson Schrack,Schrack,Carson,2B,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,R,44,181,671,39.7%,23.5%,26.7%,49.8%,36.8%,63.2%,46.9%,22.7%,30.5%,59.3%,40.7%
13,1115710464,N. Fleming,Nick Fleming,Fleming,Nick,LF,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,R,41,137,535,39.8%,32.0%,25.2%,42.8%,41.9%,58.1%,17.2%,22.1%,60.7%,27.1%,72.9%
14,1710518612,P. Craska,Petey Craska,Craska,Petey,1B,University of North Alabama,UNA,730266624,North Alabama,BBC,L,R,55,250,983,39.9%,33.1%,25.5%,41.4%,42.3%,57.7%,21.0%,23.1%,56.0%,31.6%,68.4%
15,1112939209,A. Evasco,A.J. Evasco,Evasco,A.J.,RF,Kansas State University,KSU,730270464,Kansas State,BBC,L,R,56,221,804,40.0%,26.2%,29.2%,44.6%,40.6%,59.4%,21.5%,21.8%,56.7%,30.6%,69.4%
16,1192564993,C. Hynek,Colin Hynek,Hynek,Colin,C,Georgia State University,GAST,730239744,Georgia State,BBC,R,R,52,227,845,40.1%,32.7%,25.5%,41.8%,44.4%,55.6%,24.8%,21.9%,53.3%,33.9%,66.1%
17,1243322112,B. Madliak,Bear Madliak,Madliak,Bear,C,Kansas State University,KSU,730270464,Kansas State,BBC,R,R,54,208,878,40.1%,23.2%,22.9%,53.9%,34.5%,65.5%,23.4%,21.4%,55.3%,33.9%,66.1%
18,1890388154,J. McKillop,John McKillop,McKillop,John,1B,Army West Point,ARMY,4744,Army,BBC,L,R,40,134,489,40.1%,26.1%,29.5%,44.4%,38.9%,61.1%,28.2%,22.1%,49.7%,37.6%,62.4%
