Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,PA,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
1,1192515328,A. Divittorio,Anthony Divittorio,Divittorio,Anthony,LF,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,46,198,766,70.6%,0.0%,1.4%,13.3%,1.4%,13.3%,0.0%,0.0%,81.3%,70.6%,28.0%,14.7%
2,1336576512,T. Patty,Tyshon Patty,Patty,Tyshon,3B,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,43,161,548,70.4%,0.3%,0.0%,14.9%,6.1%,8.3%,0.0%,0.0%,33.9%,70.7%,29.3%,21.0%
3,1235354368,K. Queen,Kydese Queen,Queen,Kydese,3B,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,42,180,449,70.3%,2.7%,0.0%,24.3%,0.0%,2.7%,0.0%,0.0%,83.5%,73.0%,27.0%,24.3%
4,1299826688,T. Rhodes,Terrence Rhodes,Rhodes,Terrence,2B,Norfolk State University,NORF,3904,Norfolk State,BBC,L,R,36,138,363,68.8%,1.3%,0.0%,17.5%,7.5%,5.0%,0.0%,0.0%,78.0%,70.0%,30.0%,25.0%
5,1087793920,B. Short,Brady Short,Short,Brady,SS,Central Connecticut State University,CCSU,730306816,Central Connecticut State,BBC,L,R,48,243,857,68.5%,1.7%,0.0%,16.4%,6.4%,6.7%,0.3%,0.0%,65.2%,70.1%,29.9%,22.8%
6,1152902912,O. Prince,Owen Prince,Prince,Owen,CF,Virginia Military Institute,VMI,730173440,VMI,BBC,L,R,53,272,1068,67.7%,1.7%,1.5%,15.3%,1.5%,11.7%,0.2%,0.3%,15.4%,69.4%,29.1%,17.1%
7,1263368704,L. Torres,Lukas Torres,Torres,Lukas,CF,Wagner College,WAG,730192640,Wagner,BBC,L,L,51,249,801,67.7%,6.1%,4.0%,11.6%,1.0%,9.1%,0.5%,0.0%,75.3%,73.7%,22.2%,12.6%
8,1227126016,A. Sullivan,Adam Sullivan,Sullivan,Adam,1B,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,R,39,168,612,67.5%,0.0%,6.1%,12.3%,0.9%,12.3%,0.0%,0.9%,81.4%,67.5%,26.3%,14.0%
9,1310313729,J. Asencio,Jayden Asencio,Asencio,Jayden,C,Coppin State University,COPP,730194176,Coppin State,BBC,L,R,42,153,548,67.5%,1.3%,3.9%,11.7%,1.3%,14.3%,0.0%,0.0%,85.9%,68.8%,27.3%,13.0%
10,1197663488,J. Harvey,Jake Harvey,Harvey,Jake,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,49,218,949,66.2%,2.3%,3.0%,15.6%,6.7%,5.9%,0.2%,0.0%,0.7%,68.6%,28.5%,22.3%
11,1327605561,J. Jimenez,Julian Jimenez,Jimenez,Julian,CF,University of Maryland Eastern Shore,UMES,730289152,Maryland Eastern Shore,BBC,L,R,43,192,589,66.2%,0.0%,0.0%,15.1%,2.7%,16.0%,0.0%,0.0%,62.8%,66.2%,33.8%,17.8%
12,1138260992,L. Alvarez,Ledy Alvarez,Alvarez,Ledy,SS,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,49,215,691,66.0%,1.3%,0.2%,18.6%,4.9%,9.1%,0.0%,0.0%,31.5%,67.2%,32.6%,23.5%
13,1232133376,W. Safford,Will Safford,Safford,Will,SS,Louisiana Tech University,LT,3374,Louisiana Tech,BBC,L,R,54,199,734,65.6%,3.7%,3.3%,13.9%,3.1%,9.7%,0.7%,0.0%,4.1%,69.3%,27.4%,17.0%
14,1638122960,D. Rodriguez,Damian Rodriguez,Rodriguez,Damian,CF,Iona College,IONA,730242048,Iona,BBC,R,R,51,262,942,65.5%,6.5%,0.0%,20.1%,3.6%,3.6%,0.7%,0.0%,85.2%,71.9%,28.1%,23.7%
15,1910342021,C. Schneider,Cooper Schneider,Schneider,Cooper,RF,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,38,158,628,65.0%,3.1%,0.7%,20.0%,5.2%,6.1%,0.0%,0.0%,32.2%,68.1%,31.2%,25.1%
