Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,XBH,K,BB,AVG,AB,InZoneSwing%,Chase%,Contact%,wOBA LHP,wOBA RHP,1PSwing% vs Hard Empty,1PSwing% vs CH Empty,2K Whiff vs LHP Hard,2K Whiff vs LHP OS,2K Whiff vs RHP Hard,2K Whiff vs RHP OS
1,1092672512,J. Jones,Jared Jones,Jones,Jared,1B,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,37,85,38,.323,279,70.7%,29.0%,70.6%,.483,.408,39%,33%,51.5%,28.9%,18.9%,35.3%
2,1262667264,M. Levu,Mulivai Levu,Levu,Mulivai,1B,UCLA,UCLA,5048,UCLA,BBC,L,R,29,48,24,.320,272,71.4%,30.2%,81.5%,.311,.433,31%,45%,17.8%,28.6%,11.3%,13.5%
3,1296155904,L. Moore,Lucas Moore,Moore,Lucas,CF,University of Louisville,LOU,5467,Louisville,BBC,L,R,18,29,34,.339,271,67.0%,19.0%,87.9%,.392,.393,42%,35%,9.5%,22.7%,8.8%,13.9%
4,1220193792,C. Davalan,Charles Davalan,Davalan,Charles,LF,University of Arkansas,ARK,3375,Arkansas,BBC,L,R,28,27,35,.346,269,61.1%,19.8%,89.6%,.506,.392,14%,25%,11.1%,10.0%,11.7%,14.0%
5,1198413057,V. Sheahan,Vance Sheahan,Sheahan,Vance,SS,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,R,R,28,39,27,.325,268,67.2%,27.6%,84.4%,.230,.432,37%,38%,16.7%,41.2%,7.9%,22.4%
5,1251438849,M. Lytle,Mason Lytle,Lytle,Mason,CF,UTSA,UTSA,730373120,UTSA,BBC,R,R,32,23,24,.366,268,75.5%,31.6%,88.1%,.424,.414,33%,42%,16.7%,19.0%,8.6%,10.3%
7,1311954432,W. Aloy,Wehiwa Aloy,Aloy,Wehiwa,SS,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,42,64,32,.350,266,63.1%,28.6%,71.0%,.550,.431,22%,36%,17.1%,30.0%,15.5%,32.1%
8,1264056576,D. Ferrara,Dean Ferrara,Ferrara,Dean,3B,Fairfield University,FAIR,730380544,Fairfield,BBC,R,R,22,28,28,.374,265,74.2%,21.1%,86.2%,.415,.411,46%,33%,15.4%,0.0%,0.0%,30.0%
9,1093308160,A. Garza,Alejandro Garza,Garza,Alejandro,3B,Cal Poly,CP,5487,Cal Poly,BBC,R,R,22,16,21,.351,262,66.7%,28.9%,86.0%,.360,.397,32%,20%,5.0%,13.3%,5.6%,20.0%
10,1088072448,J. Hogart,Jonathan Hogart,Hogart,Jonathan,CF,Murray State University,MURR,730188032,Murray State,BBC,R,R,49,53,38,.338,260,65.4%,17.7%,78.1%,.463,.482,27%,18%,28.0%,29.4%,16.9%,20.0%
11,1243478272,D. Mercer,Dustin Mercer,Mercer,Dustin,RF,Murray State University,MURR,730188032,Murray State,BBC,L,L,28,38,36,.351,259,67.5%,21.4%,86.9%,.387,.403,24%,27%,11.1%,28.6%,19.6%,19.4%
12,1119106753,D. Curiel,Derek Curiel,Curiel,Derek,LF,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,29,56,53,.345,258,51.6%,19.6%,84.8%,.369,.471,17%,0%,13.3%,25.6%,9.7%,26.4%
13,1331919360,M. White,Mason White,White,Mason,SS,University of Arizona,ARIZ,232,Arizona,BBC,L,R,45,65,25,.327,257,69.4%,32.0%,75.1%,.332,.501,27%,43%,36.4%,42.9%,21.5%,26.9%
13,1109527552,N. Monistere,Nick Monistere,Monistere,Nick,2B,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,34,53,27,.323,257,76.6%,26.7%,76.2%,.433,.435,44%,64%,25.0%,21.4%,18.0%,39.0%
15,1238200064,J. Cruz,Juan Cruz,Cruz,Juan,1B,Alabama State University,ALST,4765,Alabama State,BBC,R,R,39,22,33,.420,255,80.5%,31.6%,84.7%,.440,.492,53%,50%,0.0%,22.2%,21.7%,30.4%
16,1153320704,A. Arquette,Aiva Arquette,Arquette,Aiva,SS,Oregon State University,ORST,3111,Oregon State,BBC,R,R,37,51,39,.354,254,61.8%,23.2%,77.1%,.417,.491,28%,12%,12.0%,19.4%,20.0%,25.4%
