Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,CThrows,CThrowsOnTrgt,CThrowsOffTrgt,CThrowSpd,PopTime,CExchTime,CTimeToBase,CThrowHeight,CThrowDownLineDist
1,1110077952,W. Zapp,Walker Zapp,Zapp,Walker,C,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,91,57,22,77.6,1.92,0.87,1.05,3.09,2.8
2,1224924160,J. Cannizzaro,Jack Cannizzaro,Cannizzaro,Jack,C,James Madison University,JMU,730340096,James Madison,BBC,R,R,90,67,17,77.9,1.90,0.76,1.15,2.57,2.1
3,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,88,62,18,75.5,2.05,0.94,1.10,3.64,1.2
4,1310338817,C. Peebles,Cannon Peebles,Peebles,Cannon,C,University of Tennessee,TENN,730153728,Tennessee,BBC,S,R,86,54,13,78.4,1.81,0.69,1.12,2.99,4.5
4,1143045888,J. Bold,Jake Bold,Bold,Jake,C,Princeton University,PRIN,730198784,Princeton,BBC,R,R,86,55,17,76.0,1.93,0.80,1.13,2.54,2.1
6,1184442368,B. Arendt,Bryan Arendt,Arendt,Bryan,C,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,83,65,13,78.5,2.09,0.96,1.12,3.29,2.7
7,1205542912,K. Reinertson,Kade Reinertson,Reinertson,Kade,C,Valparaiso University,VALP,730369536,Valparaiso,BBC,R,R,80,42,20,75.4,2.06,0.83,1.21,3.70,3.7
8,1096254976,J. Barnes,Jerry Barnes III,Barnes,Jerry,C,College of William & Mary,WM,730232064,William & Mary,BBC,R,R,71,46,13,75.2,1.95,0.76,1.19,2.09,2.9
9,1166430850,G. Ashe,Grayson Ashe,Ashe,Grayson,C,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,R,70,45,12,75.7,1.99,0.83,1.16,2.58,4.1
10,1836125891,J. Lee,Jacob Lee,Lee,Jacob,C,Virginia Commonwealth University,VCU,730179328,VCU,BBC,R,R,68,42,19,78.6,2.04,0.87,1.17,3.59,0.9
11,1190568704,T. Minnick,Tyler Minnick,Minnick,Tyler,C,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,67,40,16,76.9,1.99,0.73,1.27,1.69,4.2
12,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,64,50,5,76.9,1.78,0.68,1.10,2.51,3.8
12,1490768402,P. Lucas,Preston Lucas,Lucas,Preston,C,University of South Carolina Upstate,SCUS,730317312,South Carolina Upstate,BBC,L,R,64,46,11,75.6,1.93,0.73,1.20,2.31,3.2
14,1100740096,E. Swidler,Ethan Swidler,Swidler,Ethan,C,Lafayette College,LAF,730217728,Lafayette,BBC,R,R,62,41,7,76.2,2.06,0.83,1.23,1.13,1.3
15,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,61,40,9,78.1,1.86,0.72,1.13,2.35,4.9
15,1301144832,A. Duffey,Alex Duffey,Duffey,Alex,C,Elon University,ELON,730252544,Elon,BBC,L,R,61,34,10,75.3,1.93,0.73,1.19,1.99,3.5
15,1199284224,J. Hugus,Jackson Hugus,Hugus,Jackson,C,Presbyterian College,PRE,730184192,Presbyterian,BBC,R,R,61,41,9,75.1,1.96,0.84,1.14,3.15,3.2
15,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,61,44,6,77.7,2.02,0.83,1.18,2.17,1.1
19,1092657664,S. White,Sean White,White,Sean,C,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,R,R,60,38,14,72.7,2.05,0.80,1.23,2.19,2.8
19,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,60,31,6,76.8,2.01,0.77,1.23,2.00,1.1
21,1239359232,B. Buecker,Brendan Buecker,Buecker,Brendan,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,59,39,3,74.5,1.96,0.86,1.13,1.73,2.1
22,1176351744,B. Church,Braxton Church,Church,Braxton,C,Appalachian State University,APP,730240256,Appalachian State,BBC,L,R,58,47,8,77.2,1.89,0.72,1.15,2.53,1.6
