Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,GS,CG,SHO,NH,NH6+,NH7+,NH8+,PG,PG6+,PG7+,PG8+,NHIP,PGIP
1,1093142784,G. Wood,Gage Wood,Wood,Gage,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,10,1,1,1,1,1,1,0,1,1,0,9.0,7.0
1,1123967488,B. Bak,Brandon Bak,Bak,Brandon,P,University of Illinois-Chicago,UIC,5379,Illinois-Chicago,BBC,L,L,11,1,1,1,1,1,0,0,0,0,0,7.0,1.2
1,1310530560,J. Core,Joel Core,Core,Joel,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,14,1,0,1,1,1,0,0,0,0,0,7.0,2.0
1,1302032384,J. Weaver,Jacob Weaver,Weaver,Jacob,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,15,2,1,1,1,1,0,0,0,0,0,7.0,3.0
1,1229631744,R. Rembisz,Ryan Rembisz,Rembisz,Ryan,P,University of Portland,PORT,730360320,Portland,BBC,L,L,12,1,1,1,1,1,1,1,1,1,1,9.0,9.0
1,1099378432,B. Gillespie,Blake Gillespie,Gillespie,Blake,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,S,R,15,3,2,1,1,1,1,0,0,0,0,9.0,3.2
1,1986499481,D. Horn,Drew Horn,Horn,Drew,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,R,8,1,1,1,1,1,1,0,0,0,0,9.0,1.1
1,1097108340,C. Bagwell,Cam Bagwell,Bagwell,Cam,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,2,2,1,1,1,0,0,1,1,0,7.0,7.0
1,1692575936,L. Glidewell,Lyndon Glidewell,Glidewell,Lyndon,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,R,R,13,1,1,1,1,1,0,0,0,0,0,7.0,2.0
1,1842166743,Z. Brown,Zane Brown,Brown,Zane,P,Belmont University,BEL,730190336,Belmont,BBC,R,R,9,1,1,1,1,1,1,0,0,0,0,9.0,1.1
1,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,7,1,1,1,1,1,0,0,1,0,0,7.0,6.0
12,1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,11,0,0,0,0,0,0,0,0,0,0,5.0,1.2
12,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,15,0,0,0,0,0,0,0,0,0,0,1.2,1.2
12,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,15,1,0,0,1,0,0,0,0,0,0,6.0,3.1
12,1216329728,N. Robb,Nicholas Robb,Robb,Nicholas,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,0,0,0,0,0,0,0,0,0,0,4.1,3.0
12,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,0,0,0,0,0,0,0,0,0,0,2.1,2.1
12,1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,7,0,0,0,0,0,0,0,0,0,0,4.0,2.0
12,1312932352,C. New,Cody New,New,Cody,P,California Baptist University,CBU,5091,California Baptist,BBC,L,L,15,0,0,0,0,0,0,0,0,0,0,5.1,2.0
12,1341316352,R. Kittredge,Ryan Kittredge,Kittredge,Ryan,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,11,0,0,0,0,0,0,0,0,0,0,4.2,2.0
12,1311052288,D. Rogers,Dylan Rogers,Rogers,Dylan,P,Air Force Academy,AFA,730205440,Air Force,BBC,R,R,9,0,0,0,0,0,0,0,0,0,0,2.1,2.1
12,1231526144,C. Burfield,Casey Burfield,Burfield,Casey,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,14,1,0,0,0,0,0,0,0,0,0,4.2,2.1
12,1153300736,J. Anker,Jack Anker,Anker,Jack,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,16,0,0,0,0,0,0,0,0,0,0,4.0,1.2
12,1238171904,A. Cremarosa,Aidan Cremarosa,Cremarosa,Aidan,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,17,1,1,0,0,0,0,0,0,0,0,3.2,3.2
12,1260755712,B. Weber,Ben Weber,Weber,Ben,P,Xavier University,XAV,5464,Xavier,BBC,R,R,12,1,0,0,0,0,0,0,0,0,0,3.2,2.0
