Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,InZoneMdl%,Swing%,Miss%,Chase%,CallStrk%,SwStrk%,CompLoc%,NonCompLoc%
1,1099145728,J. Galloway,Jacob Galloway,Galloway,Jacob,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,L,R,17,537,2028,52.5%,53.5%,47.8%,29.2%,25.2%,34.7%,14.0%,83.9%,16.1%
2,1029366313,O. Hooper,Owen Hooper,Hooper,Owen,C,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,R,23,872,2779,56.2%,53.1%,48.6%,18.0%,21.3%,30.3%,8.8%,79.9%,20.1%
3,1238097920,B. Lummus,Brock Lummus,Lummus,Brock,C,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,6,236,750,49.0%,52.9%,45.7%,19.0%,29.8%,30.0%,8.7%,79.9%,20.1%
4,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,1507,5787,50.3%,52.0%,48.5%,26.2%,27.8%,35.6%,12.7%,82.7%,17.3%
5,1561269511,W. Fosberg,Will Fosberg,Fosberg,Will,C,Northeastern University,NE,343,Northeastern,BBC,L,R,26,934,3445,55.5%,51.9%,47.0%,26.3%,23.6%,36.0%,12.3%,80.3%,19.7%
6,1278162432,P. Mendiola,Patrick Mendiola,Mendiola,Patrick,C,Saint Louis University,SLU,2291,St. Louis,BBC,R,R,29,756,2563,52.0%,51.8%,45.5%,19.9%,22.2%,31.9%,9.0%,78.1%,21.9%
7,1162575872,C. Castle,Cortlan Castle,Castle,Cortlan,C,Baylor University,BAY,3033,Baylor,BBC,R,R,35,1227,4603,49.8%,51.8%,44.9%,23.2%,25.4%,33.3%,10.4%,82.0%,18.0%
8,1278168832,J. Diprima,JD Diprima,Diprima,JD,C,Northwestern State University,NWST,730255872,Northwestern State,BBC,S,R,13,312,1089,55.7%,51.7%,47.7%,18.8%,20.4%,32.0%,9.0%,81.2%,18.8%
9,1188071936,E. Culp,Easton Culp,Culp,Easton,C,Lamar University,LAM,730162432,Lamar,BBC,R,R,25,589,2179,50.0%,51.4%,44.2%,24.4%,23.4%,32.3%,10.8%,79.0%,21.0%
10,1222751202,C. Gonzalez,Cesar Gonzalez,Gonzalez,Cesar,C,Boston College,BC,227,Boston College,BBC,R,R,23,378,1398,48.8%,51.4%,42.7%,24.7%,24.4%,34.1%,10.5%,82.7%,17.3%
11,1141496832,A. Stucky,Andrew Stucky,Stucky,Andrew,C,UTSA,UTSA,730373120,UTSA,BBC,R,R,44,1655,6228,49.3%,51.3%,45.8%,23.1%,25.3%,31.4%,10.6%,81.5%,18.5%
12,1191676160,M. Galvan,Marcus Galvan,Galvan,Marcus,C,Grand Canyon University,GC,5310,Grand Canyon,BBC,L,R,44,1658,6067,48.7%,51.1%,47.0%,23.2%,26.8%,31.3%,10.9%,79.7%,20.3%
13,1176122880,L. Odom,Lawson Odom,Odom,Lawson,C,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,19,420,1514,47.8%,51.0%,47.1%,25.2%,28.4%,31.7%,11.9%,80.1%,19.9%
14,1223725653,C. Berry,Caleb Berry,Berry,Caleb,C,Michigan State University,MSU,1551,Michigan State,BBC,R,R,30,1149,4271,48.7%,50.9%,45.3%,22.7%,25.4%,34.0%,10.3%,83.3%,16.7%
15,1759752870,T. Martinez,Trevian Martinez,Martinez,Trevian,C,UC San Diego,UCSD,730348032,UC San Diego,BBC,R,R,9,223,816,48.7%,50.8%,48.0%,22.2%,27.7%,34.4%,10.7%,83.1%,16.9%
16,1354382494,W. Smoot,Will Smoot,Smoot,Will,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,745,2829,48.1%,50.8%,44.6%,24.4%,22.7%,32.5%,10.9%,80.4%,19.6%
17,1294953472,M. Ortega,Max Ortega,Ortega,Max,C,Cal State Fullerton,CSF,5414,CSU Fullerton,BBC,R,R,37,1360,5006,47.9%,50.7%,44.5%,24.7%,26.8%,34.1%,11.0%,80.6%,19.4%
18,1450695815,E. Ortega,Efren Ortega,Ortega,Efren,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,16,623,2340,50.4%,50.7%,45.2%,21.7%,24.1%,30.6%,9.8%,78.9%,21.1%
19,1100787712,B. Milner,Beck Milner,Milner,Beck,C,Boston College,BC,227,Boston College,BBC,R,R,17,554,2054,48.1%,50.6%,45.4%,22.2%,24.0%,30.3%,10.1%,79.5%,20.5%
20,1099145984,R. Galvan,Rylan Galvan,Galvan,Rylan,C,University of Texas,TEX,245,Texas,BBC,R,R,55,1927,7231,47.8%,50.6%,45.6%,28.0%,26.4%,33.0%,12.8%,81.2%,18.8%
21,1124711394,N. Spaner,Nick Spaner,Spaner,Nick,C,College of the Holy Cross,HC,730310656,Holy Cross,BBC,R,R,28,992,3774,51.5%,50.6%,42.0%,23.6%,18.0%,31.9%,9.9%,76.5%,23.5%
22,1245115136,D. Johnson,Dylan Johnson,Johnson,Dylan,C,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,58,2117,7708,49.6%,50.5%,46.3%,21.9%,24.5%,32.6%,10.1%,81.2%,18.8%
23,1342168986,S. Lawless,Stone Lawless,Lawless,Stone,C,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,22,629,2409,48.2%,50.5%,46.5%,33.6%,27.6%,33.8%,15.6%,82.4%,17.6%
24,1091989248,J. Yakubinis,J.D. Yakubinis,Yakubinis,J.D.,C,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,33,1187,4377,47.1%,50.5%,47.1%,22.4%,27.2%,31.6%,10.6%,80.7%,19.3%
25,1077998080,C. Campbell,Cole Campbell,Campbell,Cole,C,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,18,666,2565,56.6%,50.4%,43.3%,23.6%,16.4%,32.5%,10.2%,79.2%,20.8%
26,1097334050,C. Fralick,Chase Fralick,Fralick,Chase,C,Auburn University,AUB,5466,Auburn,BBC,L,R,48,1776,6810,47.5%,50.4%,45.2%,24.8%,26.6%,33.3%,11.2%,81.6%,18.4%
27,1943433924,A. French,Anderson French,French,Anderson,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,14,308,1236,47.3%,50.4%,42.0%,33.7%,24.5%,34.9%,14.2%,78.6%,21.4%
28,1342169528,A. Westbrook,Anthony Westbrook,Westbrook,Anthony,C,Western Kentucky University,WKU,730212096,Western Kentucky,BBC,L,R,19,468,1812,48.2%,50.4%,44.4%,27.7%,24.1%,32.2%,12.3%,82.7%,17.3%
29,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,11,363,1400,48.4%,50.4%,43.4%,31.3%,23.8%,34.4%,13.6%,81.8%,18.2%
30,1289668671,L. Hernandez,Luis Hernandez,Hernandez,Luis,C,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,53,1740,7060,47.4%,50.3%,44.4%,31.7%,27.4%,33.6%,14.1%,81.5%,18.5%
31,1213082624,C. Bower,Colton Bower,Bower,Colton,C,University of Washington,WASH,3110,Washington,BBC,R,R,43,1598,6013,49.8%,50.3%,45.6%,22.3%,25.1%,31.6%,10.1%,80.3%,19.7%
32,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,57,2179,8158,48.4%,50.3%,47.1%,27.5%,27.0%,34.0%,12.9%,82.3%,17.7%
