Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,GS,W,L,P,BF,AB,H,HR,BB,K,HBP,1B,2B,3B,XBH,TB,GDP,POUT,OppRS
1,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,3,4,3,980,243,202,34,4,28,79,9,18,10,2,16,60,1,175,23
2,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,3,7,2,669,200,183,36,4,14,43,1,18,13,1,18,63,0,144,17
3,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,14,4,1,1170,270,209,38,6,49,65,6,25,7,0,13,63,0,179,27
4,1150276096,C. Richter,Chase Richter,Richter,Chase,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,L,L,28,1,3,4,864,228,197,39,4,22,53,7,28,5,2,11,60,5,162,30
4,1434544801,V. Loa,Victor Loa,Loa,Victor,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,14,14,5,1,994,248,201,39,6,39,52,7,27,6,0,12,63,5,168,18
6,1155642112,N. Deschryver,Nate Deschryver,Deschryver,Nathan,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,16,10,4,4,1155,282,214,40,6,46,72,15,25,7,2,15,69,1,179,35
6,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,0,5,1,1109,266,239,40,4,20,110,3,32,2,2,8,58,1,201,25
8,1162110976,C. Mayfield,Carson Mayfield,Mayfield,Carson,P,Cornell University,COR,730298624,Cornell,BBC,R,R,11,11,2,2,1032,265,215,41,8,26,56,18,29,3,1,12,70,3,184,29
9,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,10,4,4,1096,271,235,42,7,27,85,8,24,10,1,18,75,2,198,26
9,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,12,4,6,1307,315,246,42,7,48,91,16,26,8,1,16,73,4,211,36
9,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,5,7,1,797,223,192,42,5,16,51,9,27,8,2,15,69,4,158,20
9,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,5,4,1,861,249,205,42,3,27,45,7,30,8,1,12,61,3,173,23
13,1257398016,R. Bilka,Ryan Bilka,Bilka,Ryan,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,18,0,6,2,801,243,223,43,2,13,57,5,32,9,0,11,58,6,186,17
14,1245880832,J. Duffield,Joseph Duffield,Duffield,Joseph,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,13,4,5,837,257,201,44,4,40,44,12,32,8,0,12,64,2,160,32
14,1287322880,R. Fox,Rory Fox,Fox,Rory,P,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,14,14,4,4,1120,280,235,44,3,27,64,13,30,10,1,14,65,4,196,27
14,1191447040,J. Shineflew,Jaxon Shineflew,Shineflew,Jaxon,P,University of South Alabama,USA,730298880,South Alabama,BBC,L,L,15,6,4,4,1011,247,208,44,6,29,59,4,29,9,0,15,71,1,168,25
14,1204808114,R. Lynch,Ryan Lynch,Lynch,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,27,3,5,1,1031,265,228,44,3,25,73,9,33,8,0,11,61,5,184,20
18,1126303232,T. Evans,Tate Evans,Evans,Tate,P,Yale University,YALE,730334464,Yale,BBC,R,R,22,0,3,3,829,210,184,45,2,18,53,3,38,3,2,7,58,2,144,21
18,1278775808,C. Montgomery,Cade Montgomery,Montgomery,Cade,P,Utah Tech University,UTU,730318592,Utah Tech,BBC,R,R,10,10,4,2,906,238,207,45,2,19,48,10,37,5,1,8,58,11,172,18
18,1275958784,E. Hoffberg,Erik Hoffberg,Hoffberg,Erik,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,23,0,2,4,944,242,196,45,7,24,71,17,23,13,2,22,83,2,162,40
18,1155468544,R. Beuter,Reece Beuter,Beuter,Reece,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,13,13,6,0,983,259,230,45,10,22,66,6,28,6,1,17,83,5,189,21
18,1281584640,D. Gonzalez,Daniel Gonzalez,Gonzalez,Daniel,P,University of Louisiana at Monroe,ULM,730362880,UL Monroe,BBC,R,R,13,12,4,2,946,241,205,45,8,31,42,2,26,11,0,19,80,2,168,27
18,1166285312,M. Coyne,Marty Coyne,Coyne,Marty,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,R,L,16,2,4,2,779,192,170,45,3,17,49,1,29,12,1,16,68,3,132,20
18,1326983680,K. Echeman,Kaden Echeman,Echeman,Kaden,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,R,R,12,8,3,3,1034,244,206,45,8,23,87,12,24,12,1,21,83,4,168,33
18,1260237537,J. Ohman,Jack Ohman,Ohman,Jack,P,Yale University,YALE,730334464,Yale,BBC,L,R,12,11,8,1,1139,288,258,45,4,20,87,6,32,9,0,13,66,2,221,15
26,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,0,3,2,836,244,208,46,2,13,36,16,33,9,2,13,65,1,171,40
26,1279379456,I. Magdaleno,Isaiah Magdaleno,Magdaleno,Isaiah,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,24,0,4,1,842,242,224,46,6,11,77,3,30,9,1,16,75,2,179,23
28,1116320256,A. Sachais,Alec Sachais,Sachais,Alec,P,Villanova University,VILL,730278400,Villanova,BBC,R,R,21,0,4,6,882,232,198,47,6,22,56,3,30,9,2,17,78,2,161,32
28,1330730752,D. Vigue,Dylan Vigue,Vigue,Dylan,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,8,1,4,1028,269,213,47,1,42,51,11,35,11,0,12,61,8,178,29
28,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,15,4,2,1257,326,266,47,1,43,83,12,35,8,3,12,64,4,227,26
28,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,6,3,4,767,228,195,47,2,22,36,9,36,8,1,11,63,3,153,39
32,1505725733,R. Gaber,Reese Gaber,Gaber,Reese,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,L,L,14,11,3,3,978,256,197,48,5,45,38,7,32,10,1,16,75,4,161,39
32,1328495337,L. Trout,Luke Trout,Trout,Luke,P,Brown University,BRWN,730236160,Brown,BBC,R,R,11,10,0,6,874,221,178,48,3,32,39,5,31,12,2,17,73,3,140,41
34,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,2,13,1,1151,279,233,49,6,29,83,11,30,13,0,19,80,5,198,28
34,1123952128,G. Morris,Gavin Morris,Morris,Gavin,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,23,1,6,3,831,244,209,49,3,21,50,4,39,6,1,10,66,5,176,32
34,1296173568,J. Kelley,Jack Kelley,Kelley,Jack,P,University of Akron,AKR,540536064,Akron,BBC,R,R,12,11,4,2,926,248,207,49,9,28,52,6,27,8,5,22,94,1,167,30
34,1885727262,M. Vallone,Michael Vallone,Vallone,Michael,P,Purdue University,PUR,730353152,Purdue,BBC,L,L,21,2,4,1,927,254,219,49,4,16,70,15,34,10,1,15,73,4,175,30
34,1908498512,I. Koosman,Ian Koosman,Koosman,Ian,P,Creighton University,CREI,730243840,Creighton,BBC,R,R,19,10,9,4,968,261,221,49,4,22,59,13,38,7,0,11,68,3,181,31
39,1292523520,W. Tobin,Will Tobin,Tobin,Will,P,University of Pennsylvania,PENN,730292224,Pennsylvania,BBC,L,L,12,11,2,3,864,213,175,50,10,24,45,9,31,9,0,19,89,1,132,32
39,1153452544,J. Logar,Jackson Logar,Logar,Jackson,P,James Madison University,JMU,730340096,James Madison,BBC,R,R,15,14,4,5,1334,336,254,50,3,41,72,30,35,12,0,15,71,6,222,34
39,1257440000,J. Reitz,Jason Reitz,Reitz,Jason,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,16,11,5,1,1081,272,230,50,2,29,73,7,35,13,0,15,69,4,193,25
39,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,0,8,2,1147,305,273,50,8,19,76,9,27,15,0,23,89,6,233,31
39,1153707520,M. McEwen,Max McEwen,McEwen,Max,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,13,10,6,3,985,268,224,50,3,31,64,10,36,10,1,14,71,0,175,33
39,1142669377,J. Murray,Jake Murray,Murray,Jake,P,Campbell University,CAMP,730187776,Campbell,BBC,L,L,15,15,4,2,1165,284,228,50,7,34,82,16,29,13,1,21,86,1,179,38
45,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,1,2,2,826,229,201,51,4,16,51,3,37,10,0,14,73,5,161,31
45,1306838784,S. Seid,Spencer Seid,Seid,Spencer,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,16,5,3,1,980,243,213,51,6,22,71,4,34,9,2,17,82,4,169,29
45,1298785536,M. Kuhle,Max Kuhle,Kuhle,Max,P,James Madison University,JMU,730340096,James Madison,BBC,L,L,19,5,2,4,914,240,209,51,6,21,62,6,30,11,4,21,88,3,168,32
45,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,10,6,2,736,242,211,51,8,21,34,6,33,10,0,18,85,4,168,29
45,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,18,7,9,0,898,241,214,51,4,18,51,6,39,8,0,12,71,3,171,22
50,1255285248,J. Phillips,Jacob Phillips,Phillips,Jacob,P,Georgia Southern University,GASO,730331648,Georgia Southern,BBC,L,L,18,2,7,2,984,268,224,52,6,24,62,14,34,9,3,18,85,4,183,39
50,1281260544,P. Havard,Peyton Havard,Havard,Peyton,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,22,5,7,2,1012,261,240,52,4,15,79,2,39,7,2,13,75,1,190,37
50,1192664576,R. DeSanto,Ryan DeSanto,DeSanto,Ryan,P,Penn State University,PSU,5326,Penn State,BBC,L,L,15,15,8,2,1229,313,258,52,8,30,72,19,32,11,1,20,89,3,218,34
50,1342166856,G. Eddy,Gavin Eddy,Eddy,Gavin,P,University of California,CAL,730152448,California,BBC,R,R,16,9,4,4,989,265,225,52,15,32,50,6,35,2,0,17,99,1,175,33
50,1408559031,L. Kinneen,Liam Kinneen,Kinneen,Liam,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,11,11,3,5,939,238,195,52,5,32,45,9,38,9,0,14,76,3,149,37
55,1100716032,C. Marshburn,Connor Marshburn,Marshburn,Connor,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,15,4,3,1160,322,270,53,3,37,68,11,43,7,0,10,69,3,223,26
55,1150347776,C. Allen,Colby Allen,Allen,Colby,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,29,2,7,4,1009,276,248,53,7,17,77,4,35,9,2,18,87,7,201,32
55,1228796416,N. McCay,Nic McCay,McCay,Nic,P,University of Kentucky,UK,5362,Kentucky,BBC,R,R,15,15,5,0,1237,316,261,53,12,41,71,9,33,7,1,20,98,4,216,38
55,1320362240,J. Kim,Justin Kim,Kim,Justin,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,2,2,5,865,228,194,53,6,22,42,7,34,11,2,19,86,2,149,30
55,1264174592,E. Elliott,Eric Elliott,Elliott,Eric,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,18,13,6,1,1263,322,260,53,2,47,95,10,45,5,1,8,66,7,221,31
55,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,12,4,4,1012,275,231,53,2,30,67,10,34,15,2,19,78,3,190,30
55,1184585216,C. Rothermel,Collin Rothermel,Rothermel,Collin,P,Jacksonville University,JAC,730335488,Jacksonville,BBC,R,R,15,15,6,4,1185,303,254,53,4,37,79,7,38,9,2,15,78,4,214,27
55,1220061620,C. Hendry,Clay Hendry,Hendry,Clay,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,18,11,5,5,959,254,225,53,6,22,64,5,36,9,2,17,84,7,178,30
55,1196196955,D. Morrill,Dylan Morrill,Morrill,Dylan,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,17,2,3,2,942,250,214,53,7,24,48,9,37,9,0,16,83,4,166,36
55,1201847438,K. Hawks,Kamden Hawks,Hawks,Kamden,P,Morehead State University,MORE,730158080,Morehead State,BBC,L,L,14,10,1,5,1108,291,216,53,9,57,57,11,35,9,0,18,89,3,174,47
65,1310787840,O. Proksch,Owen Proksch,Proksch,Owen,P,Duke University,DUKE,730336256,Duke,BBC,S,L,19,12,4,3,1167,290,241,54,9,28,91,18,38,7,0,16,88,2,196,29
65,1251441152,W. Rogers,Will Rogers,Rogers,Will,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,23,1,5,3,945,260,224,54,8,23,44,7,35,11,0,19,89,1,175,45
