Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,ExitVel,ForwVel,LaunchAng,BABIP,HardOut,SoftHit,Hit95+%,LA10-30%,Barrel,Barrel%
1,1172966144,P. Hampton,Parker Hampton,Hampton,Parker,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,13,283,72.8,69.8,9.4,.381,0,1,23.1%,30.8%,1,7.7%
2,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,75.2,70.5,-0.6,.296,1,0,12.5%,50.0%,1,12.5%
3,1778873426,C. Duerr,Caleb Duerr,Duerr,Caleb,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,13,277,77.0,76.1,-4.7,.308,2,0,17.2%,17.2%,2,6.9%
4,1286103552,C. Williams,Cody Williams,Williams,Cody,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,R,R,30,284,77.4,66.2,14.9,.309,0,2,15.0%,35.0%,1,5.0%
5,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,77.9,65.6,10.6,.332,2,0,16.7%,16.7%,3,16.7%
6,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,351,78.4,68.6,18.2,.335,0,2,7.4%,37.0%,2,7.4%
7,1319265024,E. Bates,Ethan Bates,Bates,Ethan,P,Grambling State University,GRAM,5378,Grambling State,BBC,R,L,20,249,78.6,67.3,10.4,.328,1,0,10.0%,30.0%,1,10.0%
8,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,78.8,65.1,9.8,.351,0,0,16.7%,0.0%,0,0.0%
9,1120472520,J. Romero,Jorge Romero,Romero,Jorge,P,Western Illinois University,WIU,730370560,Western Illinois,BBC,R,R,19,243,79.3,72.0,10.3,.339,2,3,30.0%,26.7%,6,10.0%
10,1515769016,E. Smith,Ethan Smith,Smith,Ethan,P,Lindenwood University,LU,730322176,Lindenwood,BBC,L,L,14,301,79.5,78.6,3.1,.292,2,4,40.5%,38.1%,10,23.8%
11,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,244,79.9,70.7,15.1,.250,5,3,25.6%,23.1%,3,7.7%
12,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,242,80.1,72.7,16.5,.253,0,0,16.7%,16.7%,1,16.7%
13,1100603904,T. Beard,Trey Beard,Beard,Trey,P,Florida Atlantic University,FAU,339,Florida Atlantic,BBC,L,L,16,350,80.1,68.6,11.5,.299,7,3,21.5%,27.8%,12,15.2%
14,1318761728,G. Yawn,Garrett Yawn,Yawn,Garrett,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,459,80.2,69.2,16.5,.332,6,2,16.0%,29.6%,12,9.6%
15,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,369,80.2,67.9,14.2,.330,2,2,11.1%,16.7%,2,5.6%
16,1297496064,I. Fix,Isaac Fix,Fix,Isaac,P,Davidson College,DAV,730363136,Davidson,BBC,R,L,16,334,80.3,72.6,4.7,.338,10,7,30.5%,29.1%,21,13.9%
17,1264174592,E. Elliott,Eric Elliott,Elliott,Eric,P,Jackson State University,JKST,730378240,Jackson State,BBC,L,L,18,322,80.5,65.8,14.9,.311,1,2,20.0%,30.0%,3,15.0%
18,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,349,80.6,71.5,13.9,.293,7,2,23.0%,28.4%,11,14.9%
19,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,249,80.6,70.8,10.1,.245,1,0,23.7%,13.2%,1,2.6%
20,1815927257,L. Corcoran,Luke Corcoran,Corcoran,Luke,P,Coppin State University,COPP,730194176,Coppin State,BBC,L,L,15,277,80.8,75.9,9.1,.345,4,0,27.3%,30.3%,4,12.1%
21,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,80.9,69.9,17.4,.354,0,1,17.6%,5.9%,0,0.0%
22,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,23,264,80.9,71.8,7.2,.355,13,3,31.0%,31.7%,23,16.2%
23,1311844864,C. Edmondson,Clay Edmondson,Edmondson,Clay,P,UNC Asheville,UNCA,1570,UNC Asheville,BBC,R,R,13,348,81.1,74.5,-4.6,.293,5,0,30.0%,24.3%,10,14.3%
24,1182295552,J. Faulkner,Jacob Faulkner,Faulkner,Jacob,P,Princeton University,PRIN,730198784,Princeton,BBC,R,R,19,301,81.1,74.6,7.1,.349,11,6,28.0%,28.5%,21,10.5%
25,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,81.3,69.0,-8.5,.337,0,0,0.0%,66.7%,0,0.0%
26,1323961600,A. Mucciarone,Alfred Mucciarone,Mucciarone,Alfred,P,UMass Lowell,MASSL,730371584,UMass Lowell,BBC,R,R,14,348,81.6,74.3,3.4,.364,8,4,28.1%,32.6%,15,16.9%
27,1199765504,C. Christenson,Charlie Christenson,Christenson,Charlie,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,16,371,81.7,66.7,8.6,.374,3,3,23.7%,20.3%,7,11.9%
28,1279246592,J. LaBoy,Jorhan LaBoy,LaBoy,Jorhan,P,Alabama State University,ALST,4765,Alabama State,BBC,L,L,17,404,81.7,70.3,16.1,.305,8,1,17.6%,31.1%,12,10.1%
29,1080702208,H. Dow,Haden Dow,Dow,Haden,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,L,14,321,81.8,73.6,5.2,.245,14,1,29.7%,24.1%,26,13.3%
30,1279505152,A. Petraitis,AJ Petraitis,Petraitis,AJ,P,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,14,347,81.9,71.4,15.4,.295,2,0,17.5%,32.5%,3,7.5%
31,1310893568,C. Plummer,Caden Plummer,Plummer,Caden,P,Virginia Military Institute,VMI,730173440,VMI,BBC,R,R,14,277,81.9,73.9,4.0,.301,9,2,30.7%,24.7%,20,12.0%
32,1306777856,C. Shaw,Colton Shaw,Shaw,Colton,P,Yale University,YALE,730334464,Yale,BBC,R,R,12,329,82.0,73.5,1.4,.288,10,7,31.2%,23.7%,24,13.9%
33,1297538560,S. Lopez,Sergio Lopez,Lopez,Sergio,P,McNeese State University,MCNS,730285056,McNeese State,BBC,R,R,15,223,82.0,74.2,11.5,.264,9,4,26.0%,34.2%,12,16.4%
34,1100716032,C. Marshburn,Connor Marshburn,Marshburn,Connor,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,322,82.0,70.4,-5.6,.250,16,6,30.8%,22.4%,21,10.4%
35,1257329152,N. Chapman,Noah Chapman,Chapman,Noah,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,L,L,21,292,82.1,74.9,11.3,.362,8,3,28.4%,35.5%,19,12.3%
36,1656682756,N. Finarelli,Nick Finarelli,Finarelli,Nick,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,397,82.1,72.1,7.6,.354,9,6,23.7%,32.4%,20,14.4%
37,1196833025,R. O'Connor,Robbie O'Connor,O'Connor,Robbie,P,University of Massachusetts,MASS,5451,UMass,BBC,R,R,14,338,82.2,74.9,9.8,.349,3,3,27.5%,23.8%,7,8.8%
38,1105311232,B. Bendik,Brady Bendik,Bendik,Brady,P,U.S. Naval Academy,NAVY,508,Navy,BBC,R,R,13,318,82.3,73.9,10.6,.285,16,5,26.6%,25.0%,23,12.5%
39,1093144320,S. Cash,Steven Cash,Cash,Steven,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,L,16,366,82.4,71.3,8.7,.241,21,3,28.9%,30.5%,40,16.7%
40,1086409984,T. Bryan,Tyler Bryan,Bryan,Tyler,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,347,82.4,72.9,8.4,.319,5,4,28.3%,31.7%,7,11.7%
41,1950260205,M. Diforte,Michael Diforte,Diforte,Michael,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,16,289,82.4,71.4,0.5,.307,5,1,28.6%,14.3%,1,2.9%
42,1184444416,D. Brooks,Daniel Brooks,Brooks,Daniel,P,College of Charleston,COFC,730177792,College of Charleston,BBC,R,R,17,322,82.5,71.4,14.1,.276,10,2,26.7%,21.1%,20,11.1%
43,1309474816,C. Leys,Caleb Leys,Leys,Caleb,P,University of Maine,ME,730275840,Maine,BBC,R,L,14,279,82.5,72.0,7.1,.324,6,1,24.2%,24.2%,11,16.7%
44,1273112064,D. Beckner,Drew Beckner,Beckner,Drew,P,Eastern Michigan University,EMU,5385,Eastern Michigan,BBC,L,L,15,372,82.5,75.3,15.0,.335,12,4,28.7%,36.1%,18,14.8%
45,1310848000,N. Remy,Nick Remy,Remy,Nick,P,UMBC,UMBC,730210304,UMBC,BBC,R,R,21,200,82.6,66.7,23.8,.234,7,1,23.9%,26.1%,14,15.9%
46,1386471821,T. McKinstry,Tyler McKinstry,McKinstry,Tyler,P,Western Michigan University,WMU,730165248,Western Michigan,BBC,R,R,14,326,82.6,71.5,7.2,.273,2,2,23.3%,25.6%,13,15.1%
47,1099789056,H. Holcombe,Huxley Holcombe,Holcombe,Huxley,P,Cornell University,COR,730298624,Cornell,BBC,L,L,11,274,82.6,72.5,8.4,.322,9,2,32.5%,25.2%,25,15.3%
48,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,243,82.7,71.5,23.5,.252,6,2,35.2%,33.3%,8,14.8%
49,1306683393,C. Alderman,Chandler Alderman,Alderman,Chandler,P,Middle Tennessee State University,MTU,730158336,Middle Tennessee State,BBC,R,L,14,329,82.7,73.8,2.1,.326,12,7,30.1%,24.5%,33,14.4%
50,1292598272,S. Murchison,Sam Murchison,Murchison,Sam,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,15,357,82.8,73.1,11.0,.345,21,8,34.2%,26.8%,39,16.9%
51,1334326016,W. Retz,Walker Retz,Retz,Walker,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,307,82.8,71.6,16.1,.318,1,0,25.0%,25.0%,5,11.4%
52,1694755002,S. Sarre,Serigne Sarre,Sarre,Serigne,P,Mount St. Mary's University,MSM,730291712,Mount St. Mary's,BBC,L,L,14,319,82.8,71.2,17.3,.362,8,5,27.7%,33.0%,19,17.0%
53,1217549824,R. Reyes,Randy Reyes,Reyes,Randy,P,Grambling State University,GRAM,5378,Grambling State,BBC,L,L,14,289,82.8,70.6,12.6,.310,1,0,30.0%,20.0%,3,30.0%
54,1123952128,G. Morris,Gavin Morris,Morris,Gavin,P,Indiana State University,INST,730350080,Indiana State,BBC,R,R,23,244,82.9,73.9,12.1,.282,12,4,23.9%,29.1%,14,10.4%
55,1340662528,P. Brown,Peyton Brown,Brown,Peyton,P,Campbell University,CAMP,730187776,Campbell,BBC,R,R,17,257,82.9,72.4,3.7,.329,7,8,26.0%,22.0%,15,11.8%
