Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,H,xH,1B,x1B,2B,x2B,3B,x3B,HR,xHR,XBH,xXBH
1,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,323,249,97,0.0,65,0.0,22,0.0,1,0.0,5,0.0,28,0.0
1,1330578944,E. Del Valle,Eddie Del Valle,Del Valle,Eddie,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,L,12,289,229,72,0.0,47,0.0,12,0.0,3,0.0,10,0.0,25,0.0
1,1162029824,J. Snipes,James Snipes,Snipes,James,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,15,216,172,61,0.0,40,0.0,15,0.0,0,0.0,6,0.0,21,0.0
1,1299763712,B. Eftink,Brayden Eftink,Eftink,Brayden,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,L,R,12,230,193,63,0.0,44,0.0,16,0.0,2,0.0,1,0.0,19,0.0
1,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,276,247,78,0.0,59,0.0,13,0.0,0,0.0,6,0.0,19,0.0
6,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,273,73,88.2,55,75.5,10,11.7,1,0.0,7,0.1,18,9.9
7,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,228,195,47,52.5,36,44.8,8,6.9,1,0.0,2,0.4,11,6.2
8,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,26,310,243,68,38.9,52,33.3,9,4.7,2,0.0,5,0.4,16,4.0
9,1449071722,C. Walls,Cooper Walls,Walls,Cooper,P,"University of Hawaii, Manoa",HAW,730158848,Hawaii,BBC,R,R,15,267,236,69,71.9,60,63.6,7,7.2,0,0.0,2,0.4,9,6.7
10,1003021622,H. Hayashi,Heitaro Hayashi,Hayashi,Heitaro,P,Wagner College,WAG,730192640,Wagner,BBC,L,L,16,242,211,51,51.8,33,38.8,10,11.3,0,0.0,8,0.7,18,10.4
11,1144599808,J. Goble,Jake Goble,Goble,Jake,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,14,229,201,51,44.8,37,34.5,10,8.7,0,0.0,4,0.7,14,8.3
12,1490865642,K. Dove,Kamar Dove,Dove,Kamar,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,16,272,215,64,47.9,44,35.1,15,10.8,0,0.0,5,0.7,20,9.1
13,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,292,251,81,86.2,60,66.9,13,16.8,1,0.0,7,0.8,21,15.1
14,1338119552,D. Thomas,Daniel Thomas,Thomas,Daniel,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,16,300,252,80,76.4,59,55.3,13,19.2,2,0.0,6,0.8,21,16.8
15,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,216,72,36.1,49,16.1,20,18.7,0,0.0,3,0.9,23,16.5
16,1436932267,C. White,Carter White,White,Carter,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,19,249,205,42,42.4,30,37.4,8,3.7,1,0.0,3,0.9,12,3.8
17,1002961029,R. Ritter,Riane Ritter,Ritter,Riane,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,284,245,59,54.8,47,43.0,7,10.1,1,0.0,4,0.9,12,9.5
18,1334326016,W. Retz,Walker Retz,Retz,Walker,P,University of St. Thomas (Minn.),UOST,730200320,University of St. Thomas (Minn.),BBC,R,R,12,307,270,70,68.7,50,54.4,17,11.9,0,0.0,3,1.0,20,11.4
19,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,369,311,73,56.3,53,36.4,12,17.8,6,0.0,2,1.1,20,15.9
20,1483661805,J. Bazala,Jacob Bazala,Bazala,Jacob,P,Mercyhurst College,MCYH,730196224,Mercyhurst,BBC,R,R,20,351,308,81,71.1,56,55.4,17,13.4,0,0.0,8,1.1,25,12.7
21,1318761728,G. Yawn,Garrett Yawn,Yawn,Garrett,P,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,16,459,404,101,101.8,72,74.9,21,22.2,4,0.0,4,1.1,29,20.5
22,1279708672,A. Boster,Aaron Boster,Boster,Aaron,P,Northern Kentucky University,NKU,730230272,Northern Kentucky,BBC,L,L,15,303,241,61,76.5,41,63.2,11,11.1,2,0.0,7,1.2,20,9.8
23,1827768225,L. Grant,Landyn Grant,Grant,Landyn,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,L,13,317,264,80,73.4,50,48.5,17,22.2,4,0.0,9,1.2,30,19.5
24,1162317568,K. Johnson,Keegan Johnson,Johnson,Keegan,P,Ball State University,BALL,730195456,Ball State,BBC,L,L,14,317,261,59,53.0,33,40.7,15,10.2,1,0.0,10,1.3,26,9.4
