Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,1B%,x1B%,2B%,x2B%,3B%,x3B%,HR%,xHR%,XBH%,xXBH%
1,1330720512,B. House,Brooks House,House,Brooks,P,UAB,UAB,730345984,UAB,BBC,R,R,1,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1257459456,C. Mora,Chase Mora,Mora,Chase,3B,Texas State University,TXST,5420,Texas State,BBC,R,R,1,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1256877056,H. Martinez,Hamilton Martinez,Martinez,Hamilton,P,Eastern Kentucky University,EKY,5417,Eastern Kentucky,BBC,R,R,1,4,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1207804928,L. Rolland,Luke Rolland,Rolland,Luke,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1,5,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1243066624,S. Scott,Shawn Scott,Scott,Shawn,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,1,1,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1263953664,T. Peters,Tyler Peters,Peters,Tyler,LF,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,1,3,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,2,6,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1309016064,T. Phelps,Travis Phelps,Phelps,Travis,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,2,5,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1,1099495168,S. Harris,Shemar Harris,Harris,Shemar,P,Jackson State University,JKST,730378240,Jackson State,BBC,R,R,7,41,17.1%,0.0%,0.0%,0.0%,0.0%,0.0%,2.4%,0.0%,2.4%,0.0%
1,1093805824,W. Patchett,Wyatt Patchett,Patchett,Wyatt,RF,Le Moyne College,LMC,730202880,Le Moyne,BBC,R,R,3,19,15.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
