Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,AB,AVG,xAVG,xAVGDf,xOBP,SLG,xSLG,xSLGDf,ISO,xISO,xISODf,wOBA,xWOBA,xWOBADf
1,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,318,.255,.153,.101,.237,.371,.266,.105,.116,.112,.004,.312,.219,.093
2,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,253,.273,.155,.118,.321,.423,.233,.190,.150,.078,.072,.375,.270,.105
3,1084516352,C. Kelly,Carson Kelly,Kelly,Carson,P,Florida A&M University,FAMU,5416,Florida A&M,BBC,L,L,26,310,243,.280,.160,.120,.313,.395,.188,.207,.115,.029,.087,.363,.248,.116
4,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,216,.333,.167,.166,.281,.468,.270,.197,.134,.103,.031,.392,.253,.139
5,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,19,385,342,.184,.169,.016,.259,.307,.291,.016,.123,.122,.001,.261,.242,.018
6,1340724736,R. Rivera,Reagan Rivera,Rivera,Reagan,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,15,369,311,.235,.181,.054,.296,.331,.255,.076,.096,.074,.022,.307,.255,.052
7,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,266,239,.167,.183,-.015,.254,.243,.285,-.042,.075,.102,-.027,.222,.237,-.016
8,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,315,246,.171,.183,-.013,.349,.297,.308,-.011,.126,.124,.002,.300,.304,-.004
9,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,309,277,.209,.192,.018,.259,.329,.309,.020,.119,.117,.002,.268,.247,.020
10,1428410894,S. Dudley,Seth Dudley,Dudley,Seth,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,317,277,.274,.193,.081,.270,.408,.399,.009,.134,.206,-.072,.329,.283,.047
11,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,270,209,.182,.194,-.012,.358,.301,.336,-.035,.120,.142,-.023,.306,.314,-.008
