Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
1,1342170423,N. Varnier,Nathaniel Varnier,Varnier,Nathaniel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,L,L,13,323,66.7%,16.7%,16.7%,83.3%,0.0%,33.3%,33.3%,16.7%,16.7%,0.0%
2,1281129472,C. Martindale,Cam Martindale,Martindale,Cam,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,15,255,56.0%,28.0%,16.0%,60.0%,12.0%,24.0%,36.0%,16.0%,12.0%,12.0%
3,1005138026,K. Davis,Kanious Davis,Davis,Kanious,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,R,R,15,300,41.9%,39.5%,18.6%,53.5%,7.0%,23.3%,23.3%,27.9%,16.3%,9.3%
4,1263954688,J. Ford,Jermel Ford,Ford,Jermel,TWP,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,14,322,43.8%,31.3%,25.0%,53.1%,15.6%,25.0%,28.1%,18.8%,21.9%,6.3%
5,1287083776,B. Young,Brian Young,Young,Brian,P,Rider University,RID,730174976,Rider,BBC,L,L,14,382,49.6%,29.2%,21.2%,52.2%,18.6%,31.0%,26.5%,17.7%,8.8%,15.9%
6,1175789044,B. Romero,Braeden Romero,Romero,Braeden,P,Manhattan College,MAN,730363648,Manhattan,BBC,R,R,13,228,37.5%,36.1%,26.4%,50.0%,13.9%,15.3%,25.0%,25.0%,18.1%,16.7%
7,1604541126,T. Hillen,Trent Hillen,Hillen,Trent,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,R,R,14,349,33.7%,35.1%,31.2%,49.3%,15.6%,16.6%,26.8%,16.6%,19.5%,20.5%
8,1058739885,L. Pearson,Lane Pearson,Pearson,Lane,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,360,31.6%,30.1%,38.2%,49.3%,20.6%,16.9%,25.0%,16.2%,22.1%,19.9%
9,1303446784,C. Clarke,Collin Clarke,Clarke,Collin,P,University of Oregon,ORE,4807,Oregon,BBC,R,R,13,293,33.3%,32.3%,34.3%,49.3%,18.4%,20.9%,19.4%,18.9%,21.4%,19.4%
10,1237056000,T. Boccabello,Tanner Boccabello,Boccabello,Tanner,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,11,296,48.4%,26.2%,25.4%,49.2%,24.6%,25.4%,27.0%,17.2%,18.0%,12.3%
11,1310530560,J. Core,Joel Core,Core,Joel,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,333,45.0%,30.2%,24.8%,48.8%,20.9%,24.0%,29.5%,13.2%,22.5%,10.9%
12,1227439427,J. Gottesman,Jordan Gottesman,Gottesman,Jordan,P,Northeastern University,NE,343,Northeastern,BBC,L,L,16,321,42.8%,33.1%,24.1%,47.6%,19.3%,24.7%,26.5%,19.9%,20.5%,8.4%
13,1317943808,R. Ramos,Rigo Ramos,Ramos,Rigo,P,Lipscomb University,LIP,730307072,Lipscomb,BBC,L,L,15,288,42.7%,31.5%,25.9%,47.6%,21.0%,25.2%,25.2%,18.2%,16.1%,15.4%
14,1065548722,A. Laine,Avery Laine,Laine,Avery,P,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,L,R,17,304,34.1%,37.1%,28.8%,47.3%,15.6%,22.0%,21.5%,21.0%,20.0%,15.6%
