Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
1,1330730752,D. Vigue,Dylan Vigue,Vigue,Dylan,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,16,269,1.84,64.8%,13.3%,18.8%,3.0%,1.2%,107,22,31,5,2
2,1115419904,J. Bergman,Jackson Bergman,Bergman,Jackson,P,University of Toledo,TOL,5388,Toledo,BBC,L,R,16,292,1.75,63.7%,18.8%,17.0%,0.4%,2.7%,142,42,38,1,6
3,1311020288,J. Volchko,Joey Volchko,Volchko,Joey,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,15,324,1.71,63.0%,12.6%,22.2%,2.2%,2.2%,145,29,51,5,5
4,1260755712,B. Weber,Ben Weber,Weber,Ben,P,Xavier University,XAV,5464,Xavier,BBC,R,R,18,366,1.65,62.2%,18.2%,17.9%,1.7%,3.1%,181,53,52,5,9
5,1536897735,B. Treichel,Bryson Treichel,Treichel,Bryson,P,University of North Florida,UNF,730296832,North Florida,BBC,R,R,15,288,1.64,62.1%,20.9%,14.8%,2.2%,3.8%,113,38,27,4,7
6,1307648256,J. Cebert,Jack Cebert,Cebert,Jack,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,19,268,1.63,61.9%,19.0%,15.3%,3.7%,3.2%,117,36,29,7,6
7,1238315520,D. Macchiarola,Danny Macchiarola,Macchiarola,Danny,P,College of the Holy Cross,HC,730310656,Holy Cross,BBC,L,R,16,396,1.50,60.1%,16.0%,20.5%,3.4%,3.4%,161,43,55,9,9
8,1184281600,R. Brooks,Ryder Brooks,Brooks,Ryder,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,20,307,1.49,59.9%,18.2%,18.7%,3.2%,3.7%,112,34,35,6,7
9,1202725632,G. Miller,Griffin Miller,Miller,Griffin,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,15,387,1.49,59.8%,16.0%,20.5%,3.7%,2.9%,146,39,50,9,7
10,1310530560,J. Core,Joel Core,Core,Joel,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,15,333,1.46,59.3%,22.4%,12.6%,5.6%,5.1%,127,48,27,12,11
