Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,Vel,10thVel,90thVel,MxVel,VelRange,HorzBrk,VertBrk,IndVertBrk,Spin,MxSpin,RelX,RelZ,Extension,EffectVel,HorzRelAngle,VertRelAngle,PlateVel,HorzApprAngle,VertApprAngle,PVX,PVZ
1,1311020288,J. Volchko,Joey Volchko,Volchko,Joey,P,Stanford University,STAN,730251264,Stanford,BBC,R,R,15,1235,92.7,88.9,96.3,99.5,7.4,0.4,-28.2,4.0,2554.1,3154.5,-21.2,74.6,6.25,92.7,-2.26,-1.81,85.1,-2.18,-7.04,4.7,-15.3
2,1099691264,R. Quick,Riley Quick,Quick,Riley,P,University of Alabama,ALA,730206976,Alabama,BBC,R,R,14,1069,92.4,85.8,98.0,99.5,12.2,7.8,-26.4,6.1,2295.3,2947.9,-31.1,70.2,6.42,92.5,-3.69,-1.52,84.6,-2.27,-6.44,4.7,-13.9
3,1313524992,E. Marmie,Ethan Marmie,Marmie,Ethan,P,Cal Poly,CP,5487,Cal Poly,BBC,R,R,16,1098,92.3,86.3,95.7,97.4,9.5,11.7,-21.6,11.7,2155.4,2560.9,-19.8,81.8,5.88,91.6,-2.71,-2.92,84.0,-0.61,-6.95,1.1,-14.8
4,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,19,1601,91.9,83.1,97.5,100.4,14.4,-6.3,-21.2,12.6,2204.5,2714.5,8.0,69.4,5.72,91.1,1.32,-1.40,83.9,0.19,-5.36,-0.3,-11.3
5,1238201856,M. Witherspoon,Malachi Witherspoon,Witherspoon,Malachi,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,15,1331,91.9,81.8,97.3,100.3,15.5,5.3,-28.7,4.8,2463.7,3204.1,-26.1,62.6,6.03,91.4,-2.86,-0.59,84.0,-1.73,-5.66,3.5,-12.0
6,1176124160,T. LaPour,Tommy LaPour,LaPour,Tommy,P,Texas Christian University,TCU,5045,TCU,BBC,R,R,16,1464,91.7,83.3,97.5,100.1,14.2,8.0,-22.0,12.4,2338.0,2874.0,-18.4,70.5,5.54,90.4,-2.42,-2.07,83.6,-0.98,-6.15,1.9,-13.0
7,1204946432,P. Forbes,Patrick Forbes,Forbes,Patrick,P,University of Louisville,LOU,5467,Louisville,BBC,R,R,15,1376,91.7,81.9,96.8,100.0,14.9,8.0,-23.6,10.4,2501.5,2754.8,-25.6,63.5,5.94,91.0,-3.18,-0.81,83.3,-1.74,-5.21,3.5,-10.9
8,1287363584,M. Phillips,Marcus Phillips,Phillips,Marcus,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,R,17,1412,91.5,83.9,97.5,100.8,13.6,0.3,-27.1,6.0,2649.4,3580.6,-32.7,62.9,6.29,91.5,-2.85,-0.81,84.2,-2.79,-5.86,5.9,-12.5
9,1238202112,K. Witherspoon,Kyson Witherspoon,Witherspoon,Kyson,P,University of Oklahoma,OKLA,730294528,Oklahoma,BBC,R,R,16,1568,91.2,84.1,97.1,99.3,13.1,1.3,-25.2,9.5,2391.9,2868.3,-18.9,69.1,5.54,89.9,-2.01,-1.50,83.2,-1.63,-5.97,3.3,-12.5
10,1176066304,J. Middleton,JB Middleton,Middleton,JB,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,16,1538,91.1,85.9,95.1,97.3,9.2,5.3,-20.9,12.6,2211.0,2836.2,-22.2,68.1,6.23,91.0,-2.63,-1.73,83.2,-1.68,-5.67,3.5,-12.0
11,1254299136,J. Flora,Jackson Flora,Flora,Jackson,P,UC Santa Barbara,UCSB,730364160,UC Santa Barbara,BBC,R,R,13,1204,90.9,81.4,97.7,100.3,16.3,-1.9,-22.4,12.1,2504.5,2948.0,-24.4,68.3,6.32,90.9,-2.16,-1.30,82.0,-2.49,-5.54,5.0,-11.4
12,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,1257,90.8,84.0,94.1,96.2,10.1,-8.7,-23.1,10.0,2216.0,3415.1,27.7,73.9,6.63,91.4,3.22,-1.64,83.3,1.64,-6.00,-3.3,-12.7
13,1279324160,J. Ellwanger,James Ellwanger,Ellwanger,James,P,Dallas Baptist University,DBU,730198016,Dallas Baptist,BBC,R,R,16,1196,90.7,81.3,97.2,100.0,15.9,1.5,-29.2,5.2,2413.4,3049.5,-24.8,76.0,6.05,90.3,-2.40,-1.56,83.2,-2.14,-6.96,4.4,-14.6
14,1111554816,Z. Royse,Zach Royse,Royse,Zach,P,UTSA,UTSA,730373120,UTSA,BBC,R,R,19,1531,90.6,86.3,94.8,97.0,8.5,4.2,-23.6,10.8,2488.2,3207.3,-10.1,73.9,5.92,90.0,-1.44,-2.06,82.7,-0.68,-6.46,1.3,-13.6
15,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,1096,90.5,82.0,96.7,99.5,14.7,0.9,-26.9,8.2,2635.3,3014.8,-21.0,63.8,5.63,89.3,-2.21,-0.86,82.6,-2.04,-5.83,4.2,-12.1
16,1204808114,R. Lynch,Ryan Lynch,Lynch,Ryan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,27,1031,90.5,83.2,95.2,97.1,11.9,5.8,-27.6,6.9,2605.9,3002.1,-28.8,58.7,6.11,90.2,-3.31,-0.09,82.1,-2.25,-5.24,4.5,-11.0
17,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,23,1134,90.4,84.5,94.3,96.0,9.9,2.3,-23.3,11.8,2493.6,2784.4,-18.7,64.1,5.43,89.0,-2.02,-1.09,82.6,-1.61,-5.39,3.3,-11.3
18,1310590208,M. Heuer,Mac Heuer,Heuer,Mac,P,Texas Tech University,TTU,2350,Texas Tech,BBC,R,R,14,1034,90.2,83.0,95.2,98.2,12.2,1.0,-22.5,12.2,2428.2,2853.4,-31.9,76.9,5.85,89.4,-2.88,-2.58,83.1,-2.70,-6.75,5.7,-14.2
