Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,PB,WP,PBWP,xPBWP,PBWPAA,PBWP+,PBWPRAA,PBWPWAR
1,1212862976,S. Lancia,Steven Lancia,Lancia,Steven,C,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,R,R,46,6249,1,24,25,69.90,46.90,303.9%,11.94,1.19
2,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,53,7333,1,8,9,28.64,19.64,318.2%,5.00,0.50
3,1274288640,V. Lackey,Vahn Lackey,Lackey,Vahn,C,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,50,6982,5,17,22,34.89,13.89,166.1%,3.54,0.35
4,1334322432,M. Schwalbach,Mason Schwalbach,Schwalbach,Mason,C,Southern Illinois University,SIU,730349824,Southern Illinois,BBC,L,R,26,3444,3,20,23,24.98,12.98,208.2%,3.30,0.33
5,1297349376,L. Sauve,Logan Sauve,Sauve,Logan,C,West Virginia University,WVU,5327,West Virginia,BBC,R,R,49,7245,4,14,18,28.60,11.60,168.2%,2.95,0.30
6,1196803072,L. Poteet,Logan Poteet,Poteet,Logan,C,UNC Charlotte,CHAR,730214400,Charlotte,BBC,R,R,48,6831,0,19,19,27.06,8.06,142.4%,2.05,0.21
7,1100189184,J. Quinlan,Jack Quinlan,Quinlan,Jack,C,Army West Point,ARMY,4744,Army,BBC,R,R,39,5253,2,13,15,23.03,8.03,153.5%,2.04,0.20
8,1196846336,T. McAndrews,Tommy McAndrews,McAndrews,Tommy,C,Fordham University,FOR,730324992,Fordham,BBC,R,R,40,6125,6,20,26,30.47,7.47,132.5%,1.90,0.19
9,1207846144,N. Hollifield,Nick Hollifield,Hollifield,Nick,C,UAB,UAB,730345984,UAB,BBC,R,R,51,7523,5,18,23,27.45,7.45,137.3%,1.90,0.19
10,1341312001,J. Cortez,Jacob Cortez,Cortez,Jacob,C,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,30,3395,0,6,6,12.41,7.41,248.2%,1.89,0.19
11,1232301313,J. Torres,Jose Torres,Torres,Jose,C,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,57,7820,3,23,26,32.53,6.53,125.1%,1.66,0.17
12,1213082624,C. Bower,Colton Bower,Bower,Colton,C,University of Washington,WASH,3110,Washington,BBC,R,R,43,6013,1,12,13,19.07,6.07,146.7%,1.55,0.15
13,1294963456,L. Heyman,Luke Heyman,Heyman,Luke,C,University of Florida,FLA,730168320,Florida,BBC,R,R,45,6519,7,23,30,30.44,5.44,121.8%,1.38,0.14
14,1896537632,B. Harrison,Bear Harrison,Harrison,Bear,C,Texas A&M University,TXAM,3032,Texas A&M,BBC,R,R,44,5787,3,8,11,16.16,5.16,146.9%,1.31,0.13
15,1116084736,M. Chavez,Matthew Chavez,Chavez,Matthew,C,California Baptist University,CBU,5091,California Baptist,BBC,R,R,38,5014,7,16,23,27.13,5.13,123.3%,1.31,0.13
16,1635128394,D. Rogers,Daniel Rogers,Rogers,Daniel,C,University of Iowa,IOWA,1232,Iowa,BBC,L,R,47,6652,4,20,24,29.12,5.12,121.3%,1.30,0.13
17,1342168089,S. Dux,Shane Dux,Dux,Shane,C,Monmouth University,MONM,4164,Monmouth,BBC,R,R,28,3369,1,12,13,16.48,4.48,137.3%,1.14,0.11
18,1272023040,J. Stallcup,John Stallcup,Stallcup,John,C,Southern Illinois Univ.-Edwardsville,SIUE,730298112,SIU Edwardsville,BBC,R,R,39,6160,5,24,29,22.24,4.24,123.6%,1.08,0.11
19,1201754681,M. Mainord,Matthew Mainord,Mainord,Matthew,C,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,17,2140,2,6,8,10.22,4.22,170.3%,1.07,0.11
20,1143069440,M. Strand,Matthew Strand,Strand,Matthew,C,Samford University,SAM,730386432,Samford,BBC,R,R,20,2336,0,4,4,8.22,4.22,205.4%,1.07,0.11
21,1287362304,K. Amundson,Kaden Amundson,Amundson,Kaden,C,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,48,6419,2,20,22,19.18,4.18,127.9%,1.06,0.11
22,1188022272,C. Stewart,Conner Stewart,Stewart,Conner,C,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,41,5594,1,17,18,18.18,4.18,129.8%,1.06,0.11
