Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,IP,BF,P,SLAA,SL+,FrmRAA,FrmCntRAA,StrkFrmd,BallFrmd
1,1153300736,J. Anker,Jack Anker,Anker,Jack,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,16,96.1,432,1678,50.00,120.3%,6.00,5.78,27,5
2,1270721280,P. Fosher,Peyton Fosher,Fosher,Peyton,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,15,76.2,337,1290,38.57,123.3%,4.67,6.22,30,4
3,1292598272,S. Murchison,Sam Murchison,Murchison,Sam,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,15,79.2,357,1351,37.23,118.8%,4.57,4.76,30,8
4,1311153664,A. Herrmann,Andrew Herrmann,Herrmann,Andrew,P,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,L,L,18,70.1,329,1185,35.26,123.2%,4.46,4.15,24,0
5,1233795610,R. Cole,Ryan Cole,Cole,Ryan,P,Charleston Southern University,CHSO,730194432,Charleston Southern,BBC,R,R,14,62.0,297,1079,34.78,125.3%,4.32,2.02,42,14
6,1288825344,N. Taylor,Nathan Taylor,Taylor,Nathan,P,University of Cincinnati,CIN,5465,Cincinnati,BBC,L,R,15,87.0,373,1395,33.30,113.2%,4.03,3.63,33,12
7,1130372096,C. Harris,Connor Harris,Harris,Connor,P,Winthrop University,WIN,730294784,Winthrop,BBC,R,R,15,72.2,327,1161,31.83,117.6%,3.89,4.09,28,13
8,1080702208,H. Dow,Haden Dow,Dow,Haden,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,L,L,14,78.1,321,1089,30.21,118.3%,3.81,3.99,21,1
9,1179432448,D. Delvecchio,Dylan Delvecchio,Delvecchio,Dylan,P,Saint Mary's College (CA),SMC,730288896,Saint Mary's,BBC,L,L,18,71.2,311,1173,28.73,117.6%,3.63,3.15,24,6
10,1283339776,E. Gibbons,Evan Gibbons,Gibbons,Evan,P,Sacramento State University,SAC,730293760,Sacramento State,BBC,R,R,15,88.0,380,1338,28.32,116.0%,3.55,3.53,19,7
11,1279533312,C. Dygert,Caylon Dygert,Dygert,Caylon,P,University of Texas-Arlington,UTA,5324,UT Arlington,BBC,R,R,15,84.2,368,1362,28.31,117.5%,3.47,3.30,26,6
12,1238171904,A. Cremarosa,Aidan Cremarosa,Cremarosa,Aidan,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,17,95.1,409,1584,28.21,112.4%,3.36,4.01,26,8
13,1227145728,B. Gomez,Brandon Gomez,Gomez,Brandon,P,Santa Clara University,SCU,730297600,Santa Clara,BBC,L,L,15,69.2,322,1288,27.00,117.3%,3.41,4.93,25,8
14,1279325440,G. Gaeckle,Gabe Gaeckle,Gaeckle,Gabe,P,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,19,71.1,308,1255,26.46,112.8%,3.16,5.51,31,4
15,1093144320,S. Cash,Steven Cash,Cash,Steven,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,R,L,16,86.1,366,1352,25.82,114.0%,3.25,3.18,24,5
16,1102896128,J. Gonzalez,Jonathan Gonzalez,Gonzalez,Jonathan,P,Stetson University,STET,730261504,Stetson,BBC,L,L,15,93.2,373,1419,25.63,115.9%,3.25,4.89,29,7
17,1099378432,B. Gillespie,Blake Gillespie,Gillespie,Blake,P,UNC Charlotte,CHAR,730214400,Charlotte,BBC,S,R,15,100.1,385,1405,25.50,113.5%,3.22,3.58,24,8
18,1026778788,A. Gonzalez,Andres Gonzalez,Gonzalez,Andres,P,University of Southern Indiana,SIND,730288640,Southern Indiana,BBC,R,R,19,68.1,302,1150,25.03,132.1%,3.04,2.50,32,9
19,1304813312,A. Rudd,Andrew Rudd,Rudd,Andrew,P,California Baptist University,CBU,5091,California Baptist,BBC,R,R,23,67.1,278,1026,24.93,115.8%,3.13,3.01,21,5
20,1287368192,A. Savary,Aaron Savary,Savary,Aaron,P,University of Iowa,IOWA,1232,Iowa,BBC,R,R,15,80.1,342,1284,24.75,110.5%,3.02,4.18,19,5
21,1204042240,H. Elliott,Hunter Elliott,Elliott,Hunter,P,University of Mississippi,MISS,5322,Ole Miss,BBC,L,L,17,85.2,361,1474,24.61,110.0%,3.10,3.89,14,6
22,1239129600,D. Thompson,Danny Thompson,Thompson,Danny,P,UNC Greensboro,UNCG,730238720,UNC Greensboro,BBC,R,R,23,61.2,264,1134,24.15,112.5%,2.92,1.96,19,8
23,1087364096,B. Lanman,Brett Lanman,Lanman,Brett,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,L,15,72.0,336,1278,23.85,114.8%,3.02,3.36,23,9
24,1142994176,L. Peterson,Liam Peterson,Peterson,Liam,P,University of Florida,FLA,730168320,Florida,BBC,R,R,16,69.1,305,1262,23.81,111.4%,2.87,2.66,22,7
25,1945290525,J. Hibbard,Jack Hibbard,Hibbard,Jack,P,Arkansas State University,ARST,730290176,Arkansas State,BBC,R,R,12,56.1,240,827,23.48,117.9%,2.85,2.04,24,4
26,1310868737,C. McGarrh,Cade McGarrh,McGarrh,Cade,P,Abilene Christian University,AC,730375936,Abilene Christian,BBC,L,R,15,77.0,342,1219,23.34,115.3%,2.88,2.49,25,12
27,1226682112,Z. Taylor,Zane Taylor,Taylor,Zane,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,95.2,365,1306,23.05,110.3%,2.82,3.61,17,4
28,1341830144,D. Gutierrez,Diego Gutierrez,Gutierrez,Diego,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,R,R,14,73.1,352,1350,23.00,110.6%,2.89,2.05,25,8
29,1306812928,B. Blevins,Bryce Blevins,Blevins,Bryce,P,Marshall University,MRSH,730333696,Marshall,BBC,R,L,16,92.1,416,1425,22.77,110.1%,2.88,2.46,24,10
30,1300599553,J. Feld,Justin Feld,Feld,Justin,P,Gonzaga University,GONZ,730200832,Gonzaga,BBC,R,R,14,54.1,252,953,22.61,121.3%,2.68,3.28,27,5
31,1653486670,N. Love,Nathan Love,Love,Nathan,P,Oral Roberts University,ORU,730180096,Oral Roberts,BBC,R,R,15,76.2,328,1167,22.55,116.8%,2.64,3.36,32,14
