Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,InZone%,High%,VMid%,Low%,UpHalf%,LowHalf%,Inside%,HMid%,Outside%,InHalf%,OutHalf%
1,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,276,601,65.8%,7.4%,30.0%,62.6%,15.8%,84.2%,11.6%,38.9%,49.5%,27.9%,72.1%
2,1292501760,R. Grace,Ranard Grace,Grace,Ranard,P,Southern University,SOU,4767,Southern,BBC,L,L,12,301,1005,62.4%,17.7%,36.1%,46.2%,31.2%,68.8%,27.1%,33.9%,39.0%,44.6%,55.4%
3,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,311,1108,61.5%,25.2%,40.1%,34.7%,44.8%,55.2%,25.3%,30.2%,44.5%,39.8%,60.2%
4,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,323,901,60.7%,18.2%,40.3%,41.5%,34.9%,65.1%,28.0%,30.8%,41.2%,42.6%,57.4%
5,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,244,836,60.3%,29.6%,44.2%,26.2%,51.8%,48.2%,27.6%,28.5%,43.9%,41.4%,58.6%
6,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,275,1012,60.2%,24.4%,39.2%,36.4%,44.4%,55.6%,27.9%,26.3%,45.9%,38.8%,61.2%
7,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,292,983,60.2%,16.4%,38.2%,45.4%,31.3%,68.7%,21.5%,33.3%,45.2%,37.8%,62.2%
8,1079520512,E. Garcia,EJ Garcia,Garcia,EJ,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,21,324,1039,60.1%,22.1%,39.5%,38.4%,39.9%,60.1%,27.4%,27.7%,44.9%,40.9%,59.1%
9,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,359,1063,59.6%,27.4%,32.1%,40.5%,40.6%,59.4%,22.1%,30.0%,47.9%,35.1%,64.9%
10,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,379,1131,59.3%,17.5%,28.6%,53.9%,29.7%,70.3%,22.3%,32.2%,45.5%,39.4%,60.6%
