Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,Swing%,Miss%,Contact%,Strike%,InPlay%,Foul%,InZone%,Chase%,CallStrk%,SwStrk%,P/BF,CompLoc%,NonCompLoc%
1,1128813223,L. Darnell,Logan Darnell,Darnell,Logan,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,17,276,601,42.3%,7.5%,92.5%,71.9%,79.9%,12.6%,65.8%,16.9%,37.1%,3.2%,2.18,82.1%,17.9%
2,1292501760,R. Grace,Ranard Grace,Grace,Ranard,P,Southern University,SOU,4767,Southern,BBC,L,L,12,301,1005,48.4%,24.5%,75.5%,65.8%,43.2%,32.3%,62.4%,18.6%,32.0%,11.8%,3.34,83.6%,16.4%
3,1231225856,J. Salinas,Josh Salinas,Salinas,Josh,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,L,L,13,311,1108,49.1%,21.3%,78.7%,64.9%,41.0%,37.7%,61.5%,16.1%,30.8%,10.5%,3.56,81.0%,19.0%
4,1226973184,N. Vidmar,Nathan Vidmar,Vidmar,Nathan,P,Delaware State University,DSU,730217984,Delaware State,BBC,R,R,12,323,901,41.7%,17.0%,83.0%,60.2%,55.3%,27.7%,60.7%,9.3%,29.9%,7.1%,2.79,79.8%,20.2%
5,1294886144,J. Ritz,Justin Ritz,Ritz,Justin,P,Coppin State University,COPP,730194176,Coppin State,BBC,R,R,27,244,836,46.3%,15.5%,84.5%,66.3%,46.3%,38.2%,60.3%,20.6%,36.8%,7.2%,3.43,81.4%,18.6%
6,1162573312,A. Payamps,Andrelys Payamps,Payamps,Andrelys,P,Iona College,IONA,730242048,Iona,BBC,R,R,12,275,1012,48.3%,27.6%,72.4%,65.7%,34.4%,38.0%,60.2%,11.2%,33.1%,13.3%,3.68,79.6%,20.4%
7,1568741560,S. Cole,Sam Cole,Cole,Sam,P,University of West Georgia,UOWG,730308864,West Georgia,BBC,R,R,14,292,983,45.2%,18.0%,82.0%,64.8%,48.4%,33.6%,60.2%,15.3%,35.3%,8.1%,3.37,78.4%,21.6%
8,1079520512,E. Garcia,EJ Garcia,Garcia,EJ,P,University of the Incarnate Word,IW,730225152,Incarnate Word,BBC,R,R,21,324,1039,49.9%,14.5%,85.5%,66.8%,51.4%,34.2%,60.1%,22.9%,33.8%,7.2%,3.21,81.3%,18.7%
9,1114455808,J. Toporek,Jake Toporek,Toporek,Jake,P,Wagner College,WAG,730192640,Wagner,BBC,S,L,15,359,1063,49.7%,17.8%,82.2%,68.0%,48.7%,33.5%,59.6%,21.9%,33.1%,8.8%,2.96,81.0%,19.0%
10,1730428818,K. Fabian,Kenney Fabian,Fabian,Kenney,P,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,15,379,1131,43.7%,15.4%,84.6%,63.9%,55.9%,28.7%,59.3%,12.9%,33.8%,6.7%,2.98,78.7%,21.3%
11,1571813435,C. Templeton,Cody Templeton,Templeton,Cody,P,Stephen F. Austin State University,SFA,730227200,Stephen F. Austin State,BBC,R,L,13,385,1184,53.6%,19.4%,80.6%,70.5%,47.4%,33.2%,59.2%,28.7%,31.5%,10.4%,3.08,83.6%,16.4%
12,1217850368,W. Jones,Will Jones,Jones,Will,P,Northeastern University,NE,343,Northeastern,BBC,L,L,15,290,1142,47.9%,24.9%,75.1%,68.5%,34.2%,41.0%,58.9%,25.4%,39.5%,11.9%,3.94,83.4%,16.6%
13,1166183424,M. Morrissey,M.T. Morrissey,Morrissey,M.T.,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,15,370,1347,48.5%,23.1%,76.9%,64.2%,39.1%,37.8%,58.7%,19.3%,30.5%,11.2%,3.64,80.7%,19.3%
14,1186273280,L. Bravo,Leonardo Bravo,Bravo,Leonardo,P,Prairie View A&M University,PV,4766,Prairie View A&M,BBC,R,R,24,326,1014,42.8%,16.1%,83.9%,62.9%,53.9%,30.0%,58.5%,17.6%,29.8%,6.9%,3.11,80.0%,20.0%
15,1052931303,C. Trizuto,Colin Trizuto,Trizuto,Colin,P,Wagner College,WAG,730192640,Wagner,BBC,R,R,15,284,805,47.6%,13.1%,86.9%,64.5%,51.7%,35.2%,58.5%,17.7%,30.1%,6.2%,2.83,79.6%,20.4%
