Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,P,4Seam%,Sink2Seam%,Cutter%,Slider%,Curve%,Change%,Split%,Sweeper%,Unknown%,FastSink%,Soft%,Break%
1,1230206464,J. Rizzo,John Rizzo,Rizzo,John,P,Stony Brook University,STON,730249984,Stony Brook,BBC,R,R,13,261,897,83.3%,1.7%,0.5%,13.0%,0.0%,1.5%,0.0%,0.0%,13.2%,85.0%,14.5%,13.0%
2,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,326,1257,79.2%,2.1%,0.3%,8.7%,1.5%,8.2%,0.0%,0.0%,0.0%,81.3%,18.4%,10.2%
3,1142126848,R. Ojeda,Ricky Ojeda,Ojeda,Ricky,P,UC Irvine,UCI,3031,UC Irvine,BBC,L,L,29,279,1151,79.1%,0.0%,0.0%,5.9%,9.3%,3.9%,1.7%,0.1%,1.4%,79.1%,20.9%,15.3%
4,1084482817,K. Deverman,Kenton Deverman,Deverman,Kenton,P,University of Evansville,EVAN,730327808,Evansville,BBC,L,L,12,300,1018,78.3%,0.1%,0.0%,18.5%,0.9%,2.2%,0.0%,0.0%,8.0%,78.4%,21.6%,19.3%
5,1643596490,N. Mertens,Nathan Mertens,Mertens,Nathan,P,Southeast Missouri State University,SEMO,730168576,Southeast Missouri State,BBC,R,R,15,315,1085,76.6%,0.0%,0.0%,0.7%,0.7%,6.1%,15.9%,0.0%,4.5%,76.6%,23.4%,1.4%
6,1795608420,T. Carey,Tate Carey,Carey,Tate,P,University of Michigan,MICH,2290,Michigan,BBC,R,R,18,241,898,76.6%,0.6%,0.4%,9.2%,0.1%,11.1%,0.0%,0.0%,0.6%,77.2%,22.4%,11.3%
7,1220541184,H. Cain,Harry Cain,Cain,Harry,P,Kennesaw State University,KENN,730197504,Kennesaw State,BBC,R,R,19,277,1075,76.6%,0.0%,0.0%,10.8%,6.2%,6.4%,0.0%,0.0%,1.4%,76.6%,23.4%,17.0%
8,1143021312,G. Gambradella,Gianni Gambradella,Gambradella,Gianni,P,University of Maine,ME,730275840,Maine,BBC,R,R,15,278,986,75.7%,2.3%,0.0%,15.5%,0.0%,6.5%,0.0%,0.0%,32.8%,78.0%,22.0%,15.5%
9,1434544801,V. Loa,Victor Loa,Loa,Victor,P,University of Texas Rio Grande Valley,UTRGV,730192128,UT Rio Grande Valley,BBC,L,L,14,248,994,75.2%,0.5%,0.2%,17.8%,2.2%,4.0%,0.0%,0.0%,5.5%,75.7%,24.1%,20.0%
10,1378876660,R. King,Ryan King,King,Ryan,P,CSU Bakersfield,CSB,730283008,CSU Bakersfield,BBC,R,R,14,323,1224,74.9%,0.0%,0.0%,8.7%,15.8%,0.1%,0.2%,0.4%,6.9%,74.9%,25.1%,24.8%
11,1306838784,S. Seid,Spencer Seid,Seid,Spencer,P,UC San Diego,UCSD,730348032,UC San Diego,BBC,L,L,16,243,980,74.3%,0.4%,4.7%,8.9%,0.4%,7.7%,3.1%,0.5%,3.5%,74.7%,20.6%,9.8%
12,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,305,1147,74.3%,8.6%,0.0%,16.6%,0.3%,0.3%,0.0%,0.0%,0.6%,82.9%,17.1%,16.8%
13,1139726080,C. Book,Colton Book,Book,Colton,P,Saint Joseph's University,JOES,730332416,Saint Joseph's,BBC,R,L,14,349,1312,73.7%,0.2%,0.0%,16.7%,0.0%,9.5%,0.0%,0.0%,11.7%,73.8%,26.2%,16.7%
