Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,GS,P,BF,AB,H,HR,BB,K,HBP,2B,3B,XBH,TB,GDP,POUT,OppRS
1,1155635456,W. Weber,Wilson Weber,Weber,Wilson,C,Oregon State University,ORST,3111,Oregon State,BBC,R,R,63,60,8971,2254,1922,442,54,244,627,58,66,5,125,680,36,1565,264
2,1218024704,J. Collins,Jack Collins,Collins,Jack,C,Cal Poly,CP,5487,Cal Poly,BBC,R,R,62,62,8950,2409,2062,551,62,207,438,101,86,12,160,847,42,1603,329
3,1310590976,W. Barron,Walker Barron,Barron,Walker,C,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,62,60,8794,2277,1941,472,61,238,535,57,76,3,140,737,30,1527,307
4,1310684928,C. Bodine,Caden Bodine,Bodine,Caden,C,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,S,R,66,66,8771,2336,2061,457,40,179,580,69,71,11,122,670,50,1666,211
5,1208590592,M. Moise,Mac Moise,Moise,Mac,C,Florida Gulf Coast University,FGCU,4964,Florida Gulf Coast,BBC,R,R,56,56,8624,2198,1890,522,51,217,459,44,82,3,136,763,34,1447,313
6,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,58,58,8520,2147,1877,429,53,195,489,44,67,2,122,659,29,1505,236
7,1189127936,J. Stransky,Justin Stransky,Stransky,Justin,C,Fresno State,FRES,730384384,Fresno State,BBC,R,R,59,58,8443,2285,2005,576,68,172,491,72,121,10,199,921,38,1506,339
8,1153715200,J. Jarrell,Jacob Jarrell,Jarrell,Jacob,C,Clemson University,CLEM,730358784,Clemson,BBC,R,R,59,57,8377,2232,1887,492,75,204,510,89,85,4,164,810,37,1479,335
9,1264003584,D. Novak,David Novak,Novak,David,C,Miami University (Ohio),M-OH,730379264,Miami (OH),BBC,R,R,57,57,8354,2200,1862,497,67,221,423,72,96,13,176,820,14,1423,368
10,1072858790,J. Jelic,Jason Jelic,Jelic,Jason,C,Xavier University,XAV,5464,Xavier,BBC,L,R,55,54,8182,2106,1741,485,57,265,362,59,76,5,138,742,35,1330,337
11,1251443200,A. Calarco,Alex Calarco,Calarco,Alex,C,University of Maryland-College Park,MD,730172928,Maryland,BBC,S,R,54,54,8167,2185,1826,539,77,259,386,53,107,4,188,885,25,1355,394
12,1297347328,A. Guzman,Adonys Guzman,Guzman,Adonys,C,University of Arizona,ARIZ,232,Arizona,BBC,R,R,57,56,8158,2179,1917,515,34,173,512,62,93,9,136,728,42,1484,279
13,1204946944,W. Vierling,Will Vierling,Vierling,Will,C,Murray State University,MURR,730188032,Murray State,BBC,L,R,55,54,7961,2097,1785,468,52,221,426,55,85,9,146,727,20,1396,298
14,1310332928,R. Helfrick,Ryder Helfrick,Helfrick,Ryder,C,University of Arkansas,ARK,3375,Arkansas,BBC,R,R,60,56,7870,2013,1768,405,57,173,603,48,84,3,144,666,31,1424,224
