Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
1,1094204160,A. Jean,Antoine Jean,Jean,Antoine,P,University of Houston,HOU,3030,Houston,BBC,R,L,21,1109,266,2.55,1.70,1.88,0.90,.167,.240,.243,.482,41.4%,7.5%,1.5%,.286,69.0%,.222,73.2%
2,1180787200,A. Roblez,Albert Roblez,Roblez,Albert,P,Long Beach State University,LBSU,730224128,Long Beach State,BBC,R,R,19,980,243,2.78,3.26,3.59,1.06,.168,.297,.297,.594,32.5%,11.5%,1.6%,.252,70.6%,.272,78.0%
3,1188014592,T. Pauley,Truman Pauley,Pauley,Truman,P,Harvard University,HARV,5450,Harvard,BBC,R,R,14,1307,315,4.61,4.61,4.66,1.28,.171,.339,.297,.635,28.9%,15.2%,2.2%,.232,72.8%,.300,66.5%
4,1176066304,J. Middleton,JB Middleton,Middleton,JB,P,The University of Southern Mississippi,USM,730246656,Southern Miss,BBC,R,R,16,1538,415,2.31,2.87,3.10,0.85,.174,.246,.278,.524,29.4%,6.0%,1.9%,.233,75.5%,.237,81.3%
5,1260237537,J. Ohman,Jack Ohman,Ohman,Jack,P,Yale University,YALE,730334464,Yale,BBC,L,R,12,1139,288,1.10,2.58,3.21,0.88,.174,.250,.256,.506,30.2%,6.9%,1.4%,.246,72.5%,.233,85.6%
6,1192860928,J. Phipps,Jackson Phipps,Phipps,Jackson,P,Jacksonville State University,JVST,730225408,Jacksonville State,BBC,L,L,15,1257,326,3.33,3.34,4.35,1.19,.177,.316,.241,.556,25.5%,13.2%,0.3%,.250,71.7%,.268,70.6%
7,1093159424,B. Curley,Brian Curley,Curley,Brian,P,University of Georgia,UGA,226,Georgia,BBC,R,R,17,1096,271,3.55,3.57,3.60,1.05,.179,.284,.319,.603,31.4%,10.0%,2.6%,.243,75.7%,.274,72.9%
8,1226682112,Z. Taylor,Zane Taylor,Taylor,Zane,P,UNC Wilmington,UNCW,730229504,UNC Wilmington,BBC,R,R,15,1306,365,1.98,2.60,2.92,0.76,.181,.219,.275,.494,28.8%,3.0%,2.2%,.234,74.9%,.219,81.1%
9,1342169627,R. Piech,Ryan Piech,Piech,Ryan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,14,1170,270,4.37,5.07,5.23,1.46,.182,.348,.301,.650,24.1%,18.1%,2.2%,.227,75.9%,.306,74.5%
10,1158279680,B. Frederick,Brady Frederick,Frederick,Brady,P,East Tennessee State University,ETSU,4844,East Tennessee State,BBC,R,R,24,1147,305,2.67,3.64,3.97,0.89,.183,.257,.326,.583,24.9%,6.2%,2.6%,.219,77.6%,.259,79.3%
