Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,SB2,CS2,CSBA2Throws,CSBA2ThrowsOnTrgt,CSBA2ThrowsOffTrgt,CSBA2ThrowSpd,PopTimeSBA2,CSBA2ExchTime,CSBA2TimeToBase,CSBA2ThrowHeight,CSBA2ThrowDownLineDist
1,1245161728,L. Moressi,Lorenzo Moressi,Moressi,Lorenzo,C,UTSA,UTSA,730373120,UTSA,BBC,S,R,1,1,1,0,0,78.3,-,0.73,-,-,-
1,1118938880,M. Buffington,Matthew Buffington,Buffington,Matthew,C,University of South Florida,USF,2292,South Florida,BBC,R,R,1,2,2,2,0,81.1,1.97,0.75,1.22,3.77,5.6
1,1342168145,N. Snakenborg,Nate Snakenborg,Snakenborg,Nate,C,University of Nevada,NEV,4784,Nevada,BBC,R,R,1,1,1,1,0,79.0,2.07,0.83,1.24,-1.78,4.6
4,1196798464,I. Irish,Ike Irish,Irish,Ike,RF,Auburn University,AUB,5466,Auburn,BBC,L,R,2,4,3,0,3,84.5,1.92,0.75,1.18,1.61,-6.3
5,1096596224,Z. Skinner,Zak Skinner,Skinner,Zak,3B,Lamar University,LAM,730162432,Lamar,BBC,R,R,3,4,5,4,0,77.2,2.07,0.76,1.31,1.04,1.8
5,1123967744,L. Rios,Lorenzo Rios,Rios,Lorenzo,C,Rice University,RICE,2352,Rice,BBC,R,R,3,4,3,3,0,77.8,1.91,0.77,1.14,0.48,2.8
5,1195546880,C. Diggins,Chase Diggins,Diggins,Chase,2B,University of Kansas,KU,730360064,Kansas,BBC,R,R,3,2,3,2,1,74.9,2.19,0.83,1.37,0.33,6.3
5,1302874624,J. Ryan,Jack Ryan,Ryan,Jack,C,Long Island University-Brooklyn,LIU,730352896,LIU Brooklyn,BBC,R,R,3,3,4,2,2,76.2,2.27,0.94,1.33,3.65,6.3
5,1126275584,J. Ramos,Josh Ramos,Ramos,Joshua,C,Northwestern University,NW,730247680,Northwestern,BBC,R,R,3,1,3,2,1,81.8,2.04,0.80,1.23,1.88,8.4
5,1168879616,J. DeMucci,Joey DeMucci,DeMucci,Joey,C,Penn State University,PSU,5326,Penn State,BBC,R,R,3,6,5,5,0,81.1,2.00,0.77,1.22,1.79,4.2
5,1197247744,N. Libed,Nico Libed,Libed,Nico,LF,University of San Diego,USD,5320,San Diego,BBC,R,R,3,2,5,3,0,79.0,2.16,0.84,1.23,0.05,4.3
