Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,P,G,GS,W,L,QS,SV,IP,H,ER,R,ER/G,R/G,BB,K,HR,ERA,FIP,WHIP,K/9,BB/9,K/BB,HR/9,IP/G
1,1196851200,Z. Root,Zach Root,Root,Zach,P,University of Arkansas,ARK,3375,Arkansas,BBC,L,L,1613,19,19,9,6,7,0,99.1,82,40,47,2.11,2.47,35,126,7,3.62,2.89,1.18,11.42,3.17,3.60,0.63,5.1
1,1236991744,K. Anderson,Kade Anderson,Anderson,Kade,P,Louisiana State University,LSU,5323,Louisiana State,BBC,L,L,1922,19,19,12,1,11,0,119.0,91,42,44,2.21,2.32,35,180,16,3.18,2.91,1.06,13.61,2.65,5.14,1.21,6.1
3,1152945664,A. Eyanson,Anthony Eyanson,Eyanson,Anthony,P,Louisiana State University,LSU,5323,Louisiana State,BBC,R,R,1756,20,18,12,2,8,2,108.0,88,36,39,1.80,1.95,36,152,8,3.00,2.47,1.15,12.67,3.00,4.22,0.67,5.1
3,1279310848,L. Stump,Landon Stump,Stump,Landon,P,UCLA,UCLA,5048,UCLA,BBC,R,R,1314,18,18,6,2,2,0,75.1,74,42,44,2.33,2.44,39,62,10,5.02,5.29,1.50,7.41,4.66,1.59,1.19,4.1
3,1238157312,O. Kramkowski,Owen Kramkowski,Kramkowski,Owen,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,1451,18,18,9,6,5,0,92.0,116,56,65,3.11,3.61,18,90,8,5.48,3.23,1.46,8.80,1.76,5.00,0.78,5.0
3,1255708160,J. Morrison,Jacob Morrison,Morrison,Jacob,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,1618,19,18,12,1,10,0,107.2,79,29,29,1.53,1.53,23,104,7,2.42,2.87,0.95,8.69,1.92,4.52,0.59,5.2
3,1558238257,S. Bailey,Smith Bailey,Bailey,Smith,P,University of Arizona,ARIZ,232,Arizona,BBC,R,R,1444,18,18,3,3,4,0,89.0,92,39,40,2.17,2.22,32,80,8,3.94,3.80,1.39,8.09,3.24,2.50,0.81,5.0
8,1238171904,A. Cremarosa,Aidan Cremarosa,Cremarosa,Aidan,P,Fresno State,FRES,730384384,Fresno State,BBC,R,R,1584,17,17,6,6,8,0,95.1,89,46,55,2.71,3.24,27,112,18,4.34,4.45,1.22,10.57,2.55,4.15,1.70,5.2
8,1085416704,L. Doyle,Liam Doyle,Doyle,Liam,P,University of Tennessee,TENN,730153728,Tennessee,BBC,R,L,1601,19,17,10,4,6,1,95.2,63,34,37,1.79,1.95,32,164,10,3.20,2.43,0.99,15.43,3.01,5.13,0.94,5.0
8,1196801792,G. Hugus,Griffin Hugus,Hugus,Griffin,P,University of Miami,MIA,236,Miami,BBC,L,R,1552,17,17,6,7,7,0,93.0,84,43,47,2.53,2.76,35,95,10,4.16,4.08,1.28,9.19,3.39,2.71,0.97,5.1
8,1263800064,J. Volmerding,Josh Volmerding,Volmerding,Josh,P,Cal Poly,CP,5487,Cal Poly,BBC,L,L,1481,17,17,5,5,5,0,83.2,98,56,62,3.29,3.65,29,83,11,6.02,4.59,1.52,8.93,3.12,2.86,1.18,5.0
8,1157400064,D. Mathiesen,Dylan Mathiesen,Mathiesen,Dylan,P,Liberty University,LIB,730156288,Liberty,BBC,R,R,1157,17,17,2,4,1,0,65.2,62,38,42,2.24,2.47,31,84,9,5.21,4.18,1.42,11.51,4.25,2.71,1.23,4.0
8,1312690944,R. Eikhoff,Riley Eikhoff,Eikhoff,Riley,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,1228,17,17,7,2,6,0,90.0,91,31,35,1.82,2.06,11,71,7,3.10,3.24,1.13,7.10,1.10,6.45,0.70,5.1
