Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,HLeft%,HCtr%,HRight%,HPull%,HOppFld%,HFarLft%,HLftCtr%,HDeadCtr%,HRtCtr%,HFarRt%
1,1330720512,B. House,Brooks House,House,Brooks,P,UAB,UAB,730345984,UAB,BBC,R,R,1,3,50.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,0.0%,50.0%
1,1207804928,L. Rolland,Luke Rolland,Rolland,Luke,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1,5,100.0%,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%
1,1195502592,J. Reid,Joe Reid,Reid,Joe,3B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,1,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1178748672,I. Hughes,Ian Hughes,Hughes,Ian,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,1,5,100.0%,0.0%,0.0%,100.0%,0.0%,33.3%,66.7%,0.0%,0.0%,0.0%
1,1235393024,S. Bargo,Simon Bargo,Bargo,Simon,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,2,7,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
1,1299872000,J. Lovelace,Jimmy Lovelace,Lovelace,Jimmy,P,Radford University,RAD,730267392,Radford,BBC,R,R,1,2,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
1,1320299776,J. Kruger,Jack Kruger,Kruger,Jack,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,1,3,100.0%,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%
1,1203004928,M. Anderson,Matthew Anderson,Anderson,Matthew,P,University of Richmond,RICH,730171904,Richmond,BBC,R,R,1,1,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1207846656,W. Parkinson,Will Parkinson,Parkinson,Will,P,Columbia University,CLMB,730319104,Columbia,BBC,R,L,1,7,66.7%,0.0%,33.3%,100.0%,0.0%,0.0%,66.7%,0.0%,0.0%,33.3%
1,1169064704,J. Gonzalez,Jeffrey Gonzalez,Gonzalez,Jeffrey,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,1,4,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
1,1238230784,E. Whiteaker,Evan Whiteaker,Whiteaker,Evan,P,Xavier University,XAV,5464,Xavier,BBC,R,R,1,5,50.0%,0.0%,50.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%
1,1143005440,H. Estes,Hayden Estes,Estes,Hayden,P,New Jersey Institute of Technology,NJIT,730313216,NJIT,BBC,R,R,1,3,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1093143808,J. Bowerman,Josh Bowerman,Bowerman,Josh,P,University of North Alabama,UNA,730266624,North Alabama,BBC,R,R,1,2,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1100142080,Y. Samboy,Yasseel Samboy,Samboy,Yasseel,P,Norfolk State University,NORF,3904,Norfolk State,BBC,R,R,16,136,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1309521152,M. Foster,Max Foster,Foster,Max,P,Cornell University,COR,730298624,Cornell,BBC,R,R,1,2,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1310828032,W. Lynch,Will Lynch,Lynch,Will,P,Samford University,SAM,730386432,Samford,BBC,R,R,3,6,33.3%,0.0%,66.7%,100.0%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%
1,1263955712,P. Baylis,Payton Baylis,Baylis,Payton,P,Alcorn State University,ALCN,5376,Alcorn State,BBC,L,L,10,101,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1090062336,P. Brechbuhl,Pirmin Brechbuhl,Brechbuhl,Pirmin,P,Northwestern University,NW,730247680,Northwestern,BBC,R,R,1,5,50.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%
1,1327579392,D. Allen-Fox,Destin Allen-Fox,Allen-Fox,Destin,P,Cal State-Northridge,CSN,730380032,CSU Northridge,BBC,L,L,1,3,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
1,1249373185,D. Pieto,Dominic Pieto,Pieto,Dominic,P,Tulane University,TULN,730354176,Tulane,BBC,R,R,1,3,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1294810112,N. Baxter,Nate Baxter,Baxter,Nate,P,Harvard University,HARV,5450,Harvard,BBC,R,R,2,7,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
1,1203188736,B. Pettrey,Brandon Pettrey,Pettrey,Brandon,P,Iona College,IONA,730242048,Iona,BBC,L,L,4,13,100.0%,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%
1,1287366912,L. Dobberstein,Logan Dobberstein,Dobberstein,Logan,P,University of Wisconsin-Milwaukee,MILW,5036,Milwaukee,BBC,L,R,2,7,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
1,1092709634,C. Johnson,Connor Johnson,Johnson,Connor,P,University of Central Arkansas,CARK,730175232,Central Arkansas,BBC,R,R,2,5,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%
1,1304222208,J. Gadd,Jared Gadd,Gadd,Jared,P,Xavier University,XAV,5464,Xavier,BBC,R,R,1,4,100.0%,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%
1,1109517057,B. Baxter,Brady Baxter,Baxter,Brady,P,Marshall University,MRSH,730333696,Marshall,BBC,R,R,1,4,33.3%,0.0%,66.7%,100.0%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%
1,1777552484,O. Pincince,Owen Pincince,Pincince,Owen,1B,Siena College,SIE,730382592,Siena,BBC,R,R,1,3,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1712649183,T. Dobson,Trip Dobson,Dobson,Trip,1B,University of Louisiana at Lafayette,ULL,5075,Louisiana,BBC,R,R,1,6,50.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,0.0%,50.0%
1,1698892798,E. Gries-Smith,Eli Gries-Smith,Gries-Smith,Eli,CF,University of Arkansas-Pine Bluff,ARPB,5377,Arkansas-Pine Bluff,BBC,R,R,1,5,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1962798655,C. Katayama-Stall,Cole Katayama-Stall,Katayama-Stall,Cole,3B,University of Portland,PORT,730360320,Portland,BBC,L,R,1,1,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1408315284,C. Liscio,Cody Liscio,Liscio,Cody,LF,San Diego State University,SDSU,730218496,San Diego State,BBC,L,L,1,5,50.0%,0.0%,50.0%,100.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%
1,1782866503,A. Roux,Alex Roux,Roux,Alex,P,Nicholls State University,NICH,730284032,Nicholls State,BBC,R,R,1,7,50.0%,0.0%,50.0%,100.0%,0.0%,0.0%,50.0%,0.0%,0.0%,50.0%
1,1795007683,D. Hansen,Dylan Hansen,Hansen,Dylan,P,Coastal Carolina University,CCAR,4104,Coastal Carolina,BBC,R,R,3,12,50.0%,0.0%,50.0%,100.0%,0.0%,0.0%,50.0%,0.0%,25.0%,25.0%
1,1952889153,J. Smith,John Smith,Smith,John,P,Texas Southern University,TXSO,4768,Texas Southern,BBC,R,R,1,7,33.3%,0.0%,66.7%,100.0%,0.0%,33.3%,0.0%,0.0%,33.3%,33.3%
1,1702812247,B. Shaw,Bradyn Shaw,Shaw,Bradyn,P,University of Akron,AKR,540536064,Akron,BBC,R,R,2,3,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1779117636,K. Hanasaki,Kai Hanasaki,Hanasaki,Kai,P,Mississippi Valley State University,MVSU,730259200,Mississippi Valley State,BBC,R,R,16,127,50.0%,0.0%,50.0%,100.0%,0.0%,50.0%,0.0%,0.0%,50.0%,0.0%
1,1053273414,C. Wilson,Connor Wilson,Wilson,Connor,P,Northwestern State University,NWST,730255872,Northwestern State,BBC,L,L,2,5,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1640038181,T. Musci,Thorpe Musci,Musci,Thorpe,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,1,4,100.0%,0.0%,0.0%,100.0%,0.0%,50.0%,50.0%,0.0%,0.0%,0.0%
1,1052287124,J. Thorne,Jackson Thorne,Thorne,Jackson,P,Saint Peter's University,SPC,730149888,Saint Peter's,BBC,R,R,13,94,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%
1,1342168575,H. Hill,Hugh Hill,Hill,Hugh,P,University of Richmond,RICH,730171904,Richmond,BBC,L,L,4,10,60.0%,0.0%,40.0%,100.0%,0.0%,20.0%,40.0%,0.0%,20.0%,20.0%
1,1918399902,J. Redick,James Redick,Redick,James,P,Fordham University,FOR,730324992,Fordham,BBC,R,R,1,7,33.3%,0.0%,66.7%,100.0%,0.0%,33.3%,0.0%,0.0%,33.3%,33.3%
1,1693951511,D. Weber,Dylan Weber,Weber,Dylan,P,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,1,3,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
1,1342167125,M. Irby,Michael Irby,Irby,Michael,P,East Carolina University,ECU,730270720,East Carolina,BBC,R,R,1,4,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%
