Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,BF,GB/FB,Ground%,Fly%,Line%,Popup%,Bunt%,Ground#,Fly#,Line#,Popup#,Bunt#
1,1207804928,L. Rolland,Luke Rolland,Rolland,Luke,P,Little Rock,UALR,730217472,Little Rock,BBC,R,R,1,5,-,100.0%,0.0%,0.0%,0.0%,0.0%,2,0,0,0,0
1,1195502592,J. Reid,Joe Reid,Reid,Joe,3B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,1,-,100.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,0
1,1178748672,I. Hughes,Ian Hughes,Hughes,Ian,P,University of Nevada,NEV,4784,Nevada,BBC,R,R,1,5,-,100.0%,0.0%,0.0%,0.0%,0.0%,3,0,0,0,0
1,1309126144,K. Freeman,Kolton Freeman,Freeman,Kolton,LF,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,7,-,100.0%,0.0%,0.0%,0.0%,0.0%,3,0,0,0,0
1,1235393024,S. Bargo,Simon Bargo,Bargo,Simon,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,2,7,-,100.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,0
1,1320299776,J. Kruger,Jack Kruger,Kruger,Jack,P,South Dakota State University,SDST,730323200,South Dakota State,BBC,R,R,1,3,-,100.0%,0.0%,0.0%,0.0%,0.0%,2,0,0,0,0
1,1131016192,G. Constantine,Gavin Constantine,Constantine,Gavin,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,1,2,-,100.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,0
1,1184596736,C. Hoalcraft,Chris Hoalcraft,Hoalcraft,Chris,SS,St. Bonaventure University,SBON,730375424,St. Bonaventure,BBC,R,R,1,5,-,100.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,0
1,1207846656,W. Parkinson,Will Parkinson,Parkinson,Will,P,Columbia University,CLMB,730319104,Columbia,BBC,R,L,1,7,-,100.0%,0.0%,0.0%,0.0%,0.0%,3,0,0,0,0
1,1169064704,J. Gonzalez,Jeffrey Gonzalez,Gonzalez,Jeffrey,P,Bethune-Cookman University,COOK,730152960,Bethune-Cookman,BBC,R,R,1,4,-,100.0%,0.0%,0.0%,0.0%,0.0%,1,0,0,0,0
