Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,G,P,BF,ERA,FIP,xFIP,WHIP,BA,OBP,SLG,OPS,K%,BB%,HR%,BABIP,OutRate,wOBA,LOB%
1,1330720512,B. House,Brooks House,House,Brooks,P,UAB,UAB,730345984,UAB,BBC,R,R,1,14,3,0.00,1.18,2.29,0.00,.000,.000,.000,.000,33.3%,0.0%,0.0%,.000,100.0%,.000,-
1,1257459456,C. Mora,Chase Mora,Mora,Chase,3B,Texas State University,TXST,5420,Texas State,BBC,R,R,1,14,3,27.00,15.18,15.18,6.00,.000,.667,.000,.667,33.3%,66.7%,0.0%,-,100.0%,.465,0.0%
1,1243066624,S. Scott,Shawn Scott,Scott,Shawn,P,Austin Peay State University,PEAY,730219520,Austin Peay,BBC,L,L,1,6,1,0.00,-2.82,-2.82,0.00,.000,.000,.000,.000,100.0%,0.0%,0.0%,-,100.0%,.000,-
1,1263953664,T. Peters,Tyler Peters,Peters,Tyler,LF,Queens University of Charlotte,QUC,754315264,Queens University of Charlotte,BBC,R,R,1,15,3,0.00,1.68,1.68,1.50,.000,.333,.000,.333,66.7%,33.3%,0.0%,-,100.0%,.232,100.0%
1,1172414720,J. Osterhouse,Justin Osterhouse,Osterhouse,Justin,2B,Fort Wayne,PFW,730231552,Fort Wayne,BBC,L,R,2,29,6,0.00,6.18,7.01,1.50,.000,.333,.000,.333,16.7%,33.3%,0.0%,.000,100.0%,.232,100.0%
1,1192504064,B. Bevis,Blake Bevis,Bevis,Blake,1B,Ball State University,BALL,730195456,Ball State,BBC,R,R,2,26,7,0.00,5.43,6.26,1.50,.000,.429,.000,.429,42.9%,28.6%,0.0%,.000,100.0%,.303,100.0%
1,1309016064,T. Phelps,Travis Phelps,Phelps,Travis,P,Lamar University,LAM,730162432,Lamar,BBC,R,R,2,15,5,27.00,24.18,24.18,6.00,.000,.750,.000,.750,20.0%,40.0%,0.0%,-,100.0%,.531,66.7%
1,1227126016,A. Sullivan,Adam Sullivan,Sullivan,Adam,1B,Le Moyne College,LMC,730202880,Le Moyne,BBC,L,R,2,27,9,0.00,3.18,5.03,0.00,.000,.000,.000,.000,0.0%,0.0%,0.0%,.000,100.0%,.000,-
1,1195502592,J. Reid,Joe Reid,Reid,Joe,3B,Loyola Marymount University,LMU,730149120,Loyola Marymount,BBC,R,R,1,2,1,0.00,3.18,3.18,0.00,.000,.000,.000,.000,0.0%,0.0%,0.0%,.000,100.0%,.000,-
1,1235393024,S. Bargo,Simon Bargo,Bargo,Simon,P,The Ohio State University,OSU,4144,Ohio State,BBC,R,R,2,34,7,108.00,57.18,57.18,15.00,.000,.857,.000,.857,0.0%,71.4%,0.0%,.000,100.0%,.602,16.7%
